Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309141210;20.10;0.00;4.00;543.00;72.80;15.10;51.00;7.90;15.50;958.10;1019.50;1021.70;-;-;-;-;-;-;-;-
COM;202309141210;21.00;0.00;0.00;346.00;66.20;14.50;80.00;2.20;5.00;952.40;1017.50;1020.10;-;-;-;-;-;-;-;-
ABO;202309141210;16.00;0.00;1.00;551.00;72.10;11.00;79.00;8.30;13.30;872.50;-;1023.20;1547.50;-;-;-;-;-;-;-
AIG;202309141210;22.50;0.00;10.00;702.00;60.80;14.60;352.00;18.70;28.10;974.40;1018.00;1019.70;-;-;-;-;-;-;-;-
ALT;202309141210;21.70;0.00;10.00;768.00;66.70;15.20;333.00;15.10;21.20;968.40;1018.50;1020.40;-;-;-;-;-;-;-;-
ARH;202309141210;20.50;0.00;10.00;719.00;80.60;17.00;276.00;10.10;14.40;974.00;1019.80;1021.30;-;-;-;-;-;-;-;-
AND;202309141210;20.20;0.00;10.00;787.00;63.40;13.00;247.00;5.40;10.80;907.70;-;1021.70;1551.80;-;-;-;-;-;-;-
ANT;202309141210;15.10;0.00;0.00;403.00;72.30;10.20;175.00;3.20;6.80;861.30;-;1023.70;1547.50;-;-;-;-;-;-;-
ARO;202309141210;12.00;0.00;0.00;440.00;87.10;9.90;87.00;6.80;10.80;816.90;-;1025.20;1544.60;-;-;-;-;-;-;-
RAG;202309141210;22.30;0.00;10.00;777.00;69.30;16.40;285.00;13.70;22.70;962.30;1018.60;1021.00;-;-;-;-;-;-;-;-
BAN;202309141210;-;-;0.00;375.00;-;-;-;-;-;-;-;-;-;-;51.00;13.70;23.40;14.60;89.40;12.90
BAS;202309141210;20.90;0.00;10.00;727.00;67.60;14.70;338.00;6.80;20.20;983.60;1020.20;1021.40;-;-;-;-;-;-;-;-
LAT;202309141210;17.30;0.00;10.00;780.00;64.70;10.60;206.00;6.10;11.90;-;-;-;-;-;-;-;-;-;-;-
BER;202309141210;19.60;0.00;0.00;270.00;74.30;14.90;17.00;7.20;14.00;955.90;1019.00;1021.20;-;-;-;-;-;-;-;-
BEZ;202309141210;23.00;0.00;10.00;687.00;60.20;14.90;92.00;9.00;16.20;982.00;1019.40;1020.90;-;-;-;-;-;-;-;-
BIA;202309141210;23.60;0.00;1.00;561.00;65.90;16.90;282.00;6.10;12.20;985.40;1017.30;1018.60;-;-;-;-;-;-;-;-
BIN;202309141210;14.60;0.00;-;-;82.70;11.70;210.00;3.60;6.50;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309141210;19.80;0.00;6.00;523.00;78.30;15.90;60.00;13.70;22.30;961.60;1019.60;1021.50;-;-;-;-;-;-;-;-
BIV;202309141210;13.80;0.00;-;-;68.30;8.10;259.00;7.90;11.50;-;-;-;-;-;-;-;-;-;-;-
BIE;202309141210;21.00;0.00;10.00;785.00;61.40;13.30;27.00;11.50;25.90;941.20;-;1021.30;1558.30;-;-;-;-;-;-;-
BLA;202309141210;17.20;0.00;8.00;859.00;59.60;9.30;174.00;4.30;10.80;850.30;-;1023.40;1541.90;-;-;-;-;-;-;-
BOL;202309141210;19.50;0.00;0.00;415.00;67.20;13.30;41.00;15.50;23.40;925.80;-;1021.20;1550.50;-;-;-;-;-;-;-
BOU;202309141210;20.20;-;-;-;70.30;14.60;326.00;6.10;9.70;975.60;1018.70;1020.10;-;-;-;-;-;-;-;-
BRZ;202309141210;-;0.00;-;-;-;-;250.00;6.50;8.30;954.00;-;1020.80;-;-;-;-;-;-;-;-
BUS;202309141210;20.40;0.00;0.00;171.00;65.70;13.80;42.00;6.50;13.00;975.30;1019.90;1021.40;-;-;-;-;-;-;-;-
BUF;202309141210;13.40;0.00;2.00;400.00;70.90;8.20;119.00;13.00;22.30;808.10;-;1025.50;1541.40;-;-;-;-;-;-;-
FRE;202309141210;17.40;0.00;10.00;840.00;62.50;10.20;95.00;13.00;32.40;885.70;-;1023.70;1556.90;-;-;-;-;-;-;-
CEV;202309141210;22.80;0.00;0.00;243.00;64.60;15.80;358.00;3.20;5.40;969.20;1017.10;1019.10;-;-;-;-;-;-;-;-
CHZ;202309141210;20.90;0.00;0.00;319.00;70.40;15.30;24.00;10.40;22.70;968.60;1019.30;1021.10;-;-;-;-;-;-;-;-
CHA;202309141210;11.30;0.10;0.00;146.00;96.10;10.70;49.00;14.40;19.80;845.40;-;1024.60;1550.20;-;-;-;-;-;-;-
