Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140310;15.60;0.50;0.00;1.00;96.90;15.10;122.00;0.70;2.20;958.40;1020.90;1022.00;-;-;-;-;-;-;-;-
COM;202309140310;14.20;0.00;0.00;1.00;99.70;14.20;341.00;4.30;7.60;952.10;1018.90;1019.80;-;-;-;-;-;-;-;-
ABO;202309140310;11.30;0.00;0.00;2.00;97.90;11.00;136.00;1.80;3.20;873.10;-;1023.80;1549.40;-;-;-;-;-;-;-
AIG;202309140310;13.80;0.00;0.00;0.00;96.10;13.20;184.00;2.90;4.70;975.70;1020.80;1021.10;-;-;-;-;-;-;-;-
ALT;202309140310;16.10;0.00;0.00;0.00;97.40;15.70;166.00;2.20;2.90;969.80;1021.00;1021.90;-;-;-;-;-;-;-;-
ARH;202309140310;16.10;0.00;0.00;2.00;99.50;16.00;258.00;1.80;3.20;974.30;1020.80;1021.60;-;-;-;-;-;-;-;-
AND;202309140310;13.60;0.00;0.00;0.00;97.90;13.30;0.00;0.00;0.70;908.70;-;1022.80;1547.60;-;-;-;-;-;-;-
ANT;202309140310;10.60;0.00;0.00;0.00;96.20;10.00;191.00;3.20;5.40;862.00;-;1024.50;1552.40;-;-;-;-;-;-;-
ARO;202309140310;9.10;0.00;0.00;2.00;93.80;8.20;329.00;2.20;3.60;816.70;-;1024.90;1546.10;-;-;-;-;-;-;-
RAG;202309140310;16.10;0.00;0.00;0.00;92.00;14.80;291.00;8.30;13.70;963.30;1021.00;1022.10;-;-;-;-;-;-;-;-
BAN;202309140310;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;67.00;26.60;28.40;13.40;88.00;11.50
BAS;202309140310;15.70;0.00;0.00;0.00;94.60;14.80;109.00;1.80;3.60;984.00;1021.40;1021.80;-;-;-;-;-;-;-;-
LAT;202309140310;11.50;0.00;0.00;1.00;98.70;11.30;261.00;3.20;5.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309140310;15.50;0.00;0.00;0.00;96.30;14.90;33.00;4.30;9.70;956.50;1020.60;1021.80;-;-;-;-;-;-;-;-
BEZ;202309140310;16.50;0.00;0.00;3.00;100.00;16.50;145.00;0.70;1.40;982.90;1021.20;1021.80;-;-;-;-;-;-;-;-
BIA;202309140310;16.00;0.00;0.00;1.00;98.30;15.70;298.00;2.50;4.30;985.60;1018.40;1018.80;-;-;-;-;-;-;-;-
BIN;202309140310;10.70;0.00;-;-;99.20;10.60;249.00;2.50;3.60;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309140310;15.30;0.00;0.00;1.00;97.40;14.90;232.00;5.80;7.90;962.00;1021.00;1022.00;-;-;-;-;-;-;-;-
BIV;202309140310;8.80;0.00;-;-;99.20;8.70;266.00;11.90;17.30;-;-;-;-;-;-;-;-;-;-;-
BIE;202309140310;14.80;0.00;0.00;1.00;97.30;14.40;5.00;0.70;3.60;941.70;-;1021.80;1543.30;-;-;-;-;-;-;-
BLA;202309140310;10.60;0.00;0.00;3.00;99.20;10.50;220.00;4.70;9.00;851.20;-;1024.50;1550.60;-;-;-;-;-;-;-
BOL;202309140310;13.80;0.00;0.00;0.00;96.80;13.30;319.00;2.90;4.00;927.00;-;1022.50;1546.20;-;-;-;-;-;-;-
BOU;202309140310;15.60;-;-;-;93.50;14.60;146.00;5.80;9.00;976.50;1020.40;1021.00;-;-;-;-;-;-;-;-
BRZ;202309140310;-;0.00;-;-;-;-;79.00;1.10;1.40;955.00;-;1021.90;-;-;-;-;-;-;-;-
BUS;202309140310;16.00;0.00;0.00;1.00;98.40;15.70;92.00;0.40;1.10;976.00;1021.40;1022.10;-;-;-;-;-;-;-;-
BUF;202309140310;8.60;0.00;0.00;1.00;97.20;8.20;77.00;2.20;3.20;807.80;-;1025.20;1545.80;-;-;-;-;-;-;-
FRE;202309140310;11.10;0.00;0.00;2.00;96.40;10.50;6.00;6.50;12.20;885.70;-;1023.70;1549.00;-;-;-;-;-;-;-
CEV;202309140310;15.70;0.00;0.00;1.00;97.30;15.30;15.00;3.60;6.80;969.40;1018.50;1019.30;-;-;-;-;-;-;-;-
CHZ;202309140310;15.80;0.00;0.00;0.00;99.40;15.70;312.00;4.70;5.40;969.70;1021.40;1022.20;-;-;-;-;-;-;-;-
CHA;202309140310;8.90;0.00;0.00;0.00;100.00;8.90;70.00;20.50;23.00;845.20;-;1024.40;1548.70;-;-;-;-;-;-;-
CHM;202309140310;11.40;0.00;0.00;0.00;96.10;10.80;80.00;6.10;10.80;892.80;-;1023.20;1545.70;-;-;-;-;-;-;-
CHU;202309140310;16.20;0.00;0.00;1.00;92.30;14.90;29.00;4.30;7.20;956.30;1020.60;1021.90;-;-;-;-;-;-;-;-
CHD;202309140310;11.70;0.00;0.00;0.00;96.80;11.20;60.00;2.50;5.40;904.50;-;1023.10;1546.00;-;-;-;-;-;-;-
CIM;202309140310;12.80;0.00;0.00;0.00;62.70;5.90;338.00;5.80;10.80;837.00;-;1022.80;1532.40;-;-;-;-;-;-;-
CDM;202309140310;8.70;0.00;-;-;100.00;8.70;21.00;6.10;8.30;-;-;-;-;-;-;-;-;-;-;-
GSB;202309140310;5.30;0.00;0.00;0.00;97.80;5.00;97.00;17.30;23.40;758.50;-;1026.70;-;3139.30;-;-;-;-;-;-
COY;202309140310;13.60;0.00;-;-;99.30;13.50;28.00;1.10;2.90;-;-;-;-;-;-;-;-;-;-;-
CMA;202309140310;4.40;-;0.00;2.00;100.00;4.40;27.00;14.00;18.40;758.80;-;1026.70;-;3136.90;-;-;-;-;-;-
CRM;202309140310;14.80;0.00;-;0.00;99.30;14.70;27.00;6.80;10.40;970.50;1021.00;1021.60;-;-;-;-;-;-;-;-
DAV;202309140310;10.40;0.00;0.00;0.00;93.20;9.30;15.00;9.40;12.20;845.30;-;1024.50;1549.40;-;-;-;-;-;-;-
DEM;202309140310;16.20;0.00;0.00;2.00;97.30;15.80;122.00;0.70;1.80;969.90;1021.10;1022.00;-;-;-;-;-;-;-;-
DIS;202309140310;11.90;0.10;0.00;3.00;98.40;11.70;254.00;0.40;1.10;886.80;-;1023.90;1552.10;-;-;-;-;-;-;-
EBK;202309140310;14.80;0.20;0.00;2.00;99.30;14.70;257.00;0.70;1.80;949.20;-;1022.50;1548.60;-;-;-;-;-;-;-
EGH;202309140310;3.10;-;0.00;0.00;100.00;3.10;312.00;2.90;6.50;721.80;-;1028.10;-;3141.30;-;-;-;-;-;-
EGO;202309140310;15.40;0.00;-;4.00;99.40;15.30;75.00;1.80;2.50;960.40;1021.10;1022.10;-;-;-;-;-;-;-;-
