Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309182050;14.90;0.00;0.00;1.00;88.20;13.00;354.00;4.00;9.00;952.00;1014.20;1015.20;-;-;-;-;-;-;-;-
COM;202309182050;14.10;0.00;0.00;0.00;100.00;14.10;319.00;6.10;9.00;948.60;1015.20;1016.10;-;-;-;-;-;-;-;-
ABO;202309182050;14.10;0.00;0.00;2.00;59.00;6.20;250.00;10.10;24.50;868.90;-;1019.10;1511.20;-;-;-;-;-;-;-
AIG;202309182050;15.40;0.00;0.00;0.00;91.20;14.00;179.00;6.80;9.00;971.20;1015.80;1016.40;-;-;-;-;-;-;-;-
ALT;202309182050;14.10;0.00;0.00;0.00;95.30;13.40;328.00;1.10;3.20;964.30;1015.60;1016.10;-;-;-;-;-;-;-;-
ARH;202309182050;15.80;0.00;0.00;0.00;90.20;14.20;175.00;2.20;7.20;967.50;1013.80;1014.50;-;-;-;-;-;-;-;-
AND;202309182050;12.10;0.00;0.00;0.00;97.30;11.70;166.00;4.70;7.20;904.40;-;1018.10;1505.20;-;-;-;-;-;-;-
ANT;202309182050;9.30;0.00;0.00;0.00;93.50;8.30;193.00;5.40;9.40;857.50;-;1019.30;1508.50;-;-;-;-;-;-;-
ARO;202309182050;7.80;0.00;0.00;2.00;99.20;7.70;231.00;5.40;7.20;812.70;-;1020.10;1506.80;-;-;-;-;-;-;-
RAG;202309182050;15.00;0.00;0.00;0.00;90.00;13.40;164.00;5.00;10.40;958.00;1015.60;1016.50;-;-;-;-;-;-;-;-
BAN;202309182050;-;-;0.00;5.00;-;-;-;-;-;-;-;-;-;-;244.00;35.30;59.40;15.40;67.10;9.30
BAS;202309182050;18.20;0.00;0.00;0.00;76.90;14.10;100.00;4.70;9.00;976.30;1013.00;1013.90;-;-;-;-;-;-;-;-
LAT;202309182050;9.40;0.00;0.00;0.00;99.10;9.30;265.00;1.40;3.20;-;-;-;-;-;-;-;-;-;-;-
BER;202309182050;15.80;0.40;0.00;0.00;91.50;14.40;163.00;7.90;12.20;951.10;1014.80;1016.10;-;-;-;-;-;-;-;-
BEZ;202309182050;16.00;0.00;0.00;3.00;99.20;15.90;181.00;2.20;4.70;975.80;1013.90;1014.50;-;-;-;-;-;-;-;-
BIA;202309182050;16.70;0.00;0.00;1.00;93.90;15.70;333.00;7.90;13.00;981.70;1014.20;1014.80;-;-;-;-;-;-;-;-
BIN;202309182050;8.70;0.00;-;-;97.20;8.30;58.00;4.70;7.60;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309182050;13.90;0.00;0.00;1.00;97.40;13.50;171.00;8.60;10.80;955.40;1014.30;1015.00;-;-;-;-;-;-;-;-
BIV;202309182050;7.10;0.00;-;-;99.20;7.00;85.00;5.00;9.40;-;-;-;-;-;-;-;-;-;-;-
BIE;202309182050;15.40;0.20;0.00;7.00;79.90;12.00;236.00;10.10;19.80;937.40;-;1017.20;1507.10;-;-;-;-;-;-;-
BLA;202309182050;8.30;0.00;0.00;3.00;98.10;8.00;41.00;5.00;7.90;848.10;-;1020.90;1520.40;-;-;-;-;-;-;-
BOL;202309182050;13.30;0.00;0.00;0.00;88.30;11.40;216.00;9.70;17.60;922.70;-;1017.90;1506.40;-;-;-;-;-;-;-
BOU;202309182050;17.10;-;-;-;81.90;14.00;115.00;5.80;11.20;971.80;1015.20;1016.10;-;-;-;-;-;-;-;-
BRZ;202309182050;-;0.00;-;-;-;-;126.00;1.40;3.20;950.40;-;1017.00;-;-;-;-;-;-;-;-
BUS;202309182050;17.30;0.00;0.00;0.00;83.50;14.50;230.00;7.60;17.30;969.40;1014.30;1015.20;-;-;-;-;-;-;-;-
BUF;202309182050;7.80;0.00;0.00;1.00;98.10;7.50;293.00;4.70;7.20;804.40;-;1021.10;1511.90;-;-;-;-;-;-;-
FRE;202309182050;11.30;0.10;0.00;2.00;92.60;10.10;248.00;12.60;33.10;881.10;-;1018.50;1506.00;-;-;-;-;-;-;-
CEV;202309182050;17.20;0.00;0.00;1.00;91.80;15.90;321.00;4.00;8.30;965.90;1014.60;1015.70;-;-;-;-;-;-;-;-
CHZ;202309182050;16.80;0.00;0.00;0.00;81.90;13.70;196.00;4.30;6.80;963.60;1014.80;1015.80;-;-;-;-;-;-;-;-
CHA;202309182050;9.40;0.60;0.00;0.00;87.10;7.40;266.00;34.20;55.40;840.90;-;1019.30;1506.20;-;-;-;-;-;-;-
CHM;202309182050;12.40;0.10;0.00;0.00;89.20;10.70;280.00;10.10;32.80;888.10;-;1017.90;1503.30;-;-;-;-;-;-;-
CHU;202309182050;14.50;0.00;0.00;1.00;93.30;13.40;213.00;4.00;9.00;951.40;1015.80;1016.80;-;-;-;-;-;-;-;-
CHD;202309182050;11.40;0.00;0.00;0.00;96.60;10.90;269.00;1.80;4.00;900.70;-;1018.90;1510.60;-;-;-;-;-;-;-
CIM;202309182050;11.30;0.00;0.00;0.00;85.40;8.90;111.00;6.50;9.00;834.00;-;1019.30;1503.00;-;-;-;-;-;-;-
CDM;202309182050;9.70;0.00;-;-;96.10;9.10;45.00;1.80;3.20;-;-;-;-;-;-;-;-;-;-;-
GSB;202309182050;5.80;0.00;0.00;0.00;79.40;2.50;32.00;4.00;6.80;756.10;-;1023.60;-;3114.90;-;-;-;-;-;-
COY;202309182050;14.80;0.00;-;-;91.40;13.40;210.00;9.40;28.10;-;-;-;-;-;-;-;-;-;-;-
CMA;202309182050;6.30;-;0.00;1.00;73.00;1.80;356.00;9.70;16.60;755.40;-;1022.30;-;3105.30;-;-;-;-;-;-
CRM;202309182050;17.30;0.00;-;0.00;87.10;15.10;286.00;7.20;15.80;965.00;1014.70;1015.80;-;-;-;-;-;-;-;-
DAV;202309182050;8.80;0.00;0.00;0.00;96.20;8.20;210.00;2.90;5.80;841.10;-;1019.60;1508.30;-;-;-;-;-;-;-
DEM;202309182050;17.00;0.00;0.00;2.00;77.20;13.00;141.00;2.20;5.00;963.10;1013.80;1014.90;-;-;-;-;-;-;-;-
DIS;202309182050;11.30;0.00;0.00;3.00;96.40;10.70;311.00;2.50;4.00;882.50;-;1019.10;1511.00;-;-;-;-;-;-;-
EBK;202309182050;12.60;0.00;0.00;2.00;99.20;12.50;245.00;0.70;1.80;943.30;-;1016.20;1489.90;-;-;-;-;-;-;-
EGH;202309182050;3.60;-;0.00;0.00;64.60;-2.40;281.00;34.20;56.20;718.90;-;1024.20;-;3109.20;-;-;-;-;-;-
EGO;202309182050;16.00;0.00;-;3.00;88.20;14.00;235.00;2.90;4.70;954.30;1014.40;1015.70;-;-;-;-;-;-;-;-
EIN;202309182050;11.70;0.00;0.00;0.00;94.00;10.80;213.00;3.60;7.20;912.10;-;1017.30;1497.80;-;-;-;-;-;-;-
ELM;202309182050;11.30;0.00;0.00;0.00;95.40;10.60;175.00;3.60;6.50;907.30;-;1017.70;1500.30;-;-;-;-;-;-;-
ENG;202309182050;11.30;0.00;0.00;0.00;90.90;9.90;99.00;6.80;15.80;899.10;-;1018.10;1503.90;-;-;-;-;-;-;-
