Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309141920;18.40;0.00;0.00;1.00;78.30;14.60;87.00;3.60;6.50;957.60;1019.40;1021.10;-;-;-;-;-;-;-;-
COM;202309141920;17.30;0.00;0.00;1.00;100.00;17.30;157.00;2.90;7.60;952.50;1018.50;1020.20;-;-;-;-;-;-;-;-
ABO;202309141920;13.30;0.00;0.00;2.00;95.40;12.60;103.00;2.20;3.60;872.40;-;1023.00;1544.40;-;-;-;-;-;-;-
AIG;202309141920;19.30;0.00;0.00;0.00;88.50;17.40;123.00;3.20;5.00;973.70;1017.80;1019.00;-;-;-;-;-;-;-;-
ALT;202309141920;19.00;0.00;0.00;0.00;86.00;16.60;99.00;1.10;3.60;968.30;1018.90;1020.30;-;-;-;-;-;-;-;-
ARH;202309141920;19.90;0.00;0.00;1.00;78.50;16.10;112.00;6.80;13.70;973.20;1019.00;1020.40;-;-;-;-;-;-;-;-
AND;202309141920;14.30;0.00;0.00;0.00;93.70;13.30;114.00;2.20;3.60;908.20;-;1022.20;1544.40;-;-;-;-;-;-;-
ANT;202309141920;12.60;0.10;0.00;0.00;97.20;12.20;122.00;2.50;4.70;861.40;-;1023.80;1547.50;-;-;-;-;-;-;-
ARO;202309141920;10.70;0.00;0.00;2.00;99.20;10.60;132.00;2.90;4.30;816.90;-;1025.20;1546.20;-;-;-;-;-;-;-
RAG;202309141920;19.90;0.00;0.00;0.00;73.40;15.00;346.00;5.40;13.00;962.00;1018.80;1020.70;-;-;-;-;-;-;-;-
BAN;202309141920;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;60.00;30.20;32.40;14.80;86.40;12.60
BAS;202309141920;19.20;0.00;0.00;0.00;80.40;15.70;199.00;3.60;5.00;982.30;1019.10;1020.10;-;-;-;-;-;-;-;-
LAT;202309141920;13.40;0.00;0.00;0.00;92.80;12.30;359.00;1.40;2.50;-;-;-;-;-;-;-;-;-;-;-
BER;202309141920;18.30;0.00;0.00;0.00;79.40;14.70;52.00;1.10;4.70;955.20;1018.60;1020.40;-;-;-;-;-;-;-;-
BEZ;202309141920;19.00;0.00;0.00;3.00;88.00;17.00;20.00;1.40;3.20;981.40;1019.30;1020.30;-;-;-;-;-;-;-;-
BIA;202309141920;18.60;0.00;0.00;1.00;97.70;18.20;335.00;4.30;6.80;985.80;1018.30;1019.00;-;-;-;-;-;-;-;-
BIN;202309141920;12.60;0.00;-;-;85.90;10.30;322.00;0.70;2.90;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309141920;18.60;0.00;0.00;1.00;79.60;15.00;55.00;8.60;14.80;961.10;1019.30;1021.00;-;-;-;-;-;-;-;-
BIV;202309141920;10.30;0.00;-;-;97.20;9.90;113.00;1.80;4.70;-;-;-;-;-;-;-;-;-;-;-
BIE;202309141920;17.30;0.00;0.00;1.00;75.30;12.90;18.00;11.50;22.30;940.50;-;1020.50;1540.40;-;-;-;-;-;-;-
BLA;202309141920;12.30;0.00;0.00;3.00;95.00;11.50;162.00;1.10;2.90;850.50;-;1023.70;1543.80;-;-;-;-;-;-;-
BOL;202309141920;16.90;0.00;0.00;0.00;84.30;14.20;80.00;4.30;11.20;925.60;-;1021.00;1541.80;-;-;-;-;-;-;-
BOU;202309141920;20.60;-;-;-;76.50;16.30;131.00;5.00;7.60;974.50;1017.50;1018.90;-;-;-;-;-;-;-;-
BRZ;202309141920;-;0.00;-;-;-;-;83.00;13.00;22.30;953.50;-;1020.30;-;-;-;-;-;-;-;-
BUS;202309141920;18.30;0.00;0.00;1.00;90.80;16.80;0.00;0.00;0.70;974.50;1019.40;1020.50;-;-;-;-;-;-;-;-
BUF;202309141920;11.20;0.00;0.00;1.00;82.10;8.30;126.00;7.20;14.00;808.50;-;1026.00;1549.00;-;-;-;-;-;-;-
FRE;202309141920;13.60;0.00;0.00;2.00;83.30;10.80;25.00;8.60;15.50;885.00;-;1022.90;1545.50;-;-;-;-;-;-;-
CEV;202309141920;18.00;0.00;0.00;1.00;94.40;17.10;18.00;4.00;5.40;969.50;1018.20;1019.40;-;-;-;-;-;-;-;-
CHZ;202309141920;19.40;0.00;0.00;0.00;77.50;15.40;63.00;1.10;3.20;968.10;1019.00;1020.50;-;-;-;-;-;-;-;-
CHA;202309141920;10.30;0.00;0.00;0.00;96.20;9.70;76.00;26.30;36.40;844.70;-;1023.80;1543.50;-;-;-;-;-;-;-
CHM;202309141920;13.80;0.00;0.00;0.00;85.80;11.50;91.00;15.50;24.80;892.20;-;1022.50;1543.70;-;-;-;-;-;-;-
CHU;202309141920;19.20;0.00;0.00;1.00;76.80;15.00;16.00;7.20;19.40;955.20;1018.70;1020.80;-;-;-;-;-;-;-;-
CHD;202309141920;15.40;0.00;0.00;0.00;94.00;14.40;120.00;2.50;2.90;903.40;-;1021.90;1542.80;-;-;-;-;-;-;-
CIM;202309141920;12.40;0.00;0.00;0.00;97.60;12.00;229.00;6.10;9.40;838.30;-;1024.30;1545.70;-;-;-;-;-;-;-
CDM;202309141920;12.50;0.00;-;-;100.00;12.50;24.00;6.50;9.00;-;-;-;-;-;-;-;-;-;-;-
GSB;202309141920;8.00;0.00;0.00;0.00;88.60;6.20;283.00;14.00;19.40;758.90;-;1027.20;-;3150.20;-;-;-;-;-;-
COY;202309141920;15.40;0.00;-;-;99.20;15.30;75.00;4.00;6.50;-;-;-;-;-;-;-;-;-;-;-
CMA;202309141920;6.60;-;0.00;1.00;98.60;6.40;34.00;5.40;10.10;759.40;-;1027.40;-;3148.70;-;-;-;-;-;-
CRM;202309141920;18.60;0.00;-;0.00;76.50;14.40;11.00;7.60;13.00;969.10;1018.80;1020.10;-;-;-;-;-;-;-;-
DAV;202309141920;12.50;0.00;0.00;0.00;91.90;11.20;8.00;6.80;10.10;845.20;-;1024.40;1548.00;-;-;-;-;-;-;-
DEM;202309141920;17.30;0.00;0.00;3.00;90.40;15.70;346.00;1.40;3.60;968.50;1019.40;1020.50;-;-;-;-;-;-;-;-
DIS;202309141920;13.90;0.00;0.00;3.00;97.00;13.40;230.00;3.20;6.50;886.30;-;1023.30;1550.00;-;-;-;-;-;-;-
EBK;202309141920;17.90;0.00;0.00;3.00;82.80;14.90;275.00;4.30;9.40;948.20;-;1021.40;1550.30;-;-;-;-;-;-;-
EGH;202309141920;4.60;-;0.00;0.00;94.10;3.70;51.00;3.20;7.20;722.70;-;1029.30;-;3152.80;-;-;-;-;-;-
EGO;202309141920;17.50;0.00;-;3.00;99.20;17.40;254.00;4.30;5.40;959.10;1019.20;1020.70;-;-;-;-;-;-;-;-
EIN;202309141920;16.10;0.00;0.00;0.00;85.10;13.60;134.00;2.90;6.50;916.50;-;1022.10;1547.70;-;-;-;-;-;-;-
ELM;202309141920;15.60;0.00;0.00;0.00;91.60;14.20;275.00;0.70;1.10;911.40;-;1022.20;1546.70;-;-;-;-;-;-;-
ENG;202309141920;14.30;0.00;0.00;0.00;93.50;13.30;186.00;0.70;3.20;903.20;-;1022.60;1547.10;-;-;-;-;-;-;-
EVI;202309141920;19.80;0.00;0.00;3.00;77.70;15.80;312.00;12.60;23.80;962.30;1017.40;1019.30;-;-;-;-;-;-;-;-
EVO;202309141920;11.00;0.00;0.00;2.00;86.00;8.80;38.00;2.20;4.70;821.40;-;1024.50;1542.00;-;-;-;-;-;-;-
FAH;202309141920;17.10;0.00;0.00;3.00;82.00;14.00;66.00;6.10;10.80;950.80;1019.30;1021.00;-;-;-;-;-;-;-;-
FLU;202309141920;14.50;0.00;-;-;97.20;14.10;197.00;1.80;2.90;-;-;-;-;-;-;-;-;-;-;-
GRA;202309141920;17.80;0.00;0.00;1.00;87.70;15.70;25.00;11.50;16.90;944.20;-;1020.50;1541.90;-;-;-;-;-;-;-
FRU;202309141920;17.30;0.00;0.00;0.00;86.00;14.90;310.00;3.20;5.40;-;-;-;-;-;-;-;-;-;-;-
GVE;202309141920;19.40;0.00;0.00;0.00;70.10;13.80;349.00;5.40;10.80;970.60;1018.00;1019.40;-;-;-;-;-;-;-;-
GES;202309141920;18.40;0.00;-;-;85.50;15.90;357.00;4.30;6.10;959.30;1019.10;1020.80;-;-;-;-;-;-;-;-
GIH;202309141920;18.20;0.00;0.00;1.00;89.40;16.40;111.00;2.50;3.20;965.10;1019.50;1020.90;-;-;-;-;-;-;-;-
GLA;202309141920;17.80;0.00;0.00;2.00;84.80;15.20;221.00;2.20;4.70;959.50;1019.00;1020.60;-;-;-;-;-;-;-;-
GOR;202309141920;3.30;-;0.00;0.00;87.50;1.40;306.00;4.30;8.60;701.50;-;1029.70;-;3148.80;-;-;-;-;-;-
GRE;202309141920;18.80;0.00;0.00;0.00;76.30;14.50;49.00;4.00;5.40;969.50;1018.90;1020.30;-;-;-;-;-;-;-;-
GRH;202309141920;9.60;0.00;0.00;0.00;94.60;8.80;212.00;10.40;28.80;809.20;-;1025.90;1550.80;-;-;-;-;-;-;-
GRO;202309141920;17.40;0.00;0.00;1.00;95.70;16.70;55.00;4.00;12.20;980.90;1018.70;1019.50;-;-;-;-;-;-;-;-
GRC;202309141920;12.80;-;0.00;0.00;88.90;11.00;-;-;-;843.70;-;1023.90;1543.30;-;-;-;-;-;-;-
GOS;202309141920;15.40;0.00;-;-;93.80;14.40;180.00;4.00;7.20;911.90;-;1021.80;1543.60;-;-;-;-;-;-;-
GOE;202309141920;18.90;0.00;0.00;2.00;84.70;16.30;0.00;0.00;0.00;975.00;1019.10;1020.30;-;-;-;-;-;-;-;-
GUE;202309141920;8.50;0.00;0.00;0.00;92.60;7.40;244.00;4.30;7.90;777.70;-;1026.70;1545.50;-;-;-;-;-;-;-
GUT;202309141920;19.50;0.00;0.00;1.00;75.20;15.00;71.00;9.00;13.70;968.70;1019.40;1020.90;-;-;-;-;-;-;-;-
HLL;202309141920;19.70;0.00;0.00;0.00;68.60;13.80;53.00;4.30;6.50;971.00;1019.30;1020.70;-;-;-;-;-;-;-;-
HOE;202309141920;13.60;0.00;0.00;0.00;98.60;13.40;78.00;10.80;19.10;892.80;-;1022.80;1546.20;-;-;-;-;-;-;-
ILZ;202309141920;16.60;0.10;0.00;1.00;99.30;16.50;-;-;-;939.80;-;1021.50;1546.40;-;-;-;-;-;-;-
INT;202309141920;18.20;0.00;0.00;2.00;84.30;15.50;219.00;5.40;8.60;952.40;1018.50;1020.40;-;-;-;-;-;-;-;-
JUN;202309141920;0.70;-;0.00;0.00;99.90;0.70;157.00;24.50;28.80;664.00;-;1031.50;-;3149.40;-;-;-;-;-;-
KOP;202309141920;17.90;0.00;0.00;0.00;85.80;15.50;26.00;4.00;6.10;963.30;1019.30;1020.70;-;-;-;-;-;-;-;-
BRL;202309141920;12.30;0.00;0.00;0.00;95.30;11.60;61.00;9.70;11.90;901.50;-;1022.40;1541.60;-;-;-;-;-;-;-
CDF;202309141920;14.60;0.00;0.00;0.00;87.70;12.60;19.00;7.20;11.90;904.90;-;1022.30;1544.80;-;-;-;-;-;-;-
