Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309191420;20.90;0.00;10.00;473.00;55.00;11.50;228.00;6.80;13.70;954.50;1015.50;1017.90;-;-;-;-;-;-;-;-
COM;202309191420;22.70;0.00;10.00;558.00;65.50;15.90;357.00;3.60;7.90;947.70;1012.10;1015.20;-;-;-;-;-;-;-;-
ABO;202309191420;14.80;0.00;4.00;349.00;81.50;11.70;70.00;9.70;16.60;870.40;-;1020.80;1526.20;-;-;-;-;-;-;-
AIG;202309191420;21.20;0.00;9.00;427.00;64.50;14.20;298.00;10.10;19.40;972.50;1016.20;1017.80;-;-;-;-;-;-;-;-
ALT;202309191420;21.50;0.00;10.00;432.00;59.90;13.40;259.00;7.20;14.40;965.70;1015.70;1017.60;-;-;-;-;-;-;-;-
ARH;202309191420;22.10;0.00;10.00;498.00;54.20;12.40;314.00;8.30;19.10;970.40;1015.70;1017.50;-;-;-;-;-;-;-;-
AND;202309191420;19.70;0.00;10.00;521.00;57.10;11.00;351.00;13.00;24.50;904.50;-;1018.20;1520.70;-;-;-;-;-;-;-
ANT;202309191420;14.30;0.00;10.00;529.00;71.80;9.30;12.00;28.40;42.80;858.50;-;1020.40;1519.70;-;-;-;-;-;-;-
ARO;202309191420;13.30;0.00;10.00;500.00;57.10;5.00;99.00;7.90;11.20;814.10;-;1021.80;1513.80;-;-;-;-;-;-;-
RAG;202309191420;21.40;0.00;10.00;493.00;64.60;14.50;293.00;13.30;20.50;959.20;1015.50;1017.80;-;-;-;-;-;-;-;-
BAN;202309191420;-;-;6.00;374.00;-;-;-;-;-;-;-;-;-;-;258.00;20.90;27.40;15.40;66.10;9.10
BAS;202309191420;22.70;0.00;10.00;509.00;49.90;11.70;288.00;9.40;19.80;979.20;1015.40;1016.90;-;-;-;-;-;-;-;-
LAT;202309191420;14.40;0.00;10.00;395.00;73.60;9.70;257.00;3.20;7.60;-;-;-;-;-;-;-;-;-;-;-
BER;202309191420;21.50;0.00;9.00;493.00;51.70;11.10;256.00;11.20;19.40;953.00;1015.50;1018.10;-;-;-;-;-;-;-;-
BEZ;202309191420;22.60;0.00;10.00;472.00;56.00;13.40;270.00;5.80;10.80;978.20;1015.50;1017.00;-;-;-;-;-;-;-;-
BIA;202309191420;24.80;0.00;10.00;529.00;55.60;15.30;162.00;4.30;11.20;980.30;1011.90;1013.40;-;-;-;-;-;-;-;-
BIN;202309191420;16.40;0.00;-;-;66.90;10.20;217.00;9.00;15.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309191420;20.90;0.00;10.00;470.00;59.00;12.60;258.00;18.00;25.90;958.00;1015.60;1017.80;-;-;-;-;-;-;-;-
BIV;202309191420;13.90;0.00;-;-;55.10;5.00;272.00;18.40;24.10;-;-;-;-;-;-;-;-;-;-;-
BIE;202309191420;19.70;0.00;10.00;546.00;62.70;12.40;197.00;12.20;17.60;938.90;-;1018.80;1533.50;-;-;-;-;-;-;-
BLA;202309191420;16.00;0.00;10.00;510.00;73.20;11.20;237.00;10.40;19.10;847.90;-;1020.60;1517.80;-;-;-;-;-;-;-
BOL;202309191420;19.60;0.00;10.00;603.00;67.80;13.50;52.00;16.60;22.70;923.40;-;1018.60;1528.70;-;-;-;-;-;-;-
BOU;202309191420;20.30;-;-;-;64.80;13.50;10.00;3.20;5.80;973.70;1016.70;1018.10;-;-;-;-;-;-;-;-
BRZ;202309191420;-;0.00;-;-;-;-;168.00;5.40;7.20;951.40;-;1018.10;-;-;-;-;-;-;-;-
BUS;202309191420;23.40;0.00;10.00;509.00;49.70;12.30;244.00;6.80;11.90;971.30;1015.20;1017.20;-;-;-;-;-;-;-;-
BUF;202309191420;15.50;0.00;9.00;538.00;47.00;4.20;275.00;12.20;20.50;804.90;-;1021.70;1504.10;-;-;-;-;-;-;-
FRE;202309191420;15.90;0.00;9.00;480.00;63.90;9.10;237.00;7.90;15.50;883.20;-;1020.80;1531.20;-;-;-;-;-;-;-
CEV;202309191420;24.60;0.00;10.00;503.00;46.70;12.40;245.00;13.30;24.80;964.40;1011.70;1014.10;-;-;-;-;-;-;-;-
CHZ;202309191420;21.40;0.00;9.00;541.00;54.90;12.00;120.00;5.00;10.40;965.60;1016.00;1017.90;-;-;-;-;-;-;-;-
CHA;202309191420;12.50;0.00;10.00;539.00;75.40;8.30;264.00;17.30;26.30;842.70;-;1021.40;1523.10;-;-;-;-;-;-;-
CHM;202309191420;16.20;0.00;10.00;547.00;58.70;8.10;241.00;8.30;17.30;890.00;-;1020.00;1526.50;-;-;-;-;-;-;-
CHU;202309191420;21.40;0.00;10.00;496.00;60.90;13.50;22.00;27.70;38.20;951.90;1014.70;1017.30;-;-;-;-;-;-;-;-
CHD;202309191420;18.70;0.00;10.00;541.00;66.00;12.20;213.00;14.00;24.10;901.40;-;1019.70;1530.20;-;-;-;-;-;-;-
CIM;202309191420;15.90;0.00;10.00;538.00;50.90;5.80;212.00;10.10;18.00;835.20;-;1020.70;1512.60;-;-;-;-;-;-;-
CDM;202309191420;14.30;0.00;-;-;80.10;10.90;202.00;14.40;22.00;-;-;-;-;-;-;-;-;-;-;-
