Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140540;15.40;0.00;0.00;7.00;94.60;14.50;120.00;1.40;3.60;958.80;1021.30;1022.40;-;-;-;-;-;-;-;-
COM;202309140540;14.00;0.00;0.00;16.00;98.80;13.80;309.00;5.40;7.90;952.10;1018.90;1019.80;-;-;-;-;-;-;-;-
ABO;202309140540;10.10;0.00;0.00;13.00;98.00;9.80;163.00;1.80;3.20;872.80;-;1023.50;1545.60;-;-;-;-;-;-;-
AIG;202309140540;12.80;0.00;0.00;0.00;95.60;12.10;352.00;0.40;1.10;975.90;1021.10;1021.30;-;-;-;-;-;-;-;-
ALT;202309140540;16.20;0.00;0.00;37.00;91.20;14.80;190.00;0.70;1.10;969.90;1021.10;1022.00;-;-;-;-;-;-;-;-
ARH;202309140540;16.60;0.00;0.00;11.00;99.40;16.50;150.00;3.60;5.80;974.70;1021.20;1022.00;-;-;-;-;-;-;-;-
AND;202309140540;13.50;0.00;0.00;0.00;98.40;13.30;272.00;0.40;1.10;908.90;-;1023.00;1549.20;-;-;-;-;-;-;-
ANT;202309140540;10.70;0.00;0.00;13.00;98.20;10.40;20.00;1.80;2.90;862.10;-;1024.60;1553.40;-;-;-;-;-;-;-
ARO;202309140540;8.70;0.00;0.00;21.00;99.20;8.60;109.00;2.20;4.70;816.90;-;1025.20;1548.60;-;-;-;-;-;-;-
RAG;202309140540;16.00;0.00;0.00;0.00;93.30;14.90;304.00;4.70;6.50;963.70;1021.40;1022.50;-;-;-;-;-;-;-;-
BAN;202309140540;-;-;0.00;15.00;-;-;-;-;-;-;-;-;-;-;58.00;29.50;31.00;13.60;76.20;9.50
BAS;202309140540;16.00;0.00;0.00;15.00;94.60;15.10;86.00;1.40;4.00;984.40;1021.70;1022.20;-;-;-;-;-;-;-;-
