Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309151510;22.50;0.00;10.00;477.00;67.60;16.20;76.00;4.00;6.80;953.70;1014.30;1017.00;-;-;-;-;-;-;-;-
COM;202309151510;18.30;0.00;0.00;113.00;83.50;15.50;89.00;4.00;6.50;952.80;1018.60;1020.60;-;-;-;-;-;-;-;-
ABO;202309151510;17.60;0.00;10.00;524.00;69.60;12.00;93.00;8.30;12.20;869.60;-;1019.90;1520.40;-;-;-;-;-;-;-
AIG;202309151510;22.70;0.00;0.00;129.00;61.40;14.90;327.00;4.00;9.70;970.30;1013.70;1015.50;-;-;-;-;-;-;-;-
ALT;202309151510;21.00;0.00;0.00;73.00;75.80;16.60;276.00;3.20;5.40;964.40;1014.40;1016.30;-;-;-;-;-;-;-;-
ARH;202309151510;22.10;0.00;9.00;429.00;64.30;15.00;319.00;5.00;8.30;969.90;1015.20;1017.00;-;-;-;-;-;-;-;-
AND;202309151510;21.20;0.00;10.00;421.00;49.10;10.10;196.00;16.20;26.30;905.40;-;1019.20;1532.10;-;-;-;-;-;-;-
ANT;202309151510;15.00;0.00;0.00;161.00;67.20;9.00;200.00;26.30;37.80;859.80;-;1021.90;1532.70;-;-;-;-;-;-;-
ARO;202309151510;12.70;0.00;0.00;106.00;75.90;8.60;84.00;10.80;15.50;815.00;-;1022.90;1524.00;-;-;-;-;-;-;-
RAG;202309151510;21.00;0.00;0.00;61.00;75.90;16.60;289.00;4.70;6.80;959.10;1015.50;1017.60;-;-;-;-;-;-;-;-
BAN;202309151510;-;-;10.00;470.00;-;-;-;-;-;-;-;-;-;-;34.00;3.20;7.60;16.90;81.30;13.70
BAS;202309151510;24.10;0.00;10.00;394.00;56.80;15.00;66.00;4.70;9.00;977.70;1013.70;1015.30;-;-;-;-;-;-;-;-
LAT;202309151510;16.50;0.00;0.00;109.00;74.00;11.90;191.00;3.60;6.10;-;-;-;-;-;-;-;-;-;-;-
BER;202309151510;23.00;0.00;10.00;411.00;63.20;15.60;332.00;2.90;8.30;951.40;1013.40;1016.40;-;-;-;-;-;-;-;-
BEZ;202309151510;24.50;0.00;10.00;380.00;58.60;15.90;183.00;3.60;8.60;977.00;1014.00;1015.80;-;-;-;-;-;-;-;-
BIA;202309151510;20.00;0.00;0.00;126.00;76.40;15.70;330.00;1.40;4.00;986.30;1018.60;1019.50;-;-;-;-;-;-;-;-
BIN;202309151510;16.20;0.00;-;-;58.00;7.90;63.00;17.60;34.90;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309151510;19.90;0.00;0.00;144.00;76.90;15.70;80.00;8.30;10.80;957.70;1015.50;1017.50;-;-;-;-;-;-;-;-
BIV;202309151510;12.70;0.00;-;-;73.60;8.10;217.00;12.60;23.80;-;-;-;-;-;-;-;-;-;-;-
BIE;202309151510;22.00;0.00;10.00;430.00;61.20;14.20;151.00;8.60;13.30;936.90;-;1016.70;1522.50;-;-;-;-;-;-;-
BLA;202309151510;17.40;0.00;1.00;243.00;56.90;8.80;245.00;7.60;18.70;848.30;-;1021.10;1521.80;-;-;-;-;-;-;-
BOL;202309151510;20.20;0.00;0.00;140.00;66.90;13.90;61.00;15.10;22.30;922.20;-;1017.30;1519.20;-;-;-;-;-;-;-
BOU;202309151510;22.20;-;-;-;65.70;15.50;42.00;2.20;3.20;971.20;1013.80;1015.50;-;-;-;-;-;-;-;-
BRZ;202309151510;-;0.00;-;-;-;-;134.00;2.20;4.00;950.00;-;1016.60;-;-;-;-;-;-;-;-
BUS;202309151510;23.60;0.00;10.00;392.00;59.40;15.20;118.00;2.90;5.80;970.40;1014.30;1016.30;-;-;-;-;-;-;-;-
BUF;202309151510;12.70;0.00;0.00;149.00;75.80;8.50;117.00;13.00;21.60;807.00;-;1024.20;1531.00;-;-;-;-;-;-;-
FRE;202309151510;17.40;0.00;10.00;445.00;77.30;13.40;149.00;9.00;14.00;882.00;-;1019.50;1521.40;-;-;-;-;-;-;-
CEV;202309151510;19.90;0.00;1.00;186.00;77.30;15.80;353.00;6.10;10.10;969.90;1018.30;1019.80;-;-;-;-;-;-;-;-
CHZ;202309151510;23.60;0.00;10.00;385.00;58.50;15.00;332.00;5.00;12.20;964.20;1014.10;1016.50;-;-;-;-;-;-;-;-
