Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140630;15.60;0.00;0.00;66.00;93.70;14.60;0.00;0.00;0.70;959.00;1021.50;1022.60;-;-;-;-;-;-;-;-
COM;202309140630;13.90;0.00;0.00;27.00;99.00;13.70;334.00;6.10;9.70;952.40;1019.30;1020.10;-;-;-;-;-;-;-;-
ABO;202309140630;10.60;0.00;0.00;62.00;94.90;9.80;0.00;1.10;2.50;873.10;-;1023.80;1548.90;-;-;-;-;-;-;-
AIG;202309140630;15.30;0.00;10.00;132.00;92.80;14.10;156.00;4.00;5.00;975.90;1020.70;1021.30;-;-;-;-;-;-;-;-
ALT;202309140630;16.70;0.00;1.00;136.00;90.70;15.20;355.00;0.40;1.40;970.10;1021.20;1022.20;-;-;-;-;-;-;-;-
ARH;202309140630;16.70;0.00;0.00;40.00;99.50;16.60;110.00;5.00;6.80;974.90;1021.40;1022.20;-;-;-;-;-;-;-;-
AND;202309140630;13.90;0.00;0.00;31.00;92.80;12.80;327.00;2.90;4.30;909.10;-;1023.20;1551.80;-;-;-;-;-;-;-
ANT;202309140630;11.10;0.00;0.00;77.00;94.80;10.30;210.00;3.20;4.00;862.20;-;1024.70;1554.60;-;-;-;-;-;-;-
ARO;202309140630;8.80;0.00;0.00;35.00;99.20;8.70;117.00;2.90;5.40;817.10;-;1025.40;1550.60;-;-;-;-;-;-;-
RAG;202309140630;15.90;0.10;0.00;32.00;95.30;15.10;278.00;9.00;12.20;964.10;1021.90;1022.90;-;-;-;-;-;-;-;-
BAN;202309140630;-;-;0.00;65.00;-;-;-;-;-;-;-;-;-;-;59.00;28.80;29.90;12.70;91.20;11.30
BAS;202309140630;16.00;0.00;0.00;29.00;94.80;15.20;305.00;4.00;6.80;984.70;1022.00;1022.60;-;-;-;-;-;-;-;-
LAT;202309140630;11.60;0.00;0.00;45.00;97.60;11.20;291.00;2.50;4.70;-;-;-;-;-;-;-;-;-;-;-
BER;202309140630;15.70;0.00;0.00;53.00;94.60;14.80;32.00;11.20;16.90;956.70;1020.80;1022.00;-;-;-;-;-;-;-;-
BEZ;202309140630;15.80;0.00;9.00;193.00;99.80;15.80;345.00;2.50;4.00;983.60;1022.10;1022.60;-;-;-;-;-;-;-;-
BIA;202309140630;15.60;0.00;0.00;30.00;96.90;15.10;0.00;1.10;4.00;985.80;1018.60;1019.00;-;-;-;-;-;-;-;-
BIN;202309140630;10.20;0.00;-;-;99.20;10.10;245.00;2.50;4.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309140630;15.80;0.00;0.00;47.00;97.10;15.30;224.00;4.00;6.10;962.50;1021.40;1022.50;-;-;-;-;-;-;-;-
BIV;202309140630;8.90;0.00;-;-;99.20;8.80;261.00;10.40;15.80;-;-;-;-;-;-;-;-;-;-;-
BIE;202309140630;14.90;0.00;9.00;165.00;92.50;13.70;51.00;10.10;19.40;941.90;-;1022.00;1545.30;-;-;-;-;-;-;-
BLA;202309140630;10.30;0.00;0.00;18.00;99.20;10.20;234.00;1.80;3.60;851.30;-;1024.60;1551.60;-;-;-;-;-;-;-
BOL;202309140630;14.00;0.00;0.00;77.00;92.40;12.80;66.00;1.80;4.30;927.10;-;1022.60;1547.70;-;-;-;-;-;-;-
BOU;202309140630;15.10;-;-;-;91.90;13.80;132.00;6.10;9.00;976.60;1020.60;1021.10;-;-;-;-;-;-;-;-
BRZ;202309140630;-;0.00;-;-;-;-;145.00;2.50;5.40;955.30;-;1022.20;-;-;-;-;-;-;-;-
BUS;202309140630;16.20;0.00;3.00;113.00;95.10;15.40;85.00;1.40;5.00;976.50;1021.90;1022.60;-;-;-;-;-;-;-;-
BUF;202309140630;9.20;0.00;0.00;52.00;94.00;8.30;297.00;3.60;6.10;808.30;-;1025.80;1550.10;-;-;-;-;-;-;-
FRE;202309140630;12.30;0.00;10.00;175.00;91.00;10.90;34.00;9.70;16.60;885.80;-;1023.80;1551.40;-;-;-;-;-;-;-
CEV;202309140630;14.90;0.00;0.00;19.00;97.00;14.40;197.00;1.40;3.20;969.70;1019.00;1019.60;-;-;-;-;-;-;-;-
CHZ;202309140630;15.90;0.00;0.00;36.00;99.40;15.80;316.00;5.00;6.80;970.00;1021.70;1022.50;-;-;-;-;-;-;-;-
CHA;202309140630;9.60;0.00;8.00;142.00;96.70;9.10;87.00;16.60;22.70;845.50;-;1024.70;1551.50;-;-;-;-;-;-;-
CHM;202309140630;13.00;0.00;10.00;175.00;87.70;11.00;80.00;10.80;19.40;893.10;-;1023.50;1550.90;-;-;-;-;-;-;-
CHU;202309140630;16.50;0.00;0.00;49.00;90.50;14.90;24.00;5.00;9.70;956.90;1021.20;1022.60;-;-;-;-;-;-;-;-
CHD;202309140630;11.70;0.00;0.00;64.00;95.80;11.10;225.00;2.50;3.60;904.40;-;1023.00;1545.10;-;-;-;-;-;-;-
CIM;202309140630;13.60;0.00;10.00;142.00;72.60;8.80;360.00;1.80;4.70;837.50;-;1023.40;1537.10;-;-;-;-;-;-;-
CDM;202309140630;8.50;0.00;-;-;100.00;8.50;58.00;4.00;6.80;-;-;-;-;-;-;-;-;-;-;-
GSB;202309140630;6.90;0.00;10.00;217.00;80.60;3.80;71.00;2.90;10.10;758.70;-;1027.00;-;3145.30;-;-;-;-;-;-
COY;202309140630;13.70;0.00;-;-;99.30;13.60;241.00;1.40;3.60;-;-;-;-;-;-;-;-;-;-;-
CMA;202309140630;5.20;-;0.00;153.00;93.10;4.20;5.00;3.60;7.90;759.30;-;1027.30;-;3144.20;-;-;-;-;-;-
CRM;202309140630;16.30;0.00;-;171.00;98.80;16.10;49.00;4.70;6.50;970.80;1021.00;1021.90;-;-;-;-;-;-;-;-
DAV;202309140630;10.40;0.00;0.00;43.00;96.20;9.80;15.00;6.80;10.10;845.70;-;1024.90;1553.30;-;-;-;-;-;-;-
DEM;202309140630;16.00;0.00;0.00;53.00;95.20;15.20;76.00;2.90;4.70;970.40;1021.70;1022.50;-;-;-;-;-;-;-;-
DIS;202309140630;12.60;0.00;0.00;94.00;94.00;11.70;212.00;2.50;4.00;887.10;-;1024.20;1555.80;-;-;-;-;-;-;-
EBK;202309140630;15.20;0.00;0.00;97.00;99.20;15.10;285.00;0.40;1.40;949.60;-;1022.90;1553.40;-;-;-;-;-;-;-
EGH;202309140630;4.60;-;10.00;225.00;89.80;3.10;64.00;7.60;11.90;722.00;-;1028.30;-;3144.90;-;-;-;-;-;-
EGO;202309140630;15.80;0.00;-;75.00;99.40;15.70;153.00;1.40;2.50;960.70;1021.30;1022.40;-;-;-;-;-;-;-;-
EIN;202309140630;13.40;0.00;0.00;26.00;100.00;13.40;243.00;1.80;2.50;917.60;-;1023.30;1551.40;-;-;-;-;-;-;-
ELM;202309140630;13.20;0.00;0.00;59.00;94.30;12.30;319.00;0.70;1.40;912.70;-;1023.60;1553.40;-;-;-;-;-;-;-
ENG;202309140630;11.60;0.00;0.00;77.00;94.70;10.80;92.00;8.60;14.40;904.30;-;1023.80;1552.10;-;-;-;-;-;-;-
EVI;202309140630;14.40;0.00;0.00;22.00;99.20;14.30;321.00;5.80;11.90;964.70;1021.10;1021.80;-;-;-;-;-;-;-;-
EVO;202309140630;7.80;0.00;0.00;11.00;94.50;7.00;32.00;3.60;6.80;821.90;-;1025.10;1550.40;-;-;-;-;-;-;-
FAH;202309140630;13.80;0.00;0.00;49.00;100.00;13.80;50.00;5.80;11.20;952.80;1022.30;1023.10;-;-;-;-;-;-;-;-
FLU;202309140630;12.60;0.00;-;-;93.90;11.60;71.00;2.50;4.00;-;-;-;-;-;-;-;-;-;-;-
GRA;202309140630;14.10;0.00;7.00;193.00;99.40;14.00;57.00;2.50;4.30;945.70;-;1022.10;1543.10;-;-;-;-;-;-;-
FRU;202309140630;13.90;0.00;0.00;34.00;99.00;13.70;163.00;3.60;4.70;-;-;-;-;-;-;-;-;-;-;-
GVE;202309140630;18.20;0.00;6.00;187.00;84.10;15.50;30.00;15.10;27.40;972.40;1020.10;1021.30;-;-;-;-;-;-;-;-
GES;202309140630;16.10;0.00;-;-;95.40;15.40;239.00;5.80;9.00;960.80;1021.20;1022.30;-;-;-;-;-;-;-;-
GIH;202309140630;15.90;0.00;0.00;39.00;99.20;15.80;220.00;1.80;3.60;966.60;1021.50;1022.50;-;-;-;-;-;-;-;-
GLA;202309140630;15.90;0.00;0.00;82.00;95.10;15.10;104.00;1.10;2.90;961.30;1021.30;1022.40;-;-;-;-;-;-;-;-
GOR;202309140630;1.80;-;10.00;202.00;99.50;1.70;144.00;9.40;12.20;701.30;-;1029.40;-;3146.40;-;-;-;-;-;-
GRE;202309140630;15.60;0.00;0.00;89.00;99.30;15.50;9.00;2.90;4.70;971.20;1021.30;1022.10;-;-;-;-;-;-;-;-
GRH;202309140630;6.70;0.00;0.00;18.00;92.20;5.50;243.00;13.70;17.30;809.30;-;1026.00;1556.30;-;-;-;-;-;-;-
GRO;202309140630;15.60;0.00;0.00;47.00;96.70;15.10;11.00;4.70;6.50;980.70;1018.80;1019.30;-;-;-;-;-;-;-;-
GRC;202309140630;10.20;0.00;0.00;81.00;94.40;9.30;-;-;-;844.40;-;1024.70;1550.80;-;-;-;-;-;-;-
GOS;202309140630;12.80;0.00;-;-;95.70;12.10;216.00;1.10;2.50;913.30;-;1023.40;1550.70;-;-;-;-;-;-;-
GOE;202309140630;16.40;0.00;3.00;122.00;90.30;14.80;61.00;4.70;8.30;977.00;1021.60;1022.40;-;-;-;-;-;-;-;-
GUE;202309140630;6.60;0.00;0.00;66.00;91.90;5.40;51.00;10.80;17.30;777.70;-;1026.70;1550.70;-;-;-;-;-;-;-
GUT;202309140630;16.40;0.00;0.00;35.00;95.10;15.60;295.00;7.20;14.80;970.10;1021.40;1022.40;-;-;-;-;-;-;-;-
HLL;202309140630;15.00;0.00;0.00;110.00;90.70;13.50;4.00;13.70;20.90;972.80;1022.00;1022.60;-;-;-;-;-;-;-;-
HOE;202309140630;12.10;0.00;0.00;34.00;100.00;12.10;82.00;6.80;15.80;893.80;-;1023.90;1553.30;-;-;-;-;-;-;-
ILZ;202309140630;15.20;0.00;0.00;63.00;99.30;15.10;-;-;-;941.30;-;1023.10;1555.40;-;-;-;-;-;-;-
INT;202309140630;15.50;0.00;0.00;36.00;99.30;15.40;239.00;3.20;6.10;954.20;1021.00;1022.30;-;-;-;-;-;-;-;-
JUN;202309140630;-0.20;-;10.00;218.00;87.80;-2.00;149.00;18.00;20.90;663.50;-;1030.80;-;3144.70;-;-;-;-;-;-
KOP;202309140630;15.10;0.00;0.00;57.00;95.60;14.40;35.00;4.70;5.40;965.00;1021.60;1022.50;-;-;-;-;-;-;-;-
BRL;202309140630;10.30;0.00;0.00;113.00;100.00;10.30;65.00;4.70;6.80;902.50;-;1023.50;1547.10;-;-;-;-;-;-;-
CDF;202309140630;12.40;0.00;5.00;187.00;94.60;11.60;70.00;6.50;9.40;905.90;-;1023.40;1549.70;-;-;-;-;-;-;-
DOL;202309140630;9.10;0.00;0.00;78.00;100.00;9.10;86.00;39.20;51.80;837.00;-;1023.90;1542.90;-;-;-;-;-;-;-
LAC;202309140630;16.90;0.00;-;-;99.20;16.80;-;-;-;-;-;-;-;-;-;-;-;-;-;-
