Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309172200;16.10;0.00;0.00;2.00;91.40;14.70;268.00;2.50;5.00;950.70;1012.50;1013.90;-;-;-;-;-;-;-;-
COM;202309172200;17.40;0.00;0.00;1.00;94.50;16.50;202.00;2.20;4.30;953.70;1019.80;1021.50;-;-;-;-;-;-;-;-
ABO;202309172200;14.70;0.00;0.00;2.00;67.50;8.80;233.00;5.00;11.20;868.30;-;1018.40;1505.80;-;-;-;-;-;-;-
AIG;202309172200;18.50;0.00;0.00;0.00;76.30;14.30;169.00;5.40;10.40;967.40;1011.30;1012.50;-;-;-;-;-;-;-;-
ALT;202309172200;26.50;0.00;0.00;0.00;35.90;10.20;139.00;40.30;66.20;962.20;1011.10;1014.00;-;-;-;-;-;-;-;-
ARH;202309172200;27.40;0.00;0.00;0.00;33.30;9.80;181.00;25.60;58.30;965.60;1009.80;1012.50;-;-;-;-;-;-;-;-
AND;202309172200;19.20;0.00;0.00;0.00;61.30;11.60;191.00;9.00;15.50;907.60;-;1021.60;1548.80;-;-;-;-;-;-;-
ANT;202309172200;16.00;0.00;0.00;0.00;67.80;10.10;221.00;16.60;35.60;861.30;-;1023.70;1547.90;-;-;-;-;-;-;-
ARO;202309172200;15.30;0.00;0.00;2.00;51.80;5.50;235.00;10.10;32.80;816.80;-;1025.10;1539.50;-;-;-;-;-;-;-
RAG;202309172200;22.10;0.00;0.00;0.00;50.20;11.30;137.00;31.30;53.60;957.90;1014.00;1016.40;-;-;-;-;-;-;-;-
BAN;202309172200;-;-;0.00;1.00;-;-;-;-;-;-;-;-;-;-;217.00;19.40;26.60;19.60;60.10;11.70
BAS;202309172200;21.60;0.00;0.00;0.00;71.70;16.30;110.00;4.00;10.80;974.50;1010.70;1012.00;-;-;-;-;-;-;-;-
LAT;202309172200;12.40;0.00;0.00;1.00;79.00;8.90;0.00;2.50;5.40;-;-;-;-;-;-;-;-;-;-;-
BER;202309172200;18.30;0.00;0.00;0.00;86.40;16.00;86.00;3.20;6.80;949.20;1012.20;1014.10;-;-;-;-;-;-;-;-
BEZ;202309172200;18.80;0.00;0.00;3.00;93.80;17.80;76.00;1.10;2.50;974.10;1011.80;1012.80;-;-;-;-;-;-;-;-
BIA;202309172200;18.60;0.00;0.00;0.00;94.80;17.70;124.00;2.20;4.70;987.20;1019.70;1020.40;-;-;-;-;-;-;-;-
BIN;202309172200;16.10;0.00;-;-;64.60;9.40;60.00;14.40;33.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309172200;15.40;0.00;0.00;2.00;98.10;15.10;208.00;5.00;6.50;954.10;1012.60;1013.70;-;-;-;-;-;-;-;-
BIV;202309172200;13.50;0.00;-;-;74.70;9.10;334.00;7.60;18.00;-;-;-;-;-;-;-;-;-;-;-
BIE;202309172200;17.60;0.00;0.00;1.00;89.60;15.90;10.00;4.30;6.10;935.10;-;1014.80;1493.10;-;-;-;-;-;-;-
BLA;202309172200;10.20;0.00;0.00;2.00;90.40;8.70;55.00;3.60;7.60;849.50;-;1022.50;1534.00;-;-;-;-;-;-;-
BOL;202309172200;14.70;0.00;0.00;0.00;84.50;12.10;221.00;6.10;10.80;921.10;-;1016.10;1495.50;-;-;-;-;-;-;-
BOU;202309172200;22.20;-;-;-;63.20;14.90;260.00;7.60;14.00;968.20;1010.70;1012.40;-;-;-;-;-;-;-;-
BRZ;202309172200;-;0.00;-;-;-;-;65.00;2.20;6.80;947.60;-;1014.00;-;-;-;-;-;-;-;-
BUS;202309172200;18.50;0.00;0.00;1.00;91.40;17.10;169.00;1.40;4.00;967.40;1012.00;1013.20;-;-;-;-;-;-;-;-
BUF;202309172200;6.40;0.00;0.00;1.00;95.30;5.70;119.00;3.20;6.50;809.60;-;1027.40;1567.70;-;-;-;-;-;-;-
FRE;202309172200;17.50;0.00;0.00;1.00;76.20;13.30;115.00;3.60;5.80;880.60;-;1017.90;1508.10;-;-;-;-;-;-;-
CEV;202309172200;18.30;0.00;0.00;1.00;93.70;17.30;358.00;3.20;5.40;971.30;1020.10;1021.30;-;-;-;-;-;-;-;-
CHZ;202309172200;18.40;0.00;0.00;0.00;95.60;17.70;22.00;3.20;6.50;961.20;1011.90;1013.30;-;-;-;-;-;-;-;-
CHA;202309172200;14.80;0.00;0.00;0.00;91.90;13.50;150.00;30.60;37.10;841.10;-;1019.60;1506.40;-;-;-;-;-;-;-
CHM;202309172200;18.00;0.00;0.00;0.00;65.60;11.50;82.00;15.10;23.00;886.90;-;1016.60;1499.40;-;-;-;-;-;-;-
CHU;202309172200;21.40;0.00;0.00;1.00;52.40;11.30;203.00;15.50;30.20;952.90;1015.70;1018.30;-;-;-;-;-;-;-;-
CHD;202309172200;14.00;0.00;0.00;0.00;90.30;12.40;206.00;3.60;10.10;898.90;-;1016.90;1498.50;-;-;-;-;-;-;-
CIM;202309172200;12.20;0.00;0.00;0.00;97.10;11.80;94.00;6.80;12.20;839.70;-;1026.00;1559.80;-;-;-;-;-;-;-
CDM;202309172200;13.80;0.00;-;-;67.00;7.80;217.00;4.00;8.60;-;-;-;-;-;-;-;-;-;-;-
GSB;202309172200;7.50;0.00;0.00;0.00;100.00;7.50;281.00;34.20;41.80;759.50;-;1028.00;-;3155.40;-;-;-;-;-;-
