Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309160540;12.90;0.00;0.00;27.00;100.00;12.90;0.00;0.00;0.00;953.10;1015.80;1016.40;-;-;-;-;-;-;-;-
COM;202309160540;14.90;0.00;0.00;5.00;98.00;14.60;8.00;0.70;2.50;953.00;1019.70;1020.80;-;-;-;-;-;-;-;-
ABO;202309160540;12.70;0.00;0.00;12.00;72.80;7.90;297.00;4.00;9.00;868.90;-;1019.10;1510.30;-;-;-;-;-;-;-
AIG;202309160540;19.70;0.00;0.00;0.00;57.90;11.20;171.00;14.00;27.40;969.10;1012.90;1014.20;-;-;-;-;-;-;-;-
ALT;202309160540;15.20;0.00;0.00;15.00;74.70;10.70;48.00;3.60;6.80;964.00;1015.10;1015.80;-;-;-;-;-;-;-;-
ARH;202309160540;15.50;0.00;0.00;33.00;99.40;15.40;97.00;4.30;7.20;969.20;1015.60;1016.30;-;-;-;-;-;-;-;-
AND;202309160540;10.20;0.00;0.00;0.00;94.20;9.30;295.00;2.20;3.20;906.50;-;1020.40;1520.70;-;-;-;-;-;-;-
ANT;202309160540;10.70;0.00;0.00;35.00;74.40;6.30;324.00;4.30;9.70;859.80;-;1021.90;1531.20;-;-;-;-;-;-;-
ARO;202309160540;9.90;0.00;0.00;24.00;60.80;2.70;58.00;4.00;8.30;814.90;-;1022.80;1526.60;-;-;-;-;-;-;-
RAG;202309160540;16.40;0.00;0.00;39.00;67.70;10.40;119.00;16.20;31.00;959.10;1016.50;1017.60;-;-;-;-;-;-;-;-
BAN;202309160540;-;-;0.00;28.00;-;-;-;-;-;-;-;-;-;-;59.00;20.20;20.90;18.00;64.50;11.20
BAS;202309160540;16.60;0.00;6.00;39.00;89.60;14.90;101.00;3.60;9.00;977.10;1014.10;1014.70;-;-;-;-;-;-;-;-
LAT;202309160540;9.20;0.00;0.00;23.00;84.30;6.70;29.00;3.20;5.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309160540;15.30;0.00;0.00;24.00;95.30;14.60;346.00;3.20;5.80;950.60;1014.40;1015.60;-;-;-;-;-;-;-;-
BEZ;202309160540;14.50;0.00;0.00;45.00;100.00;14.50;79.00;0.70;2.50;977.00;1015.40;1015.80;-;-;-;-;-;-;-;-
BIA;202309160540;16.20;0.10;0.00;8.00;96.70;15.70;241.00;1.40;4.30;986.60;1019.40;1019.80;-;-;-;-;-;-;-;-
BIN;202309160540;11.60;0.00;-;-;80.40;8.30;42.00;3.20;7.20;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309160540;14.10;0.00;0.00;20.00;99.20;14.00;262.00;2.20;4.70;956.80;1015.80;1016.50;-;-;-;-;-;-;-;-
BIV;202309160540;9.50;0.00;-;-;80.50;6.30;100.00;4.00;7.90;-;-;-;-;-;-;-;-;-;-;-
BIE;202309160540;17.90;0.00;0.00;9.00;79.70;14.30;48.00;6.10;14.40;936.00;-;1015.70;1502.00;-;-;-;-;-;-;-
BLA;202309160540;8.80;0.00;0.00;20.00;90.40;7.30;66.00;4.30;7.20;848.90;-;1021.80;1528.10;-;-;-;-;-;-;-
BOL;202309160540;13.10;0.00;0.00;5.00;85.00;10.60;235.00;7.60;12.20;922.30;-;1017.40;1502.30;-;-;-;-;-;-;-
BOU;202309160540;21.10;-;-;-;62.00;13.50;224.00;14.00;27.40;969.80;1012.50;1014.10;-;-;-;-;-;-;-;-
BRZ;202309160540;-;0.00;-;-;-;-;68.00;3.60;6.50;949.50;-;1016.10;-;-;-;-;-;-;-;-
BUS;202309160540;13.90;0.00;0.00;30.00;98.30;13.60;18.00;0.40;1.80;969.90;1015.30;1015.80;-;-;-;-;-;-;-;-
BUF;202309160540;3.40;0.00;0.00;19.00;97.50;3.00;152.00;3.20;5.40;807.40;-;1024.70;1549.80;-;-;-;-;-;-;-
FRE;202309160540;14.90;0.00;0.00;8.00;81.90;11.80;8.00;5.40;8.60;880.90;-;1018.30;1508.10;-;-;-;-;-;-;-
CEV;202309160540;16.00;0.00;0.00;16.00;96.30;15.40;169.00;6.50;11.50;970.40;1019.50;1020.40;-;-;-;-;-;-;-;-
CHZ;202309160540;14.20;0.00;0.00;42.00;99.40;14.10;298.00;6.80;7.90;963.70;1015.40;1016.00;-;-;-;-;-;-;-;-
