Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309150710;15.70;0.00;0.00;67.00;91.90;14.40;46.00;1.10;2.50;956.10;1018.40;1019.60;-;-;-;-;-;-;-;-
COM;202309150710;15.60;0.00;0.00;171.00;100.00;15.60;239.00;2.20;5.00;954.40;1021.00;1022.20;-;-;-;-;-;-;-;-
ABO;202309150710;12.40;0.00;0.00;60.00;89.10;10.70;130.00;1.10;2.50;871.20;-;1021.70;1532.10;-;-;-;-;-;-;-
AIG;202309150710;18.60;0.00;0.00;47.00;80.80;15.20;55.00;3.60;8.30;973.40;1017.60;1018.70;-;-;-;-;-;-;-;-
ALT;202309150710;17.60;0.00;0.00;89.00;89.50;15.90;164.00;4.00;5.00;967.30;1018.10;1019.30;-;-;-;-;-;-;-;-
ARH;202309150710;17.00;0.00;0.00;107.00;99.30;16.90;316.00;8.30;14.00;972.00;1018.30;1019.20;-;-;-;-;-;-;-;-
AND;202309150710;14.70;0.00;0.00;76.00;91.30;13.30;336.00;3.60;6.10;907.50;-;1021.50;1538.80;-;-;-;-;-;-;-
ANT;202309150710;13.20;0.00;0.00;125.00;71.70;8.20;190.00;18.40;27.70;861.10;-;1023.40;1544.80;-;-;-;-;-;-;-
ARO;202309150710;10.80;0.00;0.00;176.00;89.70;9.20;184.00;5.00;6.50;816.10;-;1024.20;1537.80;-;-;-;-;-;-;-
RAG;202309150710;16.70;0.00;0.00;150.00;89.90;15.00;308.00;4.30;7.90;961.10;1018.50;1019.70;-;-;-;-;-;-;-;-
BAN;202309150710;-;-;0.00;82.00;-;-;-;-;-;-;-;-;-;-;199.00;9.00;11.50;13.60;94.90;12.80
BAS;202309150710;14.40;0.00;0.00;116.00;80.60;11.10;311.00;1.40;2.90;981.60;1019.00;1019.40;-;-;-;-;-;-;-;-
LAT;202309150710;12.50;0.00;0.00;87.00;91.20;11.10;205.00;1.40;2.20;-;-;-;-;-;-;-;-;-;-;-
BER;202309150710;16.30;0.00;0.00;114.00;90.90;14.80;0.00;0.00;0.40;954.40;1018.20;1019.60;-;-;-;-;-;-;-;-
BEZ;202309150710;16.80;0.00;0.00;46.00;84.30;14.10;336.00;2.20;4.70;980.50;1018.70;1019.40;-;-;-;-;-;-;-;-
BIA;202309150710;17.10;0.30;0.00;83.00;95.30;16.30;153.00;2.20;4.00;988.10;1020.80;1021.40;-;-;-;-;-;-;-;-
BIN;202309150710;9.70;0.00;-;-;98.30;9.40;76.00;3.20;5.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309150710;15.70;0.00;0.00;90.00;91.40;14.30;78.00;2.90;6.10;959.60;1018.40;1019.40;-;-;-;-;-;-;-;-
BIV;202309150710;11.20;0.00;-;-;87.80;9.30;259.00;4.30;7.90;-;-;-;-;-;-;-;-;-;-;-
BIE;202309150710;16.80;0.00;0.00;294.00;87.30;14.70;49.00;4.00;11.90;939.70;-;1019.70;1531.80;-;-;-;-;-;-;-
BLA;202309150710;10.60;0.10;0.00;99.00;96.70;10.10;29.00;3.20;5.00;850.90;-;1024.10;1547.70;-;-;-;-;-;-;-
BOL;202309150710;14.80;0.00;0.00;115.00;92.10;13.50;46.00;1.80;8.30;925.10;-;1020.50;1531.80;-;-;-;-;-;-;-
BOU;202309150710;18.00;-;-;-;89.40;16.20;157.00;2.50;4.00;974.30;1017.70;1018.70;-;-;-;-;-;-;-;-
BRZ;202309150710;-;0.00;-;-;-;-;71.00;4.30;5.80;953.00;-;1019.70;-;-;-;-;-;-;-;-
BUS;202309150710;16.90;0.00;0.00;60.00;80.40;13.50;39.00;2.50;5.40;973.60;1018.70;1019.60;-;-;-;-;-;-;-;-
BUF;202309150710;10.00;0.00;0.00;87.00;90.80;8.60;127.00;9.00;14.00;808.10;-;1025.50;1546.70;-;-;-;-;-;-;-
FRE;202309150710;12.50;0.00;0.00;45.00;100.00;12.50;133.00;2.50;4.30;883.80;-;1021.50;1532.80;-;-;-;-;-;-;-
CEV;202309150710;16.00;0.20;0.00;26.00;96.80;15.50;177.00;1.40;2.90;971.70;1020.90;1021.70;-;-;-;-;-;-;-;-
CHZ;202309150710;17.10;0.00;0.00;175.00;84.50;14.50;299.00;2.90;6.50;967.20;1018.50;1019.60;-;-;-;-;-;-;-;-
CHA;202309150710;11.60;0.00;0.00;165.00;89.70;10.00;267.00;11.50;13.70;843.30;-;1022.20;1529.40;-;-;-;-;-;-;-
CHM;202309150710;13.00;0.00;0.00;78.00;98.40;12.80;58.00;3.20;10.80;890.70;-;1020.80;1528.50;-;-;-;-;-;-;-
CHU;202309150710;18.80;0.00;0.00;126.00;71.70;13.60;191.00;14.00;30.20;954.00;1017.50;1019.50;-;-;-;-;-;-;-;-
CHD;202309150710;13.70;0.70;0.00;26.00;97.70;13.30;121.00;2.20;3.60;902.80;-;1021.20;1534.10;-;-;-;-;-;-;-
CIM;202309150710;9.70;0.10;0.00;44.00;81.90;6.80;80.00;2.50;3.20;838.40;-;1024.50;1547.80;-;-;-;-;-;-;-
CDM;202309150710;11.60;0.00;-;-;100.00;11.60;20.00;5.40;8.30;-;-;-;-;-;-;-;-;-;-;-
GSB;202309150710;6.30;0.00;0.00;124.00;89.20;4.70;266.00;12.60;19.80;758.30;-;1026.40;-;3139.60;-;-;-;-;-;-
COY;202309150710;15.60;0.00;-;-;99.30;15.50;1.00;3.60;5.40;-;-;-;-;-;-;-;-;-;-;-
CMA;202309150710;6.80;-;0.00;176.00;83.30;4.20;247.00;16.60;22.30;758.70;-;1026.50;-;3141.80;-;-;-;-;-;-
CRM;202309150710;17.90;0.00;-;107.00;83.90;15.10;101.00;9.70;14.40;968.10;1017.90;1019.10;-;-;-;-;-;-;-;-
DAV;202309150710;11.90;0.00;9.00;313.00;81.40;8.80;189.00;7.20;10.80;844.40;-;1023.40;1540.20;-;-;-;-;-;-;-
DEM;202309150710;13.90;0.00;0.00;73.00;99.20;13.80;0.00;1.40;3.20;967.40;1018.90;1019.40;-;-;-;-;-;-;-;-
DIS;202309150710;13.90;0.00;0.00;127.00;88.70;12.10;286.00;3.20;5.00;885.80;-;1022.80;1545.20;-;-;-;-;-;-;-
EBK;202309150710;16.30;0.00;0.00;96.00;89.30;14.50;289.00;1.10;2.50;946.70;-;1019.80;1531.70;-;-;-;-;-;-;-
EGH;202309150710;2.80;-;0.00;56.00;94.70;2.00;192.00;1.80;5.40;721.60;-;1027.80;-;3138.80;-;-;-;-;-;-
EGO;202309150710;16.30;0.00;-;90.00;95.50;15.60;0.00;0.00;0.00;958.10;1018.40;1019.70;-;-;-;-;-;-;-;-
EIN;202309150710;14.20;0.00;0.00;153.00;92.70;13.00;166.00;1.10;2.20;915.10;-;1020.50;1530.60;-;-;-;-;-;-;-
ELM;202309150710;13.80;0.00;0.00;120.00;88.90;12.00;96.00;1.10;2.50;910.00;-;1020.60;1530.10;-;-;-;-;-;-;-
ENG;202309150710;14.10;0.00;4.00;213.00;90.20;12.50;123.00;3.20;5.40;901.80;-;1021.10;1533.70;-;-;-;-;-;-;-
EVI;202309150710;17.80;0.00;0.00;91.00;83.20;14.90;126.00;30.20;49.00;962.40;1017.90;1019.40;-;-;-;-;-;-;-;-
EVO;202309150710;9.50;0.00;0.00;171.00;96.20;8.90;277.00;3.20;5.00;821.20;-;1024.30;1541.60;-;-;-;-;-;-;-
FAH;202309150710;14.80;0.00;10.00;304.00;83.20;12.00;69.00;7.60;16.20;949.20;1018.20;1019.30;-;-;-;-;-;-;-;-
FLU;202309150710;13.90;0.00;-;-;92.20;12.70;120.00;3.60;6.80;-;-;-;-;-;-;-;-;-;-;-
GRA;202309150710;15.30;0.00;0.00;111.00;99.40;15.20;269.00;2.90;4.70;943.40;-;1019.60;1526.80;-;-;-;-;-;-;-
FRU;202309150710;15.00;0.00;0.00;56.00;97.50;14.60;51.00;2.90;5.80;-;-;-;-;-;-;-;-;-;-;-
GVE;202309150710;18.40;0.00;1.00;180.00;84.80;15.80;319.00;1.80;5.80;970.00;1017.50;1018.80;-;-;-;-;-;-;-;-
GES;202309150710;17.20;0.00;-;-;89.20;15.40;132.00;7.20;13.30;958.10;1018.10;1019.50;-;-;-;-;-;-;-;-
GIH;202309150710;17.10;0.00;0.00;63.00;93.30;16.00;237.00;1.10;2.20;964.00;1018.50;1019.70;-;-;-;-;-;-;-;-
GLA;202309150710;15.50;0.00;0.00;109.00;91.90;14.20;107.00;2.20;3.60;958.60;1018.60;1019.60;-;-;-;-;-;-;-;-
GOR;202309150710;2.10;-;0.00;264.00;100.00;2.10;77.00;2.50;6.10;700.70;-;1028.60;-;3139.50;-;-;-;-;-;-
GRE;202309150710;17.20;0.00;0.00;105.00;85.80;14.80;53.00;6.10;9.00;968.50;1018.20;1019.30;-;-;-;-;-;-;-;-
GRH;202309150710;8.90;0.00;0.00;105.00;75.70;4.80;137.00;25.20;32.80;808.60;-;1025.20;1545.70;-;-;-;-;-;-;-
GRO;202309150710;16.90;0.20;0.00;71.00;97.10;16.40;185.00;0.40;1.80;982.90;1020.90;1021.50;-;-;-;-;-;-;-;-
GRC;202309150710;10.10;0.00;0.00;105.00;91.90;8.80;-;-;-;844.20;-;1024.40;1548.80;-;-;-;-;-;-;-
