Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309172240;16.50;0.00;0.00;1.00;89.90;14.80;148.00;1.80;4.30;950.40;1012.10;1013.60;-;-;-;-;-;-;-;-
COM;202309172240;17.40;0.00;0.00;1.00;96.60;16.90;0.00;0.00;1.10;953.60;1019.70;1021.40;-;-;-;-;-;-;-;-
ABO;202309172240;17.30;0.00;0.00;1.00;54.30;8.00;324.00;7.90;14.40;868.00;-;1018.00;1504.60;-;-;-;-;-;-;-
AIG;202309172240;21.90;0.00;0.00;0.00;63.60;14.70;346.00;14.00;24.50;967.70;1011.10;1012.80;-;-;-;-;-;-;-;-
ALT;202309172240;26.40;0.00;0.00;0.00;36.30;10.30;149.00;35.30;62.60;962.00;1010.90;1013.70;-;-;-;-;-;-;-;-
ARH;202309172240;27.20;0.00;0.00;0.00;34.20;10.10;181.00;22.70;46.10;965.20;1009.50;1012.10;-;-;-;-;-;-;-;-
AND;202309172240;18.00;0.00;0.00;0.00;66.90;11.80;135.00;8.30;14.00;907.00;-;1020.90;1540.80;-;-;-;-;-;-;-
ANT;202309172240;16.10;0.00;0.00;0.00;67.00;10.00;203.00;13.00;24.50;860.90;-;1023.20;1544.00;-;-;-;-;-;-;-
ARO;202309172240;14.90;0.00;0.00;2.00;53.70;5.60;188.00;11.50;25.20;816.50;-;1024.70;1536.80;-;-;-;-;-;-;-
RAG;202309172240;23.00;0.00;0.00;0.00;47.70;11.30;130.00;37.10;58.30;957.70;1013.60;1016.20;-;-;-;-;-;-;-;-
BAN;202309172240;-;-;0.00;1.00;-;-;-;-;-;-;-;-;-;-;171.00;24.80;34.20;21.70;43.40;8.70
BAS;202309172240;20.20;0.00;0.00;0.00;80.00;16.60;203.00;2.50;4.30;974.60;1011.00;1012.10;-;-;-;-;-;-;-;-
LAT;202309172240;12.80;0.00;0.00;1.00;78.40;9.10;323.00;4.30;6.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309172240;16.90;0.00;0.00;0.00;91.70;15.50;207.00;4.00;8.30;948.60;1011.90;1013.50;-;-;-;-;-;-;-;-
BEZ;202309172240;18.80;0.00;0.00;2.00;92.20;17.50;76.00;2.20;4.30;974.00;1011.70;1012.70;-;-;-;-;-;-;-;-
BIA;202309172240;18.60;0.00;0.00;1.00;93.70;17.60;246.00;6.10;7.90;986.90;1019.40;1020.10;-;-;-;-;-;-;-;-
BIN;202309172240;15.90;0.00;-;-;65.60;9.50;57.00;10.10;17.30;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309172240;15.90;0.00;0.00;1.00;97.30;15.50;222.00;3.20;6.10;954.00;1012.40;1013.60;-;-;-;-;-;-;-;-
BIV;202309172240;13.30;0.00;-;-;75.40;9.00;145.00;9.40;18.70;-;-;-;-;-;-;-;-;-;-;-
BIE;202309172240;17.20;0.00;0.00;2.00;91.00;15.70;212.00;3.60;4.70;934.80;-;1014.40;1489.20;-;-;-;-;-;-;-
BLA;202309172240;10.00;0.00;0.00;3.00;89.20;8.30;44.00;5.00;9.40;849.50;-;1022.50;1534.00;-;-;-;-;-;-;-
BOL;202309172240;13.60;0.00;0.00;0.00;88.70;11.80;211.00;3.20;7.90;920.80;-;1015.80;1490.10;-;-;-;-;-;-;-
BOU;202309172240;22.40;-;-;-;71.90;17.10;280.00;17.60;25.90;968.90;1011.40;1013.10;-;-;-;-;-;-;-;-
BRZ;202309172240;-;0.00;-;-;-;-;250.00;7.20;11.50;947.60;-;1014.00;-;-;-;-;-;-;-;-
BUS;202309172240;18.30;0.00;0.00;1.00;92.50;17.10;204.00;0.70;1.40;967.40;1012.00;1013.20;-;-;-;-;-;-;-;-
BUF;202309172240;6.70;0.00;0.00;1.00;94.50;5.90;163.00;3.60;6.50;809.50;-;1027.20;1566.20;-;-;-;-;-;-;-
FRE;202309172240;16.20;0.20;0.00;2.00;76.40;12.00;253.00;4.70;11.50;880.00;-;1017.20;1500.90;-;-;-;-;-;-;-
CEV;202309172240;18.20;0.00;0.00;1.00;94.10;17.20;343.00;3.60;5.80;971.10;1019.90;1021.10;-;-;-;-;-;-;-;-
CHZ;202309172240;18.60;0.00;0.00;0.00;98.70;18.40;289.00;6.50;9.00;960.70;1011.40;1012.80;-;-;-;-;-;-;-;-
CHA;202309172240;15.80;0.00;0.00;0.00;70.90;10.50;195.00;36.40;54.70;841.30;-;1019.80;1508.10;-;-;-;-;-;-;-
CHM;202309172240;17.60;0.00;0.00;0.00;68.00;11.60;253.00;9.00;20.20;888.10;-;1017.90;1510.40;-;-;-;-;-;-;-
CHU;202309172240;21.70;0.00;0.00;1.00;49.70;10.70;177.00;16.20;32.80;952.20;1014.90;1017.60;-;-;-;-;-;-;-;-
CHD;202309172240;15.40;0.00;0.00;0.00;78.50;11.70;10.00;6.80;10.10;898.70;-;1016.70;1499.10;-;-;-;-;-;-;-
CIM;202309172240;11.80;0.00;0.00;0.00;92.70;10.70;213.00;5.80;10.80;839.50;-;1025.80;1558.00;-;-;-;-;-;-;-
CDM;202309172240;13.90;0.00;-;-;65.50;7.50;172.00;3.60;7.20;-;-;-;-;-;-;-;-;-;-;-
GSB;202309172240;7.50;0.00;0.00;0.00;100.00;7.50;284.00;21.60;33.10;759.40;-;1027.80;-;3154.30;-;-;-;-;-;-
COY;202309172240;14.90;0.00;-;-;96.90;14.40;221.00;10.80;22.00;-;-;-;-;-;-;-;-;-;-;-
CMA;202309172240;7.80;-;0.00;1.00;89.60;6.20;224.00;20.20;25.20;759.60;-;1027.70;-;3153.90;-;-;-;-;-;-
CRM;202309172240;18.60;0.50;-;0.00;82.50;15.60;225.00;15.10;28.80;963.70;1013.10;1014.50;-;-;-;-;-;-;-;-
DAV;202309172240;13.60;0.00;0.00;0.00;65.40;7.20;179.00;7.20;13.70;844.80;-;1023.90;1543.80;-;-;-;-;-;-;-
DEM;202309172240;17.00;0.00;0.00;2.00;88.30;15.10;114.00;8.60;15.50;961.10;1011.70;1012.80;-;-;-;-;-;-;-;-
DIS;202309172240;18.70;0.00;0.00;4.00;55.50;9.60;352.00;2.90;5.40;885.30;-;1022.20;1546.60;-;-;-;-;-;-;-
EBK;202309172240;13.80;0.00;0.00;2.00;99.20;13.70;179.00;2.20;4.30;941.90;-;1014.70;1481.50;-;-;-;-;-;-;-
EGH;202309172240;5.20;-;0.00;0.00;100.00;5.20;115.00;18.40;25.90;722.80;-;1029.40;-;3154.50;-;-;-;-;-;-
EGO;202309172240;17.20;0.00;-;3.00;99.30;17.10;296.00;5.00;7.20;952.50;1012.30;1013.80;-;-;-;-;-;-;-;-
EIN;202309172240;14.60;0.00;0.00;0.00;79.30;11.10;242.00;3.20;7.60;910.80;-;1015.80;1492.20;-;-;-;-;-;-;-
ELM;202309172240;22.80;0.00;0.00;0.00;40.00;8.50;114.00;15.10;30.60;907.80;-;1018.20;1528.20;-;-;-;-;-;-;-
ENG;202309172240;21.80;0.00;0.00;0.00;40.60;7.80;80.00;33.80;58.30;898.00;-;1016.90;1511.60;-;-;-;-;-;-;-
EVI;202309172240;23.70;0.00;0.00;5.00;44.50;10.90;159.00;31.30;51.80;957.40;1011.50;1014.10;-;-;-;-;-;-;-;-
EVO;202309172240;12.40;0.00;0.00;1.00;71.30;7.40;346.00;11.50;21.20;820.00;-;1022.80;1526.10;-;-;-;-;-;-;-
FAH;202309172240;21.00;0.00;0.00;6.00;61.80;13.40;250.00;4.70;10.80;943.80;1010.80;1013.60;-;-;-;-;-;-;-;-
FLU;202309172240;18.30;0.00;-;-;58.30;10.00;183.00;7.60;14.80;-;-;-;-;-;-;-;-;-;-;-
GRA;202309172240;17.20;0.00;0.00;1.00;99.30;17.10;276.00;13.70;20.50;938.80;-;1014.70;1492.00;-;-;-;-;-;-;-
FRU;202309172240;14.50;0.00;0.00;1.00;87.80;12.50;219.00;6.10;10.10;-;-;-;-;-;-;-;-;-;-;-
