Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309121520;23.80;0.00;0.00;163.00;49.80;12.70;158.00;8.30;13.00;951.80;1012.00;1015.00;-;-;-;-;-;-;-;-
COM;202309121520;23.70;0.00;4.00;311.00;73.20;18.60;192.00;1.40;4.30;949.20;1013.50;1016.70;-;-;-;-;-;-;-;-
ABO;202309121520;13.00;0.60;0.00;61.00;86.20;10.70;241.00;6.50;13.00;870.70;-;1021.10;1527.80;-;-;-;-;-;-;-
AIG;202309121520;28.00;0.00;10.00;333.00;39.20;12.80;294.00;4.70;8.60;968.70;1011.20;1013.80;-;-;-;-;-;-;-;-
ALT;202309121520;20.60;0.00;0.00;63.00;73.10;15.60;247.00;6.10;8.30;963.10;1013.10;1014.90;-;-;-;-;-;-;-;-
ARH;202309121520;22.20;0.50;0.00;0.00;56.80;13.20;200.00;25.90;46.80;968.30;1013.50;1015.40;-;-;-;-;-;-;-;-
AND;202309121520;23.50;0.00;9.00;391.00;45.80;11.20;326.00;8.30;15.10;904.60;-;1018.30;1529.00;-;-;-;-;-;-;-
ANT;202309121520;18.50;0.00;10.00;397.00;56.10;9.60;259.00;4.30;6.80;859.00;-;1021.00;1526.00;-;-;-;-;-;-;-
ARO;202309121520;14.00;0.40;0.00;147.00;69.90;8.60;282.00;7.90;19.10;815.90;-;1024.00;1531.70;-;-;-;-;-;-;-
RAG;202309121520;21.50;0.00;4.00;319.00;68.90;15.60;175.00;10.10;16.20;957.90;1014.10;1016.40;-;-;-;-;-;-;-;-
BAN;202309121520;-;-;10.00;423.00;-;-;-;-;-;-;-;-;-;-;220.00;20.90;29.50;23.20;37.20;7.80
BAS;202309121520;30.00;0.00;10.00;370.00;35.80;13.20;156.00;3.60;8.60;975.10;1010.20;1012.70;-;-;-;-;-;-;-;-
