Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140730;15.90;0.00;0.00;60.00;93.10;14.80;68.00;2.20;3.20;959.10;1021.50;1022.70;-;-;-;-;-;-;-;-
COM;202309140730;14.50;0.00;0.00;39.00;95.80;13.80;329.00;6.50;8.60;952.40;1019.10;1020.10;-;-;-;-;-;-;-;-
ABO;202309140730;10.90;0.00;0.00;77.00;96.30;10.30;165.00;3.60;5.80;873.20;-;1024.00;1550.10;-;-;-;-;-;-;-
AIG;202309140730;17.10;0.00;10.00;307.00;85.10;14.60;146.00;4.30;5.80;975.90;1020.40;1021.30;-;-;-;-;-;-;-;-
ALT;202309140730;17.10;0.00;0.00;130.00;90.30;15.50;141.00;2.20;3.20;969.90;1020.90;1022.00;-;-;-;-;-;-;-;-
ARH;202309140730;17.00;0.00;0.00;40.00;99.30;16.90;263.00;2.90;5.00;975.00;1021.40;1022.30;-;-;-;-;-;-;-;-
AND;202309140730;14.60;0.00;0.00;93.00;89.10;12.80;198.00;1.40;3.60;909.30;-;1023.50;1555.10;-;-;-;-;-;-;-
ANT;202309140730;11.20;0.00;0.00;98.00;95.50;10.50;66.00;4.00;6.80;862.30;-;1024.80;1555.60;-;-;-;-;-;-;-
ARO;202309140730;9.00;0.00;0.00;122.00;99.20;8.90;107.00;4.70;7.60;817.30;-;1025.70;1552.40;-;-;-;-;-;-;-
RAG;202309140730;16.50;0.00;0.00;185.00;95.00;15.70;301.00;4.00;6.10;964.10;1021.70;1022.90;-;-;-;-;-;-;-;-
BAN;202309140730;-;-;0.00;73.00;-;-;-;-;-;-;-;-;-;-;59.00;27.00;29.50;13.00;90.70;11.50
BAS;202309140730;16.20;0.00;0.00;71.00;95.60;15.50;211.00;4.00;5.00;984.80;1022.10;1022.70;-;-;-;-;-;-;-;-
LAT;202309140730;12.00;0.00;0.00;184.00;95.50;11.30;280.00;2.90;5.40;-;-;-;-;-;-;-;-;-;-;-
BER;202309140730;16.10;0.00;0.00;162.00;93.80;15.10;33.00;10.80;16.20;956.80;1020.80;1022.10;-;-;-;-;-;-;-;-
BEZ;202309140730;16.80;0.00;0.00;245.00;90.40;15.20;350.00;2.20;4.70;983.60;1021.90;1022.60;-;-;-;-;-;-;-;-
BIA;202309140730;16.50;0.00;0.00;118.00;94.20;15.60;7.00;1.40;3.60;986.00;1018.70;1019.20;-;-;-;-;-;-;-;-
BIN;202309140730;11.70;0.00;-;-;93.90;10.80;130.00;4.00;7.90;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309140730;16.30;0.00;0.00;39.00;93.50;15.20;337.00;4.70;7.20;962.70;1021.50;1022.70;-;-;-;-;-;-;-;-
BIV;202309140730;9.20;0.00;-;-;99.20;9.10;259.00;11.20;16.20;-;-;-;-;-;-;-;-;-;-;-
BIE;202309140730;16.20;0.00;10.00;381.00;90.30;14.60;52.00;10.40;21.20;942.10;-;1022.20;1551.20;-;-;-;-;-;-;-
BLA;202309140730;10.60;0.00;0.00;112.00;99.20;10.50;29.00;2.90;4.70;851.40;-;1024.70;1552.60;-;-;-;-;-;-;-
BOL;202309140730;14.30;0.00;0.00;86.00;90.40;12.80;54.00;8.60;13.00;927.20;-;1022.70;1549.40;-;-;-;-;-;-;-
BOU;202309140730;16.70;-;-;-;83.70;13.90;134.00;6.50;10.40;976.70;1020.40;1021.20;-;-;-;-;-;-;-;-
BRZ;202309140730;-;0.00;-;-;-;-;156.00;3.60;5.80;955.30;-;1022.20;-;-;-;-;-;-;-;-
BUS;202309140730;16.90;0.00;10.00;348.00;89.30;15.10;45.00;5.00;9.40;976.40;1021.60;1022.50;-;-;-;-;-;-;-;-
BUF;202309140730;9.90;0.00;0.00;190.00;89.50;8.30;290.00;4.30;7.20;808.50;-;1026.00;1551.10;-;-;-;-;-;-;-
FRE;202309140730;12.50;0.00;0.00;202.00;93.50;11.50;91.00;9.00;17.30;886.00;-;1024.00;1553.50;-;-;-;-;-;-;-
CEV;202309140730;15.30;0.00;0.00;88.00;97.40;14.90;29.00;6.10;10.10;970.10;1019.40;1020.10;-;-;-;-;-;-;-;-
CHZ;202309140730;16.80;0.00;0.00;158.00;99.30;16.70;309.00;6.80;10.40;969.90;1021.40;1022.40;-;-;-;-;-;-;-;-
CHA;202309140730;10.40;0.00;3.00;241.00;99.50;10.30;120.00;16.90;23.80;845.40;-;1024.60;1550.40;-;-;-;-;-;-;-
CHM;202309140730;13.70;0.00;10.00;364.00;87.90;11.70;93.00;16.60;27.40;893.10;-;1023.50;1552.00;-;-;-;-;-;-;-
CHU;202309140730;16.90;0.00;0.00;212.00;88.20;14.90;44.00;7.90;13.30;957.00;1021.20;1022.70;-;-;-;-;-;-;-;-
CHD;202309140730;13.20;0.00;7.00;408.00;93.90;12.20;136.00;1.10;2.20;904.50;-;1023.10;1548.80;-;-;-;-;-;-;-
CIM;202309140730;14.30;0.00;10.00;492.00;67.30;8.30;159.00;1.80;5.40;837.90;-;1023.90;1540.80;-;-;-;-;-;-;-
CDM;202309140730;10.00;0.00;-;-;100.00;10.00;48.00;7.20;10.40;-;-;-;-;-;-;-;-;-;-;-
GSB;202309140730;7.80;0.00;10.00;376.00;73.20;3.30;265.00;12.60;17.30;758.80;-;1027.10;-;3148.60;-;-;-;-;-;-
COY;202309140730;15.00;0.00;-;-;99.30;14.90;39.00;4.00;5.80;-;-;-;-;-;-;-;-;-;-;-
CMA;202309140730;5.60;-;0.00;173.00;98.90;5.40;86.00;3.20;6.50;759.40;-;1027.40;-;3146.20;-;-;-;-;-;-
CRM;202309140730;17.90;0.00;-;313.00;91.30;16.50;84.00;9.00;13.30;970.80;1020.70;1021.90;-;-;-;-;-;-;-;-
DAV;202309140730;10.80;0.00;0.00;155.00;94.50;10.00;21.00;11.50;14.80;845.80;-;1025.10;1554.20;-;-;-;-;-;-;-
DEM;202309140730;16.50;0.00;0.00;130.00;91.30;15.10;37.00;3.60;7.60;970.30;1021.50;1022.40;-;-;-;-;-;-;-;-
DIS;202309140730;13.30;0.00;0.00;218.00;95.50;12.60;155.00;2.20;4.00;887.30;-;1024.50;1558.60;-;-;-;-;-;-;-
EBK;202309140730;16.00;0.00;0.00;140.00;95.30;15.20;285.00;0.70;1.40;949.60;-;1022.90;1556.20;-;-;-;-;-;-;-
EGH;202309140730;5.10;-;0.00;226.00;84.80;2.80;78.00;12.60;16.60;722.20;-;1028.60;-;3147.60;-;-;-;-;-;-
EGO;202309140730;16.50;0.00;-;103.00;99.30;16.40;34.00;9.40;14.00;960.70;1021.10;1022.40;-;-;-;-;-;-;-;-
EIN;202309140730;14.60;0.00;2.00;353.00;96.40;14.00;29.00;2.90;5.80;917.60;-;1023.30;1554.20;-;-;-;-;-;-;-
