Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309152230;14.10;0.00;0.00;1.00;97.10;13.60;155.00;0.70;1.40;953.60;1016.10;1016.90;-;-;-;-;-;-;-;-
COM;202309152230;14.40;0.00;0.00;1.00;97.80;14.10;351.00;2.20;6.10;953.40;1020.20;1021.20;-;-;-;-;-;-;-;-
ABO;202309152230;11.40;0.00;0.00;2.00;89.20;9.70;293.00;2.50;5.00;869.80;-;1020.10;1518.00;-;-;-;-;-;-;-
AIG;202309152230;16.50;0.00;0.00;0.00;85.10;14.00;186.00;9.40;11.90;970.30;1014.70;1015.50;-;-;-;-;-;-;-;-
ALT;202309152230;15.70;0.00;0.00;0.00;85.70;13.30;168.00;2.90;5.40;964.70;1015.70;1016.60;-;-;-;-;-;-;-;-
ARH;202309152230;15.70;0.00;0.00;1.00;99.40;15.60;119.00;3.20;6.50;969.10;1015.40;1016.20;-;-;-;-;-;-;-;-
AND;202309152230;12.70;0.00;0.00;0.00;83.30;9.90;27.00;3.20;4.70;907.00;-;1020.90;1530.20;-;-;-;-;-;-;-
ANT;202309152230;12.40;0.00;0.00;0.00;71.60;7.40;225.00;10.10;17.30;860.40;-;1022.60;1537.60;-;-;-;-;-;-;-
ARO;202309152230;10.90;0.00;0.00;2.00;60.90;3.70;232.00;4.70;9.00;815.70;-;1023.70;1533.60;-;-;-;-;-;-;-
RAG;202309152230;18.50;0.00;0.00;0.00;66.40;12.10;127.00;12.60;26.30;959.00;1015.90;1017.50;-;-;-;-;-;-;-;-
BAN;202309152230;-;-;0.00;1.00;-;-;-;-;-;-;-;-;-;-;173.00;13.00;14.40;17.60;71.70;12.40
BAS;202309152230;17.90;0.00;0.00;0.00;84.90;15.30;105.00;2.50;6.80;977.70;1014.50;1015.30;-;-;-;-;-;-;-;-
LAT;202309152230;10.50;0.00;0.00;1.00;90.10;8.90;78.00;4.00;7.60;-;-;-;-;-;-;-;-;-;-;-
BER;202309152230;17.00;0.00;0.00;0.00;91.30;15.60;0.00;0.00;1.10;951.40;1014.80;1016.40;-;-;-;-;-;-;-;-
BEZ;202309152230;16.20;0.00;0.00;3.00;100.00;16.20;80.00;1.10;2.90;977.40;1015.60;1016.20;-;-;-;-;-;-;-;-
BIA;202309152230;16.10;0.00;0.00;1.00;97.10;15.60;305.00;3.60;5.00;987.10;1019.90;1020.30;-;-;-;-;-;-;-;-
BIN;202309152230;12.90;0.00;-;-;69.10;7.40;38.00;8.60;14.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309152230;15.20;0.00;0.00;1.00;99.20;15.10;199.00;2.50;5.80;957.10;1015.80;1016.80;-;-;-;-;-;-;-;-
BIV;202309152230;9.30;0.00;-;-;80.70;6.20;86.00;5.80;9.40;-;-;-;-;-;-;-;-;-;-;-
BIE;202309152230;16.30;0.00;0.00;1.00;82.50;13.30;317.00;4.30;6.10;937.10;-;1016.90;1507.10;-;-;-;-;-;-;-
BLA;202309152230;8.40;0.00;0.00;3.00;95.90;7.80;29.00;2.50;5.00;849.50;-;1022.50;1534.00;-;-;-;-;-;-;-
BOL;202309152230;12.80;0.00;0.00;0.00;93.80;11.80;235.00;4.30;6.80;923.20;-;1018.40;1509.60;-;-;-;-;-;-;-
