Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309130300;16.40;0.00;0.00;1.00;86.80;14.20;181.00;1.80;3.20;954.00;1016.00;1017.30;-;-;-;-;-;-;-;-
COM;202309130300;17.40;0.00;0.00;0.00;96.30;16.80;304.00;6.10;11.90;950.10;1015.90;1017.70;-;-;-;-;-;-;-;-
ABO;202309130300;11.90;0.00;0.00;2.00;93.90;10.90;258.00;2.90;5.00;870.70;-;1021.10;1527.00;-;-;-;-;-;-;-
AIG;202309130300;18.60;0.00;0.00;0.00;81.10;15.30;292.00;5.40;9.70;972.40;1016.50;1017.70;-;-;-;-;-;-;-;-
ALT;202309130300;16.20;0.00;0.00;0.00;90.30;14.60;110.00;7.60;10.80;965.60;1016.60;1017.50;-;-;-;-;-;-;-;-
ARH;202309130300;17.60;0.00;0.00;1.00;99.30;17.50;141.00;5.00;8.60;969.60;1015.60;1016.70;-;-;-;-;-;-;-;-
AND;202309130300;14.10;0.00;0.00;0.00;95.40;13.40;130.00;2.50;5.00;906.40;-;1020.30;1527.50;-;-;-;-;-;-;-
ANT;202309130300;11.00;0.00;0.00;0.00;94.20;10.10;211.00;2.50;6.10;859.30;-;1021.40;1526.50;-;-;-;-;-;-;-
ARO;202309130300;10.60;0.20;0.00;2.00;94.90;9.80;8.00;10.80;14.80;815.40;-;1023.40;1530.90;-;-;-;-;-;-;-
RAG;202309130300;16.90;0.10;0.00;0.00;92.20;15.60;173.00;6.80;15.10;959.50;1016.80;1018.10;-;-;-;-;-;-;-;-
BAN;202309130300;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;228.00;13.00;15.80;16.80;70.80;11.50
BAS;202309130300;17.80;0.00;0.00;0.00;90.70;16.30;204.00;11.90;16.20;979.30;1016.20;1017.00;-;-;-;-;-;-;-;-
LAT;202309130300;12.40;0.00;0.00;0.00;93.60;11.40;193.00;4.70;11.20;-;-;-;-;-;-;-;-;-;-;-
BER;202309130300;17.20;0.00;0.00;0.00;88.60;15.30;148.00;6.80;13.30;952.70;1016.20;1017.80;-;-;-;-;-;-;-;-
BEZ;202309130300;18.40;0.00;0.00;2.00;81.80;15.20;146.00;2.20;5.80;978.20;1016.10;1017.00;-;-;-;-;-;-;-;-
BIA;202309130300;20.20;0.10;0.00;5.00;75.90;15.80;331.00;5.80;13.70;983.40;1015.60;1016.50;-;-;-;-;-;-;-;-
BIN;202309130300;11.00;0.00;-;-;96.60;10.50;45.00;4.30;7.20;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309130300;16.00;0.00;0.00;2.00;96.00;15.40;231.00;3.20;5.00;957.70;1016.30;1017.50;-;-;-;-;-;-;-;-
BIV;202309130300;9.60;0.00;-;-;93.90;8.70;95.00;4.00;6.50;-;-;-;-;-;-;-;-;-;-;-
BIE;202309130300;16.40;0.00;0.00;1.00;90.60;14.90;189.00;4.00;9.70;938.30;-;1018.20;1518.10;-;-;-;-;-;-;-
BLA;202309130300;9.50;0.00;0.00;2.00;96.70;9.00;42.00;5.40;13.30;849.00;-;1021.90;1529.10;-;-;-;-;-;-;-
BOL;202309130300;13.80;0.10;0.00;0.00;95.00;13.00;73.00;1.10;3.60;924.40;-;1019.70;1522.90;-;-;-;-;-;-;-
BOU;202309130300;19.90;-;-;-;75.70;15.50;247.00;9.70;12.60;973.20;1016.30;1017.60;-;-;-;-;-;-;-;-
BRZ;202309130300;-;0.00;-;-;-;-;184.00;1.10;2.50;951.70;-;1018.40;-;-;-;-;-;-;-;-
BUS;202309130300;16.80;0.00;0.00;1.00;90.00;15.20;219.00;2.90;4.30;971.60;1016.60;1017.50;-;-;-;-;-;-;-;-
BUF;202309130300;9.40;0.40;0.00;1.00;97.00;8.90;156.00;5.80;15.80;807.30;-;1024.60;1539.40;-;-;-;-;-;-;-
FRE;202309130300;14.90;0.00;0.00;2.00;76.60;10.80;189.00;7.20;17.30;883.00;-;1020.60;1528.10;-;-;-;-;-;-;-
CEV;202309130300;17.40;0.00;0.00;1.00;95.00;16.60;65.00;4.70;7.90;967.80;1016.60;1017.70;-;-;-;-;-;-;-;-
CHZ;202309130300;17.60;0.00;0.00;0.00;89.30;15.80;323.00;5.80;7.90;965.40;1016.50;1017.70;-;-;-;-;-;-;-;-
CHA;202309130300;12.00;0.00;0.00;0.00;84.70;9.50;243.00;21.20;26.30;842.90;-;1021.70;1525.30;-;-;-;-;-;-;-
CHM;202309130300;15.20;0.00;0.00;0.00;74.60;10.70;261.00;3.60;6.80;890.00;-;1020.00;1525.10;-;-;-;-;-;-;-
CHU;202309130300;17.00;0.20;0.00;1.00;91.40;15.60;215.00;5.40;9.70;953.40;1017.30;1018.90;-;-;-;-;-;-;-;-
CHD;202309130300;14.10;0.00;0.00;0.00;89.80;12.50;27.00;4.00;5.80;901.80;-;1020.10;1525.60;-;-;-;-;-;-;-
CIM;202309130300;12.70;0.00;0.00;0.00;99.60;12.60;66.00;13.70;20.20;836.40;-;1022.10;1526.40;-;-;-;-;-;-;-
CDM;202309130300;12.00;0.00;-;-;78.70;8.40;44.00;4.30;8.60;-;-;-;-;-;-;-;-;-;-;-
