Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309161830;18.90;0.00;0.00;2.00;81.50;15.70;237.00;4.00;8.60;953.10;1014.50;1016.40;-;-;-;-;-;-;-;-
COM;202309161830;16.80;0.00;0.00;1.00;98.00;16.50;345.00;3.20;5.00;953.80;1020.00;1021.60;-;-;-;-;-;-;-;-
ABO;202309161830;13.80;0.00;0.00;3.00;85.30;11.40;172.00;2.50;5.80;870.10;-;1020.40;1522.60;-;-;-;-;-;-;-
AIG;202309161830;17.80;0.00;0.00;0.00;91.60;16.40;190.00;3.20;4.70;970.80;1015.00;1016.00;-;-;-;-;-;-;-;-
ALT;202309161830;21.30;0.00;0.00;0.00;66.00;14.70;7.00;2.90;5.00;964.40;1014.30;1016.30;-;-;-;-;-;-;-;-
ARH;202309161830;19.00;0.00;0.00;1.00;99.30;18.90;86.00;2.90;5.00;968.40;1014.20;1015.50;-;-;-;-;-;-;-;-
AND;202309161830;15.60;0.00;0.00;0.00;82.10;12.60;131.00;2.20;6.10;907.30;-;1021.30;1538.70;-;-;-;-;-;-;-
ANT;202309161830;14.60;0.00;0.00;0.00;71.80;9.60;210.00;7.90;15.80;860.70;-;1023.00;1541.40;-;-;-;-;-;-;-
ARO;202309161830;13.40;0.00;0.00;2.00;57.50;5.20;199.00;6.50;16.20;816.10;-;1024.20;1534.60;-;-;-;-;-;-;-
RAG;202309161830;22.80;0.00;0.00;0.00;48.30;11.30;131.00;16.90;25.60;958.60;1014.60;1017.10;-;-;-;-;-;-;-;-
BAN;202309161830;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;333.00;3.20;4.30;18.60;51.20;8.30
BAS;202309161830;21.40;0.00;0.00;0.00;78.00;17.40;99.00;4.00;8.60;977.50;1013.80;1015.10;-;-;-;-;-;-;-;-
LAT;202309161830;13.70;0.00;0.00;1.00;81.20;10.50;100.00;1.80;3.20;-;-;-;-;-;-;-;-;-;-;-
BER;202309161830;17.40;0.00;0.00;0.00;84.10;14.70;16.00;4.00;6.10;951.70;1015.10;1016.70;-;-;-;-;-;-;-;-
BEZ;202309161830;21.20;0.00;0.00;2.00;77.50;17.10;212.00;3.60;5.80;977.00;1014.40;1015.80;-;-;-;-;-;-;-;-
BIA;202309161830;18.50;0.00;0.00;0.00;94.00;17.50;29.00;2.50;4.00;987.00;1019.50;1020.20;-;-;-;-;-;-;-;-
BIN;202309161830;15.50;0.00;-;-;63.50;8.60;50.00;20.90;32.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309161830;19.20;0.00;0.00;1.00;91.30;17.70;219.00;5.00;6.80;956.40;1014.20;1016.10;-;-;-;-;-;-;-;-
BIV;202309161830;12.20;0.00;-;-;72.00;7.30;119.00;8.30;15.10;-;-;-;-;-;-;-;-;-;-;-
BIE;202309161830;17.50;0.00;0.00;2.00;86.10;15.20;351.00;2.90;4.30;937.40;-;1017.20;1513.40;-;-;-;-;-;-;-
BLA;202309161830;11.50;0.00;0.00;3.00;92.10;10.30;40.00;4.00;6.50;849.40;-;1022.40;1533.00;-;-;-;-;-;-;-
BOL;202309161830;14.40;0.00;0.00;0.00;90.00;12.80;214.00;4.30;6.10;923.20;-;1018.40;1513.70;-;-;-;-;-;-;-
BOU;202309161830;20.00;-;-;-;75.70;15.60;163.00;4.70;6.50;971.60;1014.60;1015.90;-;-;-;-;-;-;-;-
BRZ;202309161830;-;0.00;-;-;-;-;91.00;2.50;3.60;950.60;-;1017.20;-;-;-;-;-;-;-;-
BUS;202309161830;20.40;0.00;0.00;1.00;77.70;16.40;285.00;1.40;2.90;970.50;1014.90;1016.40;-;-;-;-;-;-;-;-
BUF;202309161830;10.70;0.00;0.00;1.00;83.00;7.90;316.00;3.20;6.50;808.40;-;1025.90;1548.80;-;-;-;-;-;-;-
FRE;202309161830;15.70;0.00;0.00;2.00;70.20;10.30;277.00;2.20;3.20;882.20;-;1019.70;1521.40;-;-;-;-;-;-;-
CEV;202309161830;17.80;0.00;0.00;1.00;94.90;17.00;0.00;1.40;3.60;971.00;1019.80;1021.00;-;-;-;-;-;-;-;-
CHZ;202309161830;21.50;0.00;0.00;0.00;62.20;14.00;170.00;2.90;6.10;964.30;1014.60;1016.60;-;-;-;-;-;-;-;-
