Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309151650;20.60;0.00;10.00;73.00;76.30;16.30;90.00;4.00;7.90;953.60;1014.60;1016.90;-;-;-;-;-;-;-;-
COM;202309151650;17.90;0.00;0.00;46.00;85.30;15.40;163.00;4.30;6.80;952.90;1018.80;1020.70;-;-;-;-;-;-;-;-
ABO;202309151650;15.80;0.00;0.00;30.00;77.10;11.80;129.00;4.00;8.60;869.60;-;1019.90;1519.20;-;-;-;-;-;-;-
AIG;202309151650;21.50;0.00;0.00;0.00;73.30;16.50;279.00;1.80;4.30;970.30;1013.80;1015.50;-;-;-;-;-;-;-;-
ALT;202309151650;18.90;0.00;0.00;23.00;82.80;15.90;107.00;3.20;8.60;964.50;1014.90;1016.40;-;-;-;-;-;-;-;-
ARH;202309151650;22.00;0.00;10.00;133.00;69.10;16.10;249.00;4.00;5.80;969.40;1014.70;1016.50;-;-;-;-;-;-;-;-
AND;202309151650;19.40;0.00;0.00;15.00;52.00;9.30;157.00;14.80;31.70;906.00;-;1019.80;1534.20;-;-;-;-;-;-;-
ANT;202309151650;14.50;0.00;0.00;22.00;69.30;9.00;204.00;24.80;36.40;860.00;-;1022.20;1534.50;-;-;-;-;-;-;-
ARO;202309151650;12.00;0.00;0.00;52.00;80.80;8.80;282.00;4.70;6.80;815.20;-;1023.10;1527.00;-;-;-;-;-;-;-
RAG;202309151650;20.90;0.00;0.00;57.00;78.10;16.90;195.00;4.30;6.10;958.90;1015.30;1017.40;-;-;-;-;-;-;-;-
BAN;202309151650;-;-;10.00;128.00;-;-;-;-;-;-;-;-;-;-;29.00;9.70;11.90;17.10;79.70;13.60
BAS;202309151650;24.50;0.00;10.00;107.00;54.20;14.60;89.00;3.20;8.60;977.40;1013.30;1015.00;-;-;-;-;-;-;-;-
LAT;202309151650;15.00;0.00;0.00;35.00;85.00;12.50;106.00;2.20;3.60;-;-;-;-;-;-;-;-;-;-;-
BER;202309151650;21.90;0.00;10.00;122.00;68.50;15.80;19.00;4.70;7.60;951.30;1013.60;1016.30;-;-;-;-;-;-;-;-
BEZ;202309151650;24.10;0.00;10.00;65.00;63.50;16.70;85.00;4.30;6.50;976.90;1013.90;1015.60;-;-;-;-;-;-;-;-
BIA;202309151650;18.90;0.00;0.00;24.00;86.10;16.50;338.00;4.70;9.00;986.20;1018.60;1019.40;-;-;-;-;-;-;-;-
BIN;202309151650;15.20;0.00;-;-;60.60;7.60;56.00;16.90;32.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309151650;20.10;0.00;10.00;87.00;75.80;15.70;94.00;7.90;11.90;957.10;1014.80;1016.80;-;-;-;-;-;-;-;-
BIV;202309151650;11.80;0.00;-;-;78.90;8.30;331.00;10.10;18.70;-;-;-;-;-;-;-;-;-;-;-
BIE;202309151650;21.10;0.00;10.00;127.00;64.30;14.10;114.00;4.30;5.80;936.90;-;1016.70;1519.70;-;-;-;-;-;-;-
BLA;202309151650;13.60;0.00;0.00;95.00;85.30;11.20;95.00;5.40;10.40;848.80;-;1021.70;1527.00;-;-;-;-;-;-;-
BOL;202309151650;19.30;0.00;0.00;35.00;75.00;14.80;68.00;6.10;8.60;922.40;-;1017.50;1518.80;-;-;-;-;-;-;-
BOU;202309151650;21.90;-;-;-;70.30;16.20;145.00;3.60;7.20;971.10;1013.70;1015.40;-;-;-;-;-;-;-;-
BRZ;202309151650;-;0.00;-;-;-;-;128.00;1.10;3.60;950.00;-;1016.60;-;-;-;-;-;-;-;-
BUS;202309151650;23.40;0.00;10.00;114.00;58.50;14.80;99.00;3.20;5.80;970.20;1014.10;1016.10;-;-;-;-;-;-;-;-
BUF;202309151650;11.60;0.00;0.00;25.00;85.00;9.20;125.00;6.10;12.20;807.30;-;1024.60;1535.90;-;-;-;-;-;-;-
FRE;202309151650;16.60;0.00;0.00;33.00;80.90;13.30;118.00;2.50;4.70;882.10;-;1019.60;1521.50;-;-;-;-;-;-;-
CEV;202309151650;18.30;0.00;0.00;19.00;90.70;16.80;342.00;2.20;4.00;970.10;1018.80;1020.10;-;-;-;-;-;-;-;-
CHZ;202309151650;22.30;0.00;10.00;91.00;62.00;14.70;63.00;6.80;11.50;964.00;1014.20;1016.30;-;-;-;-;-;-;-;-
CHA;202309151650;13.60;0.00;10.00;131.00;74.60;9.20;155.00;19.10;24.80;842.10;-;1020.70;1516.80;-;-;-;-;-;-;-
CHM;202309151650;17.30;0.00;10.00;157.00;72.60;12.30;192.00;4.70;10.80;889.00;-;1018.90;1518.50;-;-;-;-;-;-;-
CHU;202309151650;20.50;0.00;0.00;34.00;78.10;16.60;350.00;2.50;4.70;952.20;1015.20;1017.60;-;-;-;-;-;-;-;-
CHD;202309151650;18.50;0.00;0.00;34.00;78.70;14.70;205.00;5.40;10.40;900.40;-;1018.60;1520.50;-;-;-;-;-;-;-
CIM;202309151650;11.20;0.00;8.00;89.00;94.10;10.30;45.00;7.60;9.70;838.10;-;1024.10;1544.20;-;-;-;-;-;-;-
CDM;202309151650;15.00;0.00;-;-;71.40;9.90;177.00;5.40;12.20;-;-;-;-;-;-;-;-;-;-;-
GSB;202309151650;7.20;0.00;0.00;16.00;95.20;6.50;312.00;16.20;27.40;758.00;-;1026.10;-;3138.60;-;-;-;-;-;-
COY;202309151650;21.80;0.00;-;-;54.30;12.20;131.00;9.40;22.00;-;-;-;-;-;-;-;-;-;-;-
CMA;202309151650;7.40;-;0.00;25.00;87.00;5.40;225.00;23.00;28.40;758.20;-;1025.90;-;3137.90;-;-;-;-;-;-
CRM;202309151650;22.60;0.00;-;119.00;64.50;15.60;74.00;8.30;10.80;964.80;1013.50;1015.60;-;-;-;-;-;-;-;-
DAV;202309151650;14.00;0.00;0.00;46.00;79.60;10.50;260.00;0.70;3.20;843.50;-;1022.40;1530.70;-;-;-;-;-;-;-
DEM;202309151650;22.80;0.00;0.00;33.00;65.30;16.00;47.00;6.50;9.00;963.60;1013.20;1015.40;-;-;-;-;-;-;-;-
DIS;202309151650;17.60;0.00;0.00;57.00;56.50;8.90;357.00;4.70;11.50;884.60;-;1021.40;1538.50;-;-;-;-;-;-;-
EBK;202309151650;20.40;0.00;0.00;46.00;79.20;16.70;307.00;5.80;10.10;944.30;-;1017.30;1523.80;-;-;-;-;-;-;-
EGH;202309151650;3.60;-;0.00;28.00;98.30;3.40;123.00;19.80;26.60;721.30;-;1027.40;-;3136.10;-;-;-;-;-;-
EGO;202309151650;22.40;0.00;-;105.00;66.90;16.00;112.00;0.40;1.80;955.00;1013.80;1016.40;-;-;-;-;-;-;-;-
EIN;202309151650;18.80;0.00;10.00;112.00;79.70;15.20;28.00;5.40;9.70;913.20;-;1018.50;1523.40;-;-;-;-;-;-;-
ELM;202309151650;16.80;0.00;0.00;34.00;89.10;15.00;284.00;1.40;2.90;908.60;-;1019.10;1523.40;-;-;-;-;-;-;-
ENG;202309151650;15.60;0.00;0.00;33.00;89.60;13.90;59.00;1.80;9.70;900.20;-;1019.30;1521.60;-;-;-;-;-;-;-
EVI;202309151650;22.00;0.00;0.00;59.00;63.90;14.90;286.00;2.20;5.40;959.50;1014.00;1016.30;-;-;-;-;-;-;-;-
EVO;202309151650;13.40;0.00;3.00;82.00;72.30;8.50;149.00;4.30;6.50;819.90;-;1022.70;1524.00;-;-;-;-;-;-;-
FAH;202309151650;20.90;0.00;4.00;76.00;69.20;15.00;56.00;7.60;15.80;946.10;1013.30;1016.00;-;-;-;-;-;-;-;-
FLU;202309151650;18.20;0.00;-;-;81.70;15.00;5.00;6.50;10.40;-;-;-;-;-;-;-;-;-;-;-
GRA;202309151650;20.80;0.00;5.00;83.00;79.30;17.10;21.00;2.50;4.00;940.70;-;1016.80;1520.10;-;-;-;-;-;-;-
FRU;202309151650;18.70;0.00;0.00;41.00;82.10;15.60;337.00;4.70;6.50;-;-;-;-;-;-;-;-;-;-;-
GVE;202309151650;23.90;0.00;10.00;116.00;63.40;16.50;27.00;10.10;15.50;966.30;1012.70;1014.90;-;-;-;-;-;-;-;-
GES;202309151650;20.00;0.00;-;-;75.00;15.40;336.00;6.10;9.40;955.40;1014.60;1016.70;-;-;-;-;-;-;-;-
GIH;202309151650;21.70;0.00;4.00;103.00;69.50;15.90;226.00;4.30;6.50;961.00;1014.40;1016.60;-;-;-;-;-;-;-;-
GLA;202309151650;19.20;0.00;0.00;42.00;79.80;15.60;230.00;1.80;4.70;956.20;1015.20;1017.10;-;-;-;-;-;-;-;-
GOR;202309151650;3.80;-;9.00;197.00;91.40;2.50;3.00;9.40;14.40;700.60;-;1028.50;-;3138.40;-;-;-;-;-;-
GRE;202309151650;22.80;0.00;10.00;108.00;65.40;16.00;85.00;3.60;5.00;965.30;1013.80;1015.90;-;-;-;-;-;-;-;-
GRH;202309151650;11.70;0.00;0.00;31.00;63.30;5.00;150.00;20.90;29.20;807.80;-;1024.20;1533.00;-;-;-;-;-;-;-
GRO;202309151650;18.90;0.00;0.00;38.00;89.60;17.20;1.00;2.20;2.90;981.10;1018.70;1019.70;-;-;-;-;-;-;-;-
GRC;202309151650;14.60;0.00;0.00;42.00;63.90;7.90;-;-;-;842.10;-;1022.00;1526.80;-;-;-;-;-;-;-
GOS;202309151650;19.10;0.00;-;-;54.70;9.80;219.00;7.90;19.10;909.50;-;1019.20;1529.20;-;-;-;-;-;-;-
GOE;202309151650;23.50;0.00;10.00;117.00;58.80;15.00;0.00;0.00;0.00;970.60;1013.80;1015.70;-;-;-;-;-;-;-;-
GUE;202309151650;8.40;0.00;0.00;36.00;75.30;4.30;144.00;33.80;46.80;776.60;-;1025.30;1533.90;-;-;-;-;-;-;-
GUT;202309151650;21.30;0.00;10.00;85.00;70.60;15.70;112.00;6.10;9.40;964.60;1014.70;1016.60;-;-;-;-;-;-;-;-
HLL;202309151650;22.60;0.00;10.00;97.00;64.70;15.60;107.00;7.90;12.60;966.70;1014.20;1016.30;-;-;-;-;-;-;-;-
HOE;202309151650;16.00;0.00;10.00;110.00;93.60;15.00;80.00;10.40;15.50;889.90;-;1019.60;1522.40;-;-;-;-;-;-;-
ILZ;202309151650;20.20;0.00;0.00;32.00;72.70;15.10;-;-;-;937.00;-;1018.50;1532.30;-;-;-;-;-;-;-
INT;202309151650;21.50;0.00;10.00;137.00;68.20;15.40;207.00;2.90;6.10;948.80;1013.80;1016.60;-;-;-;-;-;-;-;-
JUN;202309151650;0.30;-;0.00;57.00;99.90;0.30;133.00;19.10;22.30;662.80;-;1029.80;-;3135.40;-;-;-;-;-;-
