Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140720;15.80;0.00;0.00;56.00;94.30;14.90;88.00;1.80;2.90;959.10;1021.60;1022.70;-;-;-;-;-;-;-;-
COM;202309140720;14.20;0.00;0.00;40.00;97.10;13.70;334.00;5.40;9.00;952.50;1019.30;1020.20;-;-;-;-;-;-;-;-
ABO;202309140720;11.00;0.00;0.00;74.00;96.00;10.40;186.00;2.20;4.70;873.20;-;1024.00;1550.10;-;-;-;-;-;-;-
AIG;202309140720;17.10;0.00;10.00;275.00;87.90;15.10;148.00;5.40;7.20;975.80;1020.30;1021.20;-;-;-;-;-;-;-;-
ALT;202309140720;17.00;0.00;0.00;111.00;88.10;15.00;160.00;1.40;2.50;969.90;1020.90;1022.00;-;-;-;-;-;-;-;-
ARH;202309140720;16.90;0.00;0.00;18.00;99.30;16.80;325.00;6.80;11.50;975.00;1021.40;1022.30;-;-;-;-;-;-;-;-
AND;202309140720;14.40;0.00;0.00;87.00;91.20;13.00;230.00;1.40;2.90;909.30;-;1023.50;1554.70;-;-;-;-;-;-;-
ANT;202309140720;11.10;0.00;5.00;162.00;95.60;10.40;11.00;2.20;5.00;862.30;-;1024.80;1555.50;-;-;-;-;-;-;-
ARO;202309140720;9.00;-;0.00;118.00;99.20;8.90;102.00;4.70;6.80;817.30;-;1025.70;1552.40;-;-;-;-;-;-;-
RAG;202309140720;16.60;0.10;0.00;204.00;95.70;15.90;288.00;4.00;6.80;964.10;1021.70;1022.90;-;-;-;-;-;-;-;-
BAN;202309140720;-;-;0.00;99.00;-;-;-;-;-;-;-;-;-;-;59.00;28.10;32.00;12.40;97.90;12.10
BAS;202309140720;16.10;0.00;0.00;44.00;95.10;15.30;205.00;4.70;6.10;984.80;1022.10;1022.70;-;-;-;-;-;-;-;-
LAT;202309140720;12.00;-;0.00;134.00;96.70;11.50;272.00;2.20;5.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309140720;16.00;0.00;0.00;132.00;93.40;14.90;29.00;8.60;13.00;956.80;1020.80;1022.10;-;-;-;-;-;-;-;-
BEZ;202309140720;16.60;0.00;0.00;259.00;91.40;15.20;348.00;3.20;6.10;983.50;1021.80;1022.50;-;-;-;-;-;-;-;-
BIA;202309140720;16.40;-;0.00;116.00;95.60;15.70;322.00;1.40;3.20;986.00;1018.70;1019.20;-;-;-;-;-;-;-;-
BIN;202309140720;11.10;0.00;-;-;99.00;10.90;93.00;5.40;7.90;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309140720;16.30;-;0.00;78.00;93.10;15.20;320.00;4.70;6.80;962.60;1021.40;1022.60;-;-;-;-;-;-;-;-
BIV;202309140720;9.10;-;-;-;99.20;9.00;256.00;13.00;16.20;-;-;-;-;-;-;-;-;-;-;-
BIE;202309140720;15.80;0.00;8.00;259.00;91.20;14.40;50.00;8.30;14.40;942.20;-;1022.40;1550.80;-;-;-;-;-;-;-
BLA;202309140720;10.50;-;0.00;96.00;99.20;10.40;11.00;2.50;4.70;851.40;-;1024.70;1552.60;-;-;-;-;-;-;-
BOL;202309140720;14.40;-;0.00;77.00;90.70;12.90;59.00;6.10;9.70;927.30;-;1022.80;1550.50;-;-;-;-;-;-;-
BOU;202309140720;16.50;-;-;-;84.10;13.80;129.00;7.20;9.70;976.80;1020.60;1021.30;-;-;-;-;-;-;-;-
BRZ;202309140720;-;0.00;-;-;-;-;77.00;1.10;4.30;955.30;-;1022.20;-;-;-;-;-;-;-;-
BUS;202309140720;16.60;0.00;3.00;250.00;89.10;14.80;56.00;4.30;9.40;976.60;1021.90;1022.70;-;-;-;-;-;-;-;-
BUF;202309140720;9.60;0.00;0.00;186.00;92.40;8.40;284.00;5.80;9.00;808.40;-;1025.90;1550.50;-;-;-;-;-;-;-
FRE;202309140720;12.60;0.00;0.00;174.00;96.20;12.00;115.00;5.40;11.50;886.00;-;1024.00;1553.70;-;-;-;-;-;-;-
CEV;202309140720;15.30;0.00;0.00;84.00;97.40;14.90;21.00;3.60;5.80;970.10;1019.40;1020.10;-;-;-;-;-;-;-;-
CHZ;202309140720;16.70;-;0.00;159.00;99.30;16.60;316.00;5.80;10.10;970.00;1021.50;1022.50;-;-;-;-;-;-;-;-
CHA;202309140720;10.40;0.00;10.00;356.00;97.60;10.00;109.00;14.40;27.00;845.40;-;1024.60;1550.40;-;-;-;-;-;-;-
CHM;202309140720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
CHU;202309140720;16.70;0.00;0.00;154.00;89.20;14.90;42.00;8.60;14.40;957.00;1021.20;1022.70;-;-;-;-;-;-;-;-
CHD;202309140720;12.30;0.00;0.00;140.00;94.60;11.50;215.00;1.10;2.90;904.60;-;1023.20;1548.00;-;-;-;-;-;-;-
CIM;202309140720;13.70;0.00;10.00;428.00;69.10;8.10;262.00;1.80;5.80;837.90;-;1023.90;1541.10;-;-;-;-;-;-;-
CDM;202309140720;9.80;0.00;-;-;100.00;9.80;50.00;4.00;8.60;-;-;-;-;-;-;-;-;-;-;-
GSB;202309140720;8.20;0.00;10.00;346.00;70.70;3.20;274.00;11.90;21.60;758.90;-;1027.20;-;3150.70;-;-;-;-;-;-
COY;202309140720;14.50;-;-;-;99.30;14.40;13.00;4.00;5.80;-;-;-;-;-;-;-;-;-;-;-
CMA;202309140720;5.30;-;0.00;151.00;99.30;5.20;77.00;5.80;10.80;759.40;-;1027.40;-;3145.50;-;-;-;-;-;-
CRM;202309140720;17.90;0.00;-;322.00;89.50;16.10;73.00;10.10;13.70;970.70;1020.60;1021.80;-;-;-;-;-;-;-;-
DAV;202309140720;10.80;0.00;0.00;123.00;95.30;10.10;23.00;11.50;17.30;845.80;-;1025.10;1554.20;-;-;-;-;-;-;-
DEM;202309140720;16.40;0.00;0.00;159.00;92.10;15.10;46.00;2.20;4.00;970.30;1021.50;1022.40;-;-;-;-;-;-;-;-
DIS;202309140720;13.30;0.00;0.00;198.00;93.60;12.30;114.00;0.70;2.20;887.20;-;1024.30;1557.70;-;-;-;-;-;-;-
EBK;202309140720;15.80;0.00;0.00;135.00;95.90;15.10;284.00;0.40;1.40;949.60;-;1022.90;1555.50;-;-;-;-;-;-;-
EGH;202309140720;5.20;-;9.00;332.00;83.10;2.60;73.00;11.90;15.50;722.20;-;1028.60;-;3147.70;-;-;-;-;-;-
EGO;202309140720;16.50;0.00;-;87.00;99.30;16.40;38.00;9.00;15.10;960.70;1021.10;1022.40;-;-;-;-;-;-;-;-
EIN;202309140720;14.20;0.10;0.00;249.00;99.20;14.10;9.00;2.20;4.70;917.60;-;1023.30;1553.30;-;-;-;-;-;-;-
ELM;202309140720;14.20;0.00;0.00;150.00;88.60;12.30;165.00;2.50;3.20;912.60;-;1023.50;1554.70;-;-;-;-;-;-;-
ENG;202309140720;13.10;0.00;10.00;353.00;90.20;11.50;105.00;6.80;11.50;904.10;-;1023.60;1553.10;-;-;-;-;-;-;-
EVI;202309140720;15.10;0.00;0.00;81.00;99.20;15.00;338.00;6.80;11.20;964.70;1020.90;1021.80;-;-;-;-;-;-;-;-
EVO;202309140720;7.90;0.00;0.00;91.00;99.30;7.80;191.00;3.60;5.80;822.10;-;1025.30;1552.40;-;-;-;-;-;-;-
FAH;202309140720;14.20;0.00;0.00;72.00;100.00;14.20;82.00;2.90;5.40;952.80;1022.20;1023.10;-;-;-;-;-;-;-;-
FLU;202309140720;13.00;-;-;-;95.90;12.40;325.00;4.00;5.80;-;-;-;-;-;-;-;-;-;-;-
GRA;202309140720;15.30;0.00;0.00;135.00;99.40;15.20;48.00;4.00;6.50;945.80;-;1022.20;1547.90;-;-;-;-;-;-;-
FRU;202309140720;14.70;0.00;0.00;168.00;95.10;13.90;202.00;6.50;8.60;-;-;-;-;-;-;-;-;-;-;-
GVE;202309140720;18.80;0.00;5.00;275.00;80.40;15.40;37.00;18.70;31.00;972.60;1020.20;1021.50;-;-;-;-;-;-;-;-
GES;202309140720;16.50;-;-;-;95.00;15.70;216.00;5.00;9.70;960.80;1021.10;1022.30;-;-;-;-;-;-;-;-
