Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309111820;20.50;0.00;0.00;3.00;80.50;17.00;182.00;3.60;6.10;952.20;1013.10;1015.40;-;-;-;-;-;-;-;-
COM;202309111820;18.30;0.00;0.00;1.00;80.90;15.00;324.00;4.70;8.60;949.60;1015.20;1017.20;-;-;-;-;-;-;-;-
ABO;202309111820;18.50;0.00;0.00;2.00;73.00;13.60;289.00;3.20;5.80;870.30;-;1020.70;1528.00;-;-;-;-;-;-;-
AIG;202309111820;20.50;0.00;0.00;0.00;83.50;17.60;144.00;1.80;2.90;969.20;1012.90;1014.30;-;-;-;-;-;-;-;-
ALT;202309111820;22.60;0.00;0.00;0.00;68.20;16.40;182.00;3.60;7.60;963.30;1013.00;1015.10;-;-;-;-;-;-;-;-
ARH;202309111820;24.70;0.00;0.00;0.00;45.30;12.10;170.00;5.80;11.50;967.60;1012.40;1014.60;-;-;-;-;-;-;-;-
AND;202309111820;17.70;0.00;0.00;0.00;67.50;11.60;315.00;1.10;2.20;904.70;-;1018.40;1518.70;-;-;-;-;-;-;-
ANT;202309111820;14.70;0.00;0.00;0.00;84.20;12.10;275.00;4.00;6.50;859.90;-;1022.00;1533.60;-;-;-;-;-;-;-
ARO;202309111820;16.00;0.00;0.00;2.00;62.20;8.80;252.00;4.70;6.50;815.70;-;1023.70;1527.10;-;-;-;-;-;-;-
RAG;202309111820;23.20;0.00;0.00;0.00;63.20;15.80;276.00;7.60;15.80;957.20;1013.00;1015.70;-;-;-;-;-;-;-;-
BAN;202309111820;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;128.00;3.60;4.70;23.60;42.00;9.90
BAS;202309111820;24.70;0.00;0.00;0.00;54.30;14.90;172.00;2.50;5.00;975.90;1011.80;1013.50;-;-;-;-;-;-;-;-
LAT;202309111820;15.70;0.00;0.00;2.00;68.20;9.90;202.00;1.40;4.70;-;-;-;-;-;-;-;-;-;-;-
BER;202309111820;21.30;0.00;0.00;0.00;62.50;13.90;11.00;3.60;5.00;950.10;1012.50;1015.00;-;-;-;-;-;-;-;-
BEZ;202309111820;22.50;0.00;0.00;4.00;76.30;18.10;0.00;0.00;0.70;975.20;1012.40;1013.90;-;-;-;-;-;-;-;-
BIA;202309111820;21.90;0.00;0.00;1.00;79.40;18.20;340.00;4.00;8.60;982.10;1014.00;1015.20;-;-;-;-;-;-;-;-
BIN;202309111820;18.00;0.00;-;-;59.40;10.00;65.00;7.20;10.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309111820;20.10;0.00;0.00;1.00;84.20;17.30;159.00;2.50;4.70;955.70;1013.30;1015.40;-;-;-;-;-;-;-;-
BIV;202309111820;11.80;0.00;-;-;70.00;6.50;100.00;2.50;4.30;-;-;-;-;-;-;-;-;-;-;-
BIE;202309111820;20.40;0.00;0.00;5.00;67.30;14.10;228.00;4.00;6.80;936.30;-;1016.10;1512.20;-;-;-;-;-;-;-
BLA;202309111820;15.30;0.00;0.00;3.00;70.30;9.90;63.00;4.70;7.20;848.80;-;1021.70;1526.90;-;-;-;-;-;-;-
