Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309142240;16.40;0.00;0.00;2.00;86.30;14.10;27.00;5.00;7.90;956.50;1018.60;1020.00;-;-;-;-;-;-;-;-
COM;202309142240;16.30;0.00;0.00;1.00;100.00;16.30;315.00;4.30;7.20;952.80;1019.10;1020.60;-;-;-;-;-;-;-;-
ABO;202309142240;12.90;0.00;0.00;2.00;97.90;12.60;187.00;2.90;4.30;871.70;-;1022.30;1537.30;-;-;-;-;-;-;-
AIG;202309142240;15.80;0.00;0.00;0.00;94.20;14.90;113.00;1.40;2.50;973.30;1017.90;1018.60;-;-;-;-;-;-;-;-
ALT;202309142240;16.80;0.00;0.00;0.00;94.80;16.00;140.00;3.60;5.80;967.30;1018.20;1019.30;-;-;-;-;-;-;-;-
ARH;202309142240;16.50;0.00;0.00;0.00;99.20;16.40;171.00;1.80;3.20;972.20;1018.60;1019.40;-;-;-;-;-;-;-;-
AND;202309142240;14.30;0.00;0.00;0.00;95.10;13.50;90.00;0.40;2.50;908.00;-;1022.00;1542.60;-;-;-;-;-;-;-
ANT;202309142240;12.30;0.00;0.00;0.00;95.80;11.60;54.00;2.90;4.70;861.00;-;1023.30;1543.40;-;-;-;-;-;-;-
ARO;202309142240;9.40;0.00;0.00;2.00;99.20;9.30;336.00;3.60;5.40;816.30;-;1024.50;1541.60;-;-;-;-;-;-;-
RAG;202309142240;16.90;0.00;0.00;0.00;91.40;15.50;106.00;4.70;6.80;961.50;1018.90;1020.20;-;-;-;-;-;-;-;-
BAN;202309142240;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;67.00;15.10;16.60;15.40;77.90;11.60
BAS;202309142240;16.40;0.00;0.00;0.00;79.40;12.80;245.00;5.00;7.60;982.00;1019.20;1019.80;-;-;-;-;-;-;-;-
LAT;202309142240;12.90;0.00;0.00;1.00;99.20;12.80;242.00;3.20;5.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309142240;15.80;0.00;0.00;0.00;91.70;14.50;26.00;11.50;16.60;954.10;1018.00;1019.30;-;-;-;-;-;-;-;-
BEZ;202309142240;17.10;0.00;0.00;3.00;96.20;16.50;20.00;0.70;4.00;980.80;1019.00;1019.70;-;-;-;-;-;-;-;-
BIA;202309142240;17.30;0.00;0.00;1.00;99.20;17.20;340.00;2.20;2.90;986.10;1018.70;1019.30;-;-;-;-;-;-;-;-
BIN;202309142240;11.40;0.10;-;-;93.90;10.50;53.00;5.80;7.90;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309142240;14.60;0.00;0.00;2.00;96.30;14.00;29.00;7.60;9.40;960.00;1019.10;1019.90;-;-;-;-;-;-;-;-
BIV;202309142240;9.60;0.00;-;-;94.30;8.70;6.00;4.70;8.30;-;-;-;-;-;-;-;-;-;-;-
BIE;202309142240;16.30;0.00;0.00;2.00;83.90;13.60;23.00;6.80;13.00;939.80;-;1019.80;1531.10;-;-;-;-;-;-;-
BLA;202309142240;12.20;0.00;0.00;3.00;97.20;11.80;184.00;3.20;5.00;850.40;-;1023.60;1542.80;-;-;-;-;-;-;-
BOL;202309142240;13.90;0.00;0.00;0.00;94.70;13.10;301.00;1.40;5.00;925.20;-;1020.60;1530.40;-;-;-;-;-;-;-
BOU;202309142240;18.30;-;-;-;87.30;16.20;149.00;5.80;7.60;974.10;1017.40;1018.50;-;-;-;-;-;-;-;-
BRZ;202309142240;-;0.00;-;-;-;-;137.00;1.40;2.50;952.80;-;1019.50;-;-;-;-;-;-;-;-
BUS;202309142240;15.10;0.00;0.00;1.00;98.00;14.80;147.00;0.40;2.20;973.70;1019.10;1019.70;-;-;-;-;-;-;-;-
BUF;202309142240;9.90;0.10;0.00;1.00;91.70;8.60;142.00;8.60;18.40;808.30;-;1025.80;1549.00;-;-;-;-;-;-;-
FRE;202309142240;13.00;0.00;0.00;1.00;90.90;11.50;90.00;6.50;18.00;884.30;-;1022.10;1538.20;-;-;-;-;-;-;-
CEV;202309142240;17.30;3.10;0.00;1.00;96.80;16.80;263.00;4.00;7.20;970.60;1019.50;1020.60;-;-;-;-;-;-;-;-
CHZ;202309142240;16.40;0.00;0.00;0.00;98.20;16.10;20.00;5.80;9.70;967.10;1018.50;1019.50;-;-;-;-;-;-;-;-
CHA;202309142240;10.50;0.00;0.00;0.00;100.00;10.50;100.00;41.00;48.60;843.60;-;1022.50;1532.60;-;-;-;-;-;-;-
CHM;202309142240;13.30;0.00;0.00;0.00;93.20;12.20;88.00;25.90;43.60;891.00;-;1021.20;1531.80;-;-;-;-;-;-;-
CHU;202309142240;17.70;0.00;0.00;1.00;86.10;15.30;200.00;4.00;9.40;954.80;1018.60;1020.30;-;-;-;-;-;-;-;-
CHD;202309142240;13.70;0.00;0.00;0.00;97.40;13.30;67.00;1.40;4.70;902.80;-;1021.20;1534.10;-;-;-;-;-;-;-
CIM;202309142240;12.00;0.00;0.00;0.00;99.60;11.90;86.00;11.50;16.20;838.10;-;1024.10;1543.90;-;-;-;-;-;-;-
CDM;202309142240;10.80;0.00;-;-;100.00;10.80;62.00;5.00;7.90;-;-;-;-;-;-;-;-;-;-;-
GSB;202309142240;6.90;0.00;0.00;0.00;96.90;6.40;292.00;33.10;46.80;758.50;-;1026.70;-;3143.20;-;-;-;-;-;-
COY;202309142240;12.40;0.00;-;-;99.30;12.30;260.00;2.90;4.30;-;-;-;-;-;-;-;-;-;-;-
CMA;202309142240;6.30;-;0.00;1.00;99.60;6.20;129.00;5.40;7.20;759.00;-;1026.90;-;3143.70;-;-;-;-;-;-
CRM;202309142240;18.00;0.00;-;0.00;80.40;14.60;10.00;8.60;13.30;968.20;1017.90;1019.20;-;-;-;-;-;-;-;-
DAV;202309142240;12.10;0.00;0.00;0.00;94.70;11.30;171.00;5.40;9.70;844.80;-;1023.90;1544.10;-;-;-;-;-;-;-
DEM;202309142240;14.00;0.00;0.00;3.00;98.20;13.70;126.00;0.40;1.10;967.90;1019.40;1019.90;-;-;-;-;-;-;-;-
DIS;202309142240;13.80;0.00;0.00;3.00;96.10;13.20;293.00;0.70;1.40;886.20;-;1023.20;1548.90;-;-;-;-;-;-;-
EBK;202309142240;13.20;0.00;0.00;2.00;99.30;13.10;124.00;0.40;1.40;947.20;-;1020.40;1525.80;-;-;-;-;-;-;-
EGH;202309142240;4.30;-;0.00;0.00;95.10;3.60;133.00;4.70;9.40;722.20;-;1028.60;-;3146.90;-;-;-;-;-;-
EGO;202309142240;14.50;0.00;-;3.00;99.30;14.40;273.00;3.20;4.30;958.10;1018.80;1019.70;-;-;-;-;-;-;-;-
EIN;202309142240;13.30;0.00;0.00;0.00;98.30;13.00;281.00;1.10;1.40;915.50;-;1021.00;1532.20;-;-;-;-;-;-;-
ELM;202309142240;14.60;0.00;0.00;0.00;93.90;13.60;200.00;2.20;3.60;910.50;-;1021.20;1536.30;-;-;-;-;-;-;-
ENG;202309142240;13.40;0.00;0.00;0.00;91.60;12.10;78.00;7.60;12.60;902.10;-;1021.40;1535.20;-;-;-;-;-;-;-
EVI;202309142240;16.80;0.00;0.00;2.00;92.30;15.50;131.00;2.20;3.20;962.20;1017.90;1019.10;-;-;-;-;-;-;-;-
EVO;202309142240;9.90;0.00;0.00;1.00;89.30;8.20;344.00;2.20;5.80;821.30;-;1024.40;1542.20;-;-;-;-;-;-;-
FAH;202309142240;15.00;0.00;0.00;2.00;80.50;11.70;86.00;9.40;16.20;949.90;1018.90;1020.10;-;-;-;-;-;-;-;-
FLU;202309142240;13.30;0.00;-;-;96.10;12.70;25.00;4.30;6.10;-;-;-;-;-;-;-;-;-;-;-
GRA;202309142240;15.50;0.00;0.00;1.00;99.30;15.40;242.00;2.50;5.80;943.40;-;1019.60;1527.40;-;-;-;-;-;-;-
FRU;202309142240;16.30;0.00;0.00;1.00;90.80;14.80;223.00;10.80;14.80;-;-;-;-;-;-;-;-;-;-;-
GVE;202309142240;17.30;0.00;0.00;0.00;80.10;13.80;11.00;5.00;9.40;970.00;1017.70;1018.80;-;-;-;-;-;-;-;-
GES;202309142240;17.50;0.00;-;-;88.60;15.60;266.00;1.40;5.40;958.20;1018.10;1019.60;-;-;-;-;-;-;-;-
GIH;202309142240;17.20;0.00;0.00;0.00;96.90;16.70;281.00;2.90;4.00;963.90;1018.40;1019.60;-;-;-;-;-;-;-;-
GLA;202309142240;16.20;0.00;0.00;2.00;91.80;14.90;295.00;1.80;3.60;958.90;1018.70;1019.90;-;-;-;-;-;-;-;-
GOR;202309142240;2.90;-;0.00;0.00;92.60;1.80;129.00;12.20;18.00;701.30;-;1029.40;-;3146.50;-;-;-;-;-;-
GRE;202309142240;15.80;0.00;0.00;0.00;91.30;14.40;50.00;5.00;5.80;968.70;1018.70;1019.50;-;-;-;-;-;-;-;-
GRH;202309142240;11.50;0.00;0.00;0.00;71.90;6.60;175.00;18.70;25.20;808.50;-;1025.10;1540.70;-;-;-;-;-;-;-
GRO;202309142240;17.10;0.00;0.00;0.00;95.60;16.40;20.00;5.00;8.60;981.20;1019.10;1019.80;-;-;-;-;-;-;-;-
GRC;202309142240;12.10;-;0.00;0.00;91.10;10.70;-;-;-;843.70;-;1023.90;1543.40;-;-;-;-;-;-;-
GOS;202309142240;14.90;0.00;-;-;95.20;14.10;203.00;6.80;12.20;911.20;-;1021.10;1536.10;-;-;-;-;-;-;-
GOE;202309142240;14.50;0.00;0.00;1.00;100.00;14.50;194.00;0.70;2.50;974.20;1019.00;1019.50;-;-;-;-;-;-;-;-
