Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309161500;24.10;0.00;0.00;156.00;54.20;14.30;32.00;3.60;6.10;952.20;1012.30;1015.40;-;-;-;-;-;-;-;-
COM;202309161500;18.20;0.00;0.00;155.00;88.70;16.30;146.00;5.80;10.10;953.20;1019.10;1021.00;-;-;-;-;-;-;-;-
ABO;202309161500;17.10;0.00;0.00;193.00;77.90;13.20;65.00;9.00;15.50;870.10;-;1020.40;1525.00;-;-;-;-;-;-;-
AIG;202309161500;23.60;0.00;9.00;379.00;60.20;15.40;346.00;10.80;17.60;970.70;1013.90;1015.90;-;-;-;-;-;-;-;-
ALT;202309161500;26.50;0.00;0.00;191.00;35.60;10.10;146.00;27.40;41.40;962.70;1011.60;1014.50;-;-;-;-;-;-;-;-
ARH;202309161500;24.00;0.00;10.00;411.00;70.60;18.30;286.00;6.80;8.60;967.50;1012.40;1014.50;-;-;-;-;-;-;-;-
AND;202309161500;19.00;0.00;0.00;93.00;57.00;10.30;180.00;16.20;27.40;906.70;-;1020.60;1540.00;-;-;-;-;-;-;-
ANT;202309161500;15.40;0.00;0.00;141.00;70.10;10.00;197.00;27.00;41.40;860.00;-;1022.20;1534.80;-;-;-;-;-;-;-
ARO;202309161500;15.30;0.00;2.00;289.00;49.50;4.80;159.00;9.00;17.60;815.50;-;1023.50;1525.90;-;-;-;-;-;-;-
RAG;202309161500;26.10;0.00;10.00;359.00;42.10;12.20;124.00;16.90;31.30;957.30;1012.50;1015.80;-;-;-;-;-;-;-;-
BAN;202309161500;-;-;0.00;169.00;-;-;-;-;-;-;-;-;-;-;271.00;11.90;20.90;17.50;69.70;11.90
BAS;202309161500;24.00;0.00;0.00;137.00;59.80;15.70;269.00;6.50;14.00;977.60;1013.60;1015.20;-;-;-;-;-;-;-;-
LAT;202309161500;17.00;0.00;0.00;69.00;71.70;11.90;294.00;1.80;4.70;-;-;-;-;-;-;-;-;-;-;-
BER;202309161500;22.00;0.00;0.00;197.00;62.20;14.40;279.00;5.40;9.40;951.50;1013.80;1016.50;-;-;-;-;-;-;-;-
BEZ;202309161500;26.90;0.00;0.00;170.00;40.90;12.50;182.00;2.50;4.00;975.80;1012.40;1014.50;-;-;-;-;-;-;-;-
BIA;202309161500;19.90;0.00;0.00;143.00;87.00;17.70;189.00;5.40;10.40;986.50;1018.80;1019.70;-;-;-;-;-;-;-;-
BIN;202309161500;16.10;0.00;-;-;63.40;9.20;57.00;16.20;28.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309161500;24.30;0.00;10.00;278.00;55.70;14.90;64.00;5.00;7.90;955.60;1012.30;1015.20;-;-;-;-;-;-;-;-
BIV;202309161500;12.80;0.00;-;-;73.90;8.30;204.00;9.00;16.20;-;-;-;-;-;-;-;-;-;-;-
BIE;202309161500;21.30;0.00;10.00;514.00;65.00;14.50;151.00;9.40;14.40;937.10;-;1016.90;1522.20;-;-;-;-;-;-;-
BLA;202309161500;15.30;0.00;0.00;98.00;82.10;12.30;41.00;3.20;6.80;849.00;-;1021.90;1528.90;-;-;-;-;-;-;-
BOL;202309161500;21.10;0.00;0.00;126.00;64.40;14.10;30.00;15.10;26.30;922.30;-;1017.40;1522.40;-;-;-;-;-;-;-
BOU;202309161500;21.70;-;-;-;72.90;16.60;268.00;2.90;4.70;971.60;1014.30;1015.90;-;-;-;-;-;-;-;-
BRZ;202309161500;-;0.00;-;-;-;-;220.00;7.60;13.30;949.50;-;1016.10;-;-;-;-;-;-;-;-
BUS;202309161500;25.70;0.00;0.00;193.00;46.90;13.50;216.00;5.40;7.60;969.40;1012.90;1015.20;-;-;-;-;-;-;-;-
BUF;202309161500;13.40;0.00;0.00;63.00;64.60;6.90;273.00;6.50;10.10;807.70;-;1025.10;1537.20;-;-;-;-;-;-;-
FRE;202309161500;15.90;0.00;0.00;225.00;81.30;12.70;174.00;6.80;13.70;882.10;-;1019.60;1520.70;-;-;-;-;-;-;-
CEV;202309161500;19.50;0.00;0.00;68.00;84.10;16.70;316.00;1.40;3.20;970.40;1018.90;1020.40;-;-;-;-;-;-;-;-
CHZ;202309161500;25.40;0.00;0.00;179.00;53.10;15.20;276.00;10.40;15.80;963.10;1012.60;1015.30;-;-;-;-;-;-;-;-
