Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309180600;17.30;0.00;0.00;49.00;87.30;15.20;50.00;2.20;4.00;950.30;1011.80;1013.40;-;-;-;-;-;-;-;-
COM;202309180600;16.90;0.70;0.00;13.00;100.00;16.90;201.00;11.20;19.80;949.80;1015.70;1017.40;-;-;-;-;-;-;-;-
ABO;202309180600;13.90;0.00;0.00;24.00;81.70;10.80;182.00;4.30;7.90;866.80;-;1016.70;1490.70;-;-;-;-;-;-;-
AIG;202309180600;19.30;0.00;0.00;0.00;81.80;16.10;348.00;21.60;36.40;968.20;1012.00;1013.30;-;-;-;-;-;-;-;-
ALT;202309180600;21.10;0.00;0.00;26.00;69.80;15.40;301.00;13.70;23.80;960.90;1010.70;1012.60;-;-;-;-;-;-;-;-
ARH;202309180600;22.20;0.00;0.00;98.00;61.10;14.40;259.00;11.50;19.40;966.10;1011.20;1013.10;-;-;-;-;-;-;-;-
AND;202309180600;16.80;0.20;0.00;0.00;81.00;13.50;158.00;4.70;10.10;903.80;-;1017.40;1508.60;-;-;-;-;-;-;-
ANT;202309180600;14.90;0.10;0.00;23.00;78.30;11.20;182.00;18.00;30.20;857.00;-;1018.70;1505.10;-;-;-;-;-;-;-
ARO;202309180600;14.10;0.00;0.00;30.00;60.90;6.70;196.00;6.10;28.40;813.40;-;1021.00;1505.40;-;-;-;-;-;-;-
RAG;202309180600;21.30;0.00;0.00;30.00;56.30;12.30;118.00;18.40;41.00;954.70;1010.80;1013.00;-;-;-;-;-;-;-;-
BAN;202309180600;-;-;0.00;5.00;-;-;-;-;-;-;-;-;-;-;260.00;24.50;38.90;13.50;94.80;12.70
BAS;202309180600;18.20;0.30;0.00;3.00;89.60;16.50;148.00;2.90;7.20;975.90;1012.60;1013.50;-;-;-;-;-;-;-;-
LAT;202309180600;14.20;0.00;0.00;20.00;79.60;10.70;170.00;3.20;8.30;-;-;-;-;-;-;-;-;-;-;-
BER;202309180600;17.00;2.20;0.00;5.00;94.30;16.10;144.00;5.00;9.00;949.70;1013.00;1014.60;-;-;-;-;-;-;-;-
BEZ;202309180600;18.70;0.00;0.00;24.00;89.20;16.90;124.00;2.90;6.10;974.60;1012.30;1013.30;-;-;-;-;-;-;-;-
BIA;202309180600;18.40;0.70;0.00;11.00;92.90;17.20;141.00;11.50;25.20;983.20;1015.60;1016.30;-;-;-;-;-;-;-;-
BIN;202309180600;14.40;0.00;-;-;79.50;10.90;69.00;18.00;38.50;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309180600;17.80;0.00;0.00;59.00;85.70;15.40;234.00;10.40;16.60;953.90;1011.90;1013.50;-;-;-;-;-;-;-;-
BIV;202309180600;12.20;0.10;-;-;83.30;9.50;259.00;3.60;14.00;-;-;-;-;-;-;-;-;-;-;-
BIE;202309180600;15.60;1.00;0.00;2.00;88.00;13.60;204.00;14.40;22.70;935.10;-;1014.80;1487.20;-;-;-;-;-;-;-
BLA;202309180600;12.10;0.00;0.00;17.00;85.30;9.70;121.00;2.90;8.60;845.60;-;1018.00;1495.30;-;-;-;-;-;-;-
BOL;202309180600;14.00;0.00;0.00;22.00;91.70;12.70;233.00;1.80;4.00;920.10;-;1015.00;1484.70;-;-;-;-;-;-;-
BOU;202309180600;20.30;-;-;-;80.00;16.70;309.00;28.40;37.10;970.10;1013.00;1014.40;-;-;-;-;-;-;-;-
BRZ;202309180600;-;0.00;-;-;-;-;88.00;1.40;3.20;947.20;-;1013.60;-;-;-;-;-;-;-;-
BUS;202309180600;17.90;0.10;0.00;6.00;94.20;17.00;293.00;2.50;4.30;968.10;1012.80;1013.90;-;-;-;-;-;-;-;-
BUF;202309180600;10.00;0.00;0.00;49.00;91.70;8.70;144.00;5.40;14.40;806.40;-;1023.50;1529.00;-;-;-;-;-;-;-
