Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309191350;21.00;0.00;9.00;481.00;57.80;12.40;243.00;9.00;17.30;954.70;1015.70;1018.10;-;-;-;-;-;-;-;-
COM;202309191350;23.10;0.00;10.00;644.00;60.70;15.10;352.00;3.20;7.90;947.70;1012.00;1015.20;-;-;-;-;-;-;-;-
ABO;202309191350;15.20;0.00;9.00;696.00;76.60;11.10;68.00;10.10;16.20;870.40;-;1020.80;1526.50;-;-;-;-;-;-;-
AIG;202309191350;21.00;0.00;9.00;473.00;64.40;14.00;336.00;12.20;21.60;972.80;1016.50;1018.10;-;-;-;-;-;-;-;-
ALT;202309191350;21.80;0.00;10.00;534.00;59.60;13.60;275.00;9.70;17.60;965.80;1015.70;1017.70;-;-;-;-;-;-;-;-
ARH;202309191350;21.90;0.00;10.00;561.00;53.50;12.00;227.00;7.60;14.80;970.60;1016.00;1017.70;-;-;-;-;-;-;-;-
AND;202309191350;19.90;0.00;10.00;588.00;56.30;10.90;350.00;11.50;20.20;904.60;-;1018.30;1522.00;-;-;-;-;-;-;-
ANT;202309191350;14.50;0.00;10.00;600.00;69.50;9.00;13.00;27.70;45.40;858.70;-;1020.70;1521.70;-;-;-;-;-;-;-
ARO;202309191350;13.40;0.00;10.00;595.00;58.40;5.40;82.00;7.90;11.90;814.30;-;1022.00;1515.80;-;-;-;-;-;-;-
RAG;202309191350;20.90;0.00;10.00;495.00;63.00;13.60;295.00;16.60;24.10;959.50;1015.90;1018.10;-;-;-;-;-;-;-;-
BAN;202309191350;-;-;10.00;597.00;-;-;-;-;-;-;-;-;-;-;259.00;16.90;30.20;15.30;65.80;8.90
BAS;202309191350;22.90;0.00;10.00;579.00;51.90;12.50;277.00;9.00;21.60;979.60;1015.80;1017.30;-;-;-;-;-;-;-;-
LAT;202309191350;15.60;0.00;9.00;409.00;70.50;10.30;242.00;4.30;6.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309191350;21.40;0.00;10.00;613.00;56.90;12.50;250.00;11.50;20.50;953.20;1015.70;1018.30;-;-;-;-;-;-;-;-
BEZ;202309191350;22.50;0.00;10.00;463.00;55.90;13.30;279.00;5.80;14.00;978.60;1015.90;1017.40;-;-;-;-;-;-;-;-
BIA;202309191350;25.30;0.00;10.00;591.00;58.20;16.50;188.00;12.60;22.70;980.30;1011.80;1013.40;-;-;-;-;-;-;-;-
BIN;202309191350;16.30;0.00;-;-;63.00;9.20;217.00;8.30;14.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309191350;20.80;0.00;10.00;503.00;61.90;13.20;247.00;14.80;23.00;958.20;1015.80;1018.00;-;-;-;-;-;-;-;-
BIV;202309191350;14.60;0.00;-;-;58.10;6.50;271.00;19.80;28.40;-;-;-;-;-;-;-;-;-;-;-
BIE;202309191350;19.60;0.00;10.00;633.00;63.20;12.40;198.00;14.00;24.10;939.10;-;1019.00;1535.00;-;-;-;-;-;-;-
BLA;202309191350;16.00;0.00;10.00;578.00;72.70;11.10;238.00;9.40;16.90;848.00;-;1020.80;1518.80;-;-;-;-;-;-;-
BOL;202309191350;19.80;0.00;7.00;427.00;65.40;13.10;42.00;9.00;19.80;923.60;-;1018.80;1531.10;-;-;-;-;-;-;-
BOU;202309191350;19.90;-;-;-;66.60;13.50;342.00;5.00;6.50;973.90;1017.00;1018.30;-;-;-;-;-;-;-;-
BRZ;202309191350;-;0.00;-;-;-;-;170.00;5.00;6.80;951.60;-;1018.30;-;-;-;-;-;-;-;-
BUS;202309191350;23.20;0.00;10.00;587.00;54.30;13.50;230.00;10.80;22.70;971.80;1015.80;1017.70;-;-;-;-;-;-;-;-
BUF;202309191350;15.90;0.00;10.00;495.00;45.10;4.00;291.00;14.80;26.30;805.00;-;1021.80;1504.50;-;-;-;-;-;-;-
FRE;202309191350;15.90;0.00;10.00;631.00;58.20;7.70;231.00;9.70;22.00;883.30;-;1021.00;1532.10;-;-;-;-;-;-;-
CEV;202309191350;24.90;0.00;10.00;551.00;45.80;12.40;238.00;12.20;21.20;964.50;1011.80;1014.20;-;-;-;-;-;-;-;-
CHZ;202309191350;20.60;0.00;5.00;412.00;58.50;12.20;158.00;8.30;14.40;965.90;1016.50;1018.20;-;-;-;-;-;-;-;-
CHA;202309191350;12.40;0.00;9.00;542.00;78.30;8.70;262.00;14.40;23.00;842.90;-;1021.70;1525.20;-;-;-;-;-;-;-
CHM;202309191350;16.10;0.00;9.00;578.00;64.90;9.50;276.00;5.80;16.20;890.20;-;1020.30;1528.20;-;-;-;-;-;-;-
CHU;202309191350;21.00;0.00;10.00;563.00;60.10;13.00;31.00;24.10;37.80;952.10;1015.00;1017.50;-;-;-;-;-;-;-;-
CHD;202309191350;19.30;0.00;10.00;652.00;63.30;12.20;210.00;14.40;29.20;901.50;-;1019.80;1532.30;-;-;-;-;-;-;-
CIM;202309191350;16.90;0.00;10.00;608.00;55.30;7.90;205.00;9.40;14.80;835.20;-;1020.70;1512.00;-;-;-;-;-;-;-
CDM;202309191350;14.20;0.00;-;-;80.20;10.80;199.00;15.50;21.60;-;-;-;-;-;-;-;-;-;-;-
GSB;202309191350;8.20;0.00;10.00;694.00;77.90;4.60;93.00;16.20;26.60;757.10;-;1024.90;-;3131.30;-;-;-;-;-;-
COY;202309191350;20.10;0.00;-;-;54.50;10.60;238.00;19.10;30.60;-;-;-;-;-;-;-;-;-;-;-
CMA;202309191350;8.30;-;8.00;628.00;86.20;6.10;230.00;10.40;22.00;757.00;-;1024.40;-;3127.20;-;-;-;-;-;-
CRM;202309191350;21.80;0.00;-;597.00;58.20;13.20;202.00;14.00;25.90;966.90;1015.90;1017.80;-;-;-;-;-;-;-;-
DAV;202309191350;15.50;0.00;10.00;600.00;59.30;7.60;28.00;17.60;23.40;842.50;-;1021.20;1520.30;-;-;-;-;-;-;-
DEM;202309191350;22.90;0.00;10.00;595.00;45.00;10.30;253.00;16.60;27.00;965.70;1015.40;1017.60;-;-;-;-;-;-;-;-
DIS;202309191350;18.00;0.00;10.00;582.00;54.80;8.80;67.00;13.30;22.70;882.90;-;1019.50;1522.60;-;-;-;-;-;-;-
EBK;202309191350;19.80;0.00;10.00;557.00;64.70;13.00;227.00;4.30;12.60;945.80;-;1018.90;1535.30;-;-;-;-;-;-;-
EGH;202309191350;4.90;-;0.00;169.00;90.00;3.40;275.00;6.50;12.60;720.30;-;1026.10;-;3126.10;-;-;-;-;-;-
EGO;202309191350;21.90;0.00;-;593.00;57.70;13.20;260.00;16.20;25.20;956.60;1015.60;1018.10;-;-;-;-;-;-;-;-
EIN;202309191350;17.80;0.00;10.00;630.00;69.00;12.00;248.00;8.30;16.60;914.30;-;1019.70;1531.40;-;-;-;-;-;-;-
ELM;202309191350;17.40;0.00;10.00;599.00;75.30;13.00;327.00;6.80;12.20;909.00;-;1019.50;1528.40;-;-;-;-;-;-;-
ENG;202309191350;16.30;0.00;5.00;410.00;73.30;11.50;246.00;11.20;18.70;900.90;-;1020.10;1529.30;-;-;-;-;-;-;-
EVI;202309191350;21.40;0.00;10.00;582.00;59.70;13.20;327.00;22.00;37.80;961.30;1016.00;1018.20;-;-;-;-;-;-;-;-
EVO;202309191350;13.00;0.00;10.00;632.00;81.70;9.90;275.00;6.50;12.60;819.60;-;1022.40;1521.30;-;-;-;-;-;-;-
FAH;202309191350;20.50;0.00;9.00;520.00;53.60;10.80;258.00;11.90;21.20;948.20;1015.60;1018.30;-;-;-;-;-;-;-;-
FLU;202309191350;17.80;0.00;-;-;68.10;11.80;211.00;10.10;19.80;-;-;-;-;-;-;-;-;-;-;-
GRA;202309191350;20.20;0.00;10.00;646.00;62.40;12.80;219.00;13.00;19.40;942.70;-;1018.90;1536.20;-;-;-;-;-;-;-
FRU;202309191350;19.20;0.00;10.00;542.00;68.80;13.30;72.00;13.00;22.00;-;-;-;-;-;-;-;-;-;-;-
GVE;202309191350;23.10;0.00;10.00;593.00;46.50;11.00;226.00;12.20;18.40;969.30;1016.00;1018.00;-;-;-;-;-;-;-;-
GES;202309191350;20.30;0.00;-;-;63.10;13.10;225.00;4.30;10.10;957.00;1016.20;1018.30;-;-;-;-;-;-;-;-
GIH;202309191350;20.10;0.00;0.00;160.00;68.30;14.10;200.00;3.20;5.40;962.60;1016.40;1018.30;-;-;-;-;-;-;-;-
GLA;202309191350;18.40;0.00;0.00;75.00;68.10;12.40;259.00;14.40;20.20;957.40;1016.60;1018.30;-;-;-;-;-;-;-;-
GOR;202309191350;4.90;-;9.00;697.00;80.00;1.70;86.00;2.50;10.10;699.70;-;1027.20;-;3128.00;-;-;-;-;-;-
GRE;202309191350;22.10;0.00;10.00;581.00;55.20;12.70;233.00;17.30;24.50;967.00;1015.70;1017.70;-;-;-;-;-;-;-;-
GRH;202309191350;9.00;0.00;1.00;160.00;83.80;6.40;10.00;7.60;15.10;807.10;-;1023.40;1530.00;-;-;-;-;-;-;-
GRO;202309191350;25.30;0.00;10.00;582.00;49.80;14.10;190.00;7.60;12.60;975.60;1012.10;1014.00;-;-;-;-;-;-;-;-
GRC;202309191350;15.00;0.00;10.00;614.00;63.30;8.10;-;-;-;841.40;-;1021.20;1519.60;-;-;-;-;-;-;-
GOS;202309191350;17.90;0.00;-;-;63.20;10.80;1.00;11.50;20.20;909.60;-;1019.30;1527.70;-;-;-;-;-;-;-
GOE;202309191350;22.40;0.00;10.00;590.00;56.60;13.40;249.00;9.40;15.50;972.20;1015.60;1017.40;-;-;-;-;-;-;-;-
GUE;202309191350;8.80;0.00;10.00;611.00;90.30;7.30;348.00;11.20;16.90;775.40;-;1023.80;1519.70;-;-;-;-;-;-;-
GUT;202309191350;21.70;0.00;10.00;546.00;58.90;13.30;246.00;10.80;18.00;965.80;1015.90;1017.90;-;-;-;-;-;-;-;-
