Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309191500;20.80;0.00;6.00;248.00;57.20;12.00;204.00;9.40;18.00;954.10;1015.10;1017.40;-;-;-;-;-;-;-;-
COM;202309191500;21.40;0.00;10.00;407.00;69.30;15.50;204.00;5.40;14.00;947.60;1012.30;1015.10;-;-;-;-;-;-;-;-
ABO;202309191500;14.10;0.00;2.00;174.00;81.90;11.10;67.00;10.10;17.30;870.30;-;1020.70;1524.70;-;-;-;-;-;-;-
AIG;202309191500;21.30;0.00;10.00;279.00;56.70;12.40;285.00;10.40;18.00;972.40;1016.10;1017.70;-;-;-;-;-;-;-;-
ALT;202309191500;20.50;0.00;5.00;141.00;59.90;12.40;254.00;6.50;11.50;965.40;1015.50;1017.30;-;-;-;-;-;-;-;-
ARH;202309191500;20.50;0.00;5.00;237.00;61.20;12.80;56.00;9.40;13.70;970.10;1015.70;1017.20;-;-;-;-;-;-;-;-
AND;202309191500;19.00;0.00;9.00;337.00;59.80;11.00;325.00;7.60;14.80;904.30;-;1018.00;1517.50;-;-;-;-;-;-;-
ANT;202309191500;14.20;0.00;10.00;418.00;71.10;9.00;17.00;25.90;40.70;858.50;-;1020.40;1519.70;-;-;-;-;-;-;-
ARO;202309191500;12.90;0.00;10.00;393.00;66.70;6.90;89.00;7.20;10.40;813.90;-;1021.60;1512.30;-;-;-;-;-;-;-
RAG;202309191500;21.10;0.00;10.00;357.00;61.60;13.40;306.00;12.20;19.40;959.00;1015.40;1017.50;-;-;-;-;-;-;-;-
BAN;202309191500;-;-;10.00;454.00;-;-;-;-;-;-;-;-;-;-;259.00;19.80;27.00;15.80;64.80;9.20
BAS;202309191500;22.80;0.00;10.00;416.00;50.20;11.90;297.00;9.40;18.70;978.90;1015.10;1016.60;-;-;-;-;-;-;-;-
LAT;202309191500;14.40;0.00;10.00;368.00;77.30;10.50;285.00;2.90;7.20;-;-;-;-;-;-;-;-;-;-;-
BER;202309191500;21.30;0.00;10.00;427.00;57.20;12.50;247.00;9.70;16.20;952.70;1015.20;1017.80;-;-;-;-;-;-;-;-
BEZ;202309191500;22.70;0.00;10.00;384.00;54.50;13.10;252.00;6.10;12.20;977.80;1015.10;1016.60;-;-;-;-;-;-;-;-
BIA;202309191500;24.40;0.00;10.00;418.00;53.80;14.40;263.00;5.80;9.70;980.30;1011.90;1013.40;-;-;-;-;-;-;-;-
BIN;202309191500;16.00;0.00;-;-;64.60;9.30;231.00;9.00;14.80;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309191500;20.90;0.00;10.00;365.00;60.60;13.00;257.00;10.40;18.00;957.60;1015.10;1017.30;-;-;-;-;-;-;-;-
BIV;202309191500;14.00;0.00;-;-;53.50;4.70;261.00;14.40;21.20;-;-;-;-;-;-;-;-;-;-;-
BIE;202309191500;19.90;0.00;10.00;442.00;60.00;11.90;223.00;10.10;14.80;938.70;-;1018.60;1532.40;-;-;-;-;-;-;-
BLA;202309191500;15.70;0.00;10.00;397.00;74.30;11.10;242.00;9.40;16.20;847.90;-;1020.60;1517.80;-;-;-;-;-;-;-
BOL;202309191500;19.20;0.00;10.00;462.00;67.70;13.10;43.00;15.50;23.80;923.40;-;1018.60;1527.70;-;-;-;-;-;-;-
