Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309120930;23.80;0.00;10.00;599.00;63.80;16.50;46.00;5.00;7.90;952.50;1012.70;1015.80;-;-;-;-;-;-;-;-
COM;202309120930;23.00;0.00;10.00;592.00;50.00;12.00;129.00;3.20;5.80;950.40;1014.90;1018.00;-;-;-;-;-;-;-;-
ABO;202309120930;21.00;0.00;2.00;408.00;52.00;10.80;60.00;4.30;6.10;869.70;-;1020.00;1523.80;-;-;-;-;-;-;-
AIG;202309120930;24.00;0.00;10.00;389.00;64.70;16.90;346.00;9.70;15.50;970.50;1013.70;1015.70;-;-;-;-;-;-;-;-
ALT;202309120930;24.70;0.00;10.00;670.00;55.20;15.10;352.00;2.90;6.50;963.30;1012.60;1015.10;-;-;-;-;-;-;-;-
ARH;202309120930;21.90;0.00;9.00;427.00;84.70;19.20;274.00;5.40;10.10;968.60;1013.90;1015.70;-;-;-;-;-;-;-;-
AND;202309120930;19.70;0.00;10.00;606.00;58.10;11.20;145.00;2.20;4.00;905.20;-;1018.90;1527.30;-;-;-;-;-;-;-
ANT;202309120930;20.70;0.00;8.00;631.00;53.00;10.80;234.00;3.60;6.50;859.10;-;1021.10;1527.70;-;-;-;-;-;-;-
ARO;202309120930;18.40;0.00;10.00;656.00;50.10;7.80;90.00;6.80;10.10;815.50;-;1023.50;1521.90;-;-;-;-;-;-;-
RAG;202309120930;23.80;0.00;10.00;640.00;54.90;14.20;157.00;10.40;19.80;957.70;1013.40;1016.20;-;-;-;-;-;-;-;-
BAN;202309120930;-;-;10.00;537.00;-;-;-;-;-;-;-;-;-;-;267.00;5.80;10.80;20.00;55.60;10.90
BAS;202309120930;25.90;0.00;10.00;587.00;49.80;14.60;84.00;3.60;7.90;977.20;1012.90;1014.80;-;-;-;-;-;-;-;-
LAT;202309120930;19.80;0.00;10.00;649.00;51.30;9.50;195.00;2.20;5.00;-;-;-;-;-;-;-;-;-;-;-
BER;202309120930;23.40;0.00;10.00;530.00;57.80;14.60;218.00;3.60;6.80;951.10;1013.00;1016.10;-;-;-;-;-;-;-;-
BEZ;202309120930;23.60;0.00;5.00;434.00;67.90;17.30;273.00;2.20;6.10;976.30;1013.40;1015.00;-;-;-;-;-;-;-;-
BIA;202309120930;23.50;0.00;10.00;647.00;58.70;14.90;166.00;2.90;10.10;983.60;1015.40;1016.70;-;-;-;-;-;-;-;-
BIN;202309120930;20.60;0.00;-;-;58.60;12.20;220.00;3.20;6.50;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309120930;23.30;0.00;10.00;603.00;68.70;17.20;82.00;5.00;10.10;956.20;1013.20;1015.90;-;-;-;-;-;-;-;-
BIV;202309120930;20.00;0.00;-;-;30.00;1.90;159.00;3.20;7.20;-;-;-;-;-;-;-;-;-;-;-
BIE;202309120930;23.60;0.00;10.00;685.00;47.00;11.60;215.00;10.40;20.20;937.10;-;1016.90;1529.10;-;-;-;-;-;-;-
BLA;202309120930;20.10;0.00;0.00;305.00;47.60;8.60;220.00;5.80;13.70;848.90;-;1021.80;1527.70;-;-;-;-;-;-;-
BOL;202309120930;20.90;0.00;0.00;339.00;71.10;15.50;78.00;2.50;4.00;922.00;-;1017.10;1519.20;-;-;-;-;-;-;-
BOU;202309120930;22.70;-;-;-;72.00;17.40;307.00;11.50;14.40;971.50;1014.00;1015.80;-;-;-;-;-;-;-;-
BRZ;202309120930;-;0.00;-;-;-;-;255.00;7.90;11.90;949.30;-;1015.80;-;-;-;-;-;-;-;-
BUS;202309120930;24.50;0.00;8.00;633.00;62.60;16.90;257.00;3.20;7.20;969.60;1013.30;1015.40;-;-;-;-;-;-;-;-
BUF;202309120930;18.00;0.00;10.00;668.00;43.20;5.30;289.00;6.80;11.20;807.50;-;1024.80;1527.80;-;-;-;-;-;-;-
FRE;202309120930;19.30;0.00;10.00;632.00;61.20;11.60;171.00;7.60;10.80;882.30;-;1019.80;1526.50;-;-;-;-;-;-;-
CEV;202309120930;22.30;0.00;10.00;641.00;64.60;15.30;113.00;5.00;9.70;967.60;1015.50;1017.50;-;-;-;-;-;-;-;-
CHZ;202309120930;25.20;0.00;5.00;527.00;52.80;14.90;240.00;3.60;6.50;963.30;1012.90;1015.50;-;-;-;-;-;-;-;-
CHA;202309120930;19.20;0.00;10.00;695.00;59.10;11.00;191.00;19.10;27.40;842.70;-;1021.40;1521.40;-;-;-;-;-;-;-
CHM;202309120930;21.30;0.00;10.00;693.00;65.60;14.60;212.00;4.70;10.10;889.00;-;1018.90;1524.10;-;-;-;-;-;-;-
CHU;202309120930;23.70;0.00;10.00;656.00;47.20;11.80;191.00;9.70;18.40;951.20;1013.40;1016.50;-;-;-;-;-;-;-;-
CHD;202309120930;19.70;0.00;5.00;406.00;72.90;14.70;198.00;3.20;6.10;900.40;-;1018.60;1522.60;-;-;-;-;-;-;-
CIM;202309120930;18.90;0.00;10.00;657.00;78.40;15.10;117.00;4.70;10.40;837.50;-;1023.40;1534.70;-;-;-;-;-;-;-
CDM;202309120930;18.70;0.00;-;-;58.00;10.30;182.00;8.60;13.70;-;-;-;-;-;-;-;-;-;-;-
GSB;202309120930;12.90;0.00;0.00;226.00;56.40;4.40;267.00;8.60;14.00;759.60;-;1028.10;-;3170.00;-;-;-;-;-;-
COY;202309120930;22.50;0.00;-;-;68.40;16.40;62.00;3.60;7.20;-;-;-;-;-;-;-;-;-;-;-
CMA;202309120930;13.20;-;10.00;656.00;72.70;8.40;119.00;3.60;8.60;759.40;-;1027.40;-;3165.20;-;-;-;-;-;-
