Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309131630;17.00;0.10;0.00;5.00;81.80;13.90;318.00;6.50;9.00;956.60;1018.60;1020.10;-;-;-;-;-;-;-;-
COM;202309131630;18.40;0.00;0.00;38.00;89.90;16.70;156.00;5.80;9.00;951.30;1017.00;1019.00;-;-;-;-;-;-;-;-
ABO;202309131630;12.90;0.00;0.00;61.00;93.20;11.80;166.00;1.80;4.30;872.00;-;1022.60;1540.20;-;-;-;-;-;-;-
AIG;202309131630;17.90;0.00;0.00;2.00;88.80;16.00;343.00;7.90;13.30;975.00;1019.30;1020.40;-;-;-;-;-;-;-;-
ALT;202309131630;18.60;0.00;0.00;13.00;89.00;16.80;343.00;1.40;3.20;967.50;1018.10;1019.50;-;-;-;-;-;-;-;-
ARH;202309131630;20.30;0.00;0.00;51.00;95.70;19.60;83.00;2.90;4.30;971.80;1017.50;1019.00;-;-;-;-;-;-;-;-
AND;202309131630;16.70;0.00;0.00;46.00;79.40;13.10;3.00;1.40;3.20;906.70;-;1020.60;1535.40;-;-;-;-;-;-;-
ANT;202309131630;13.20;0.00;0.00;37.00;85.80;10.90;40.00;10.80;18.40;860.40;-;1022.60;1537.90;-;-;-;-;-;-;-
ARO;202309131630;10.50;0.00;0.00;109.00;96.50;10.00;151.00;3.20;5.40;815.70;-;1023.70;1534.10;-;-;-;-;-;-;-
RAG;202309131630;19.10;0.00;0.00;42.00;82.60;16.10;319.00;8.30;14.80;960.90;1017.80;1019.50;-;-;-;-;-;-;-;-
BAN;202309131630;-;-;0.00;20.00;-;-;-;-;-;-;-;-;-;-;251.00;23.00;30.60;13.30;97.90;13.00
BAS;202309131630;19.00;0.20;0.00;5.00;83.30;16.10;308.00;10.80;28.10;981.90;1018.70;1019.70;-;-;-;-;-;-;-;-
LAT;202309131630;13.40;0.00;0.00;39.00;90.30;11.80;188.00;1.40;2.90;-;-;-;-;-;-;-;-;-;-;-
BER;202309131630;18.10;0.00;0.00;33.00;80.80;14.80;249.00;7.20;13.30;955.30;1018.70;1020.50;-;-;-;-;-;-;-;-
BEZ;202309131630;18.70;0.20;0.00;10.00;88.30;16.70;204.00;1.80;4.00;980.60;1018.50;1019.50;-;-;-;-;-;-;-;-
BIA;202309131630;19.80;0.00;0.00;31.00;90.00;18.10;187.00;1.80;3.60;984.50;1016.80;1017.70;-;-;-;-;-;-;-;-
BIN;202309131630;12.00;0.10;-;-;98.70;11.80;247.00;7.60;11.20;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309131630;17.40;0.00;0.00;23.00;92.20;16.10;339.00;6.80;9.40;959.70;1018.10;1019.60;-;-;-;-;-;-;-;-
BIV;202309131630;10.80;0.00;-;-;87.50;8.80;259.00;11.20;18.00;-;-;-;-;-;-;-;-;-;-;-
