Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140920;17.30;0.00;2.00;447.00;87.00;15.10;50.00;6.10;11.20;959.20;1021.30;1022.80;-;-;-;-;-;-;-;-
COM;202309140920;19.80;0.00;10.00;734.00;74.50;15.10;132.00;9.40;13.30;952.80;1018.20;1020.60;-;-;-;-;-;-;-;-
ABO;202309140920;13.30;0.00;0.00;336.00;81.60;10.20;245.00;2.20;4.00;873.30;-;1024.10;1553.00;-;-;-;-;-;-;-
AIG;202309140920;20.10;0.00;10.00;596.00;72.00;14.90;9.00;7.60;11.90;975.90;1019.90;1021.30;-;-;-;-;-;-;-;-
ALT;202309140920;19.80;0.00;10.00;670.00;75.00;15.20;336.00;6.50;10.80;969.70;1020.20;1021.80;-;-;-;-;-;-;-;-
ARH;202309140920;18.20;0.00;0.00;310.00;98.70;18.00;264.00;4.70;8.60;975.30;1021.50;1022.60;-;-;-;-;-;-;-;-
AND;202309140920;15.90;0.00;0.00;261.00;82.70;13.00;341.00;5.80;9.40;909.50;-;1023.70;1559.70;-;-;-;-;-;-;-
ANT;202309140920;15.10;0.00;10.00;592.00;71.60;10.00;114.00;1.80;6.50;862.10;-;1024.60;1555.30;-;-;-;-;-;-;-
ARO;202309140920;11.10;0.00;1.00;469.00;96.70;10.60;82.00;4.00;8.30;817.50;-;1025.90;1551.90;-;-;-;-;-;-;-
RAG;202309140920;19.70;-;8.00;672.00;81.50;16.40;276.00;9.40;16.60;964.00;1020.90;1022.80;-;-;-;-;-;-;-;-
BAN;202309140920;-;-;3.00;427.00;-;-;-;-;-;-;-;-;-;-;47.00;21.20;26.60;12.80;95.70;12.10
BAS;202309140920;17.80;-;0.00;-;86.40;15.50;342.00;4.70;9.00;985.00;1022.10;1022.90;-;-;-;-;-;-;-;-
LAT;202309140920;13.40;0.00;0.00;299.00;85.50;11.00;250.00;6.50;10.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309140920;17.20;0.00;0.00;272.00;88.30;15.20;23.00;10.80;17.30;957.00;1020.80;1022.30;-;-;-;-;-;-;-;-
BEZ;202309140920;19.60;0.00;10.00;609.00;76.80;15.40;99.00;2.50;5.40;983.50;1021.40;1022.50;-;-;-;-;-;-;-;-
BIA;202309140920;19.10;0.00;0.00;196.00;86.10;16.70;17.00;4.30;6.80;986.20;1018.60;1019.40;-;-;-;-;-;-;-;-
BIN;202309140920;14.40;0.00;-;-;79.30;10.90;183.00;3.60;6.50;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309140920;17.40;0.00;1.00;427.00;90.20;15.80;55.00;9.70;15.80;962.80;1021.40;1022.80;-;-;-;-;-;-;-;-
BIV;202309140920;10.70;0.00;-;-;89.60;9.10;248.00;10.40;15.50;-;-;-;-;-;-;-;-;-;-;-
BIE;202309140920;18.30;0.00;8.00;605.00;77.30;14.30;52.00;13.30;24.80;942.20;-;1022.40;1558.70;-;-;-;-;-;-;-
BLA;202309140920;12.30;0.00;2.00;221.00;99.20;12.20;155.00;2.20;5.00;851.30;-;1024.60;1551.70;-;-;-;-;-;-;-
BOL;202309140920;16.50;0.00;2.00;251.00;82.40;13.50;86.00;7.60;13.00;927.10;-;1022.60;1554.30;-;-;-;-;-;-;-
BOU;202309140920;18.50;-;-;-;73.80;13.70;276.00;7.20;9.70;976.90;1020.30;1021.40;-;-;-;-;-;-;-;-
BRZ;202309140920;-;0.00;-;-;-;-;254.00;7.90;10.40;955.00;-;1021.90;-;-;-;-;-;-;-;-
BUS;202309140920;18.00;0.00;2.00;317.00;82.20;14.90;104.00;7.20;13.00;976.50;1021.60;1022.60;-;-;-;-;-;-;-;-
BUF;202309140920;13.00;0.00;4.00;457.00;69.40;7.50;283.00;5.40;9.00;808.50;-;1026.00;1546.30;-;-;-;-;-;-;-
FRE;202309140920;14.80;0.00;9.00;734.00;80.50;11.50;92.00;11.50;20.20;886.30;-;1024.30;1559.30;-;-;-;-;-;-;-
CEV;202309140920;18.60;0.00;2.00;408.00;92.70;17.40;131.00;2.90;5.40;970.40;1019.10;1020.40;-;-;-;-;-;-;-;-
CHZ;202309140920;18.50;0.00;0.00;203.00;86.30;16.20;344.00;7.60;12.60;969.90;1021.10;1022.40;-;-;-;-;-;-;-;-
CHA;202309140920;12.50;0.00;8.00;645.00;87.80;10.50;107.00;17.30;26.60;845.90;-;1025.20;1555.00;-;-;-;-;-;-;-
CHM;202309140920;13.60;0.00;1.00;396.00;90.70;12.10;94.00;15.80;28.80;893.50;-;1023.90;1555.60;-;-;-;-;-;-;-
CHU;202309140920;19.30;0.00;10.00;748.00;72.90;14.30;53.00;9.00;13.30;957.00;1020.60;1022.70;-;-;-;-;-;-;-;-
CHD;202309140920;17.70;0.00;9.00;696.00;77.10;13.60;272.00;4.00;6.80;904.40;-;1023.00;1556.50;-;-;-;-;-;-;-
