Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309120540;15.10;0.00;0.00;42.00;94.60;14.20;0.00;0.00;0.70;952.30;1014.50;1015.60;-;-;-;-;-;-;-;-
COM;202309120540;15.00;0.00;0.00;12.00;88.10;13.00;310.00;5.00;6.80;950.20;1016.60;1017.80;-;-;-;-;-;-;-;-
ABO;202309120540;15.40;0.00;0.00;63.00;72.30;10.40;21.00;2.50;4.00;869.50;-;1019.80;1517.90;-;-;-;-;-;-;-
AIG;202309120540;19.90;0.00;0.00;0.00;66.00;13.40;152.00;9.00;13.30;969.50;1013.30;1014.70;-;-;-;-;-;-;-;-
ALT;202309120540;15.40;0.00;0.00;22.00;91.20;14.00;136.00;2.50;4.70;963.60;1014.60;1015.40;-;-;-;-;-;-;-;-
ARH;202309120540;15.50;0.00;6.00;63.00;99.30;15.40;212.00;1.40;2.20;968.10;1014.40;1015.10;-;-;-;-;-;-;-;-
AND;202309120540;9.80;0.00;0.00;16.00;90.50;8.30;217.00;2.20;3.20;905.90;-;1019.70;1514.50;-;-;-;-;-;-;-
ANT;202309120540;7.30;0.00;0.00;18.00;98.10;7.00;95.00;3.60;6.50;859.70;-;1021.80;1529.10;-;-;-;-;-;-;-
ARO;202309120540;15.10;0.00;0.00;43.00;57.40;6.80;280.00;4.70;6.50;815.10;-;1023.00;1521.90;-;-;-;-;-;-;-
RAG;202309120540;18.00;0.00;0.00;34.00;72.10;12.90;160.00;6.80;11.20;958.20;1015.20;1016.70;-;-;-;-;-;-;-;-
BAN;202309120540;-;-;0.00;36.00;-;-;-;-;-;-;-;-;-;-;234.00;17.30;19.10;19.30;54.60;9.90
BAS;202309120540;18.50;0.00;0.00;44.00;78.60;14.70;102.00;3.20;7.60;976.80;1013.50;1014.40;-;-;-;-;-;-;-;-
LAT;202309120540;11.30;0.00;0.00;32.00;75.60;7.20;251.00;1.10;2.20;-;-;-;-;-;-;-;-;-;-;-
BER;202309120540;14.90;0.00;0.00;38.00;95.20;14.10;200.00;2.20;4.30;950.80;1014.70;1015.80;-;-;-;-;-;-;-;-
BEZ;202309120540;15.10;0.00;0.00;39.00;100.00;15.10;343.00;0.70;1.80;976.30;1014.60;1015.00;-;-;-;-;-;-;-;-
BIA;202309120540;15.80;0.00;0.00;14.00;92.30;14.60;148.00;3.60;5.80;983.60;1016.30;1016.70;-;-;-;-;-;-;-;-
BIN;202309120540;13.40;0.00;-;-;75.70;9.20;66.00;9.70;14.00;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309120540;13.40;0.00;9.00;67.00;98.00;13.10;190.00;4.30;5.40;955.90;1015.00;1015.60;-;-;-;-;-;-;-;-
BIV;202309120540;7.50;0.00;-;-;70.70;2.50;65.00;1.10;3.60;-;-;-;-;-;-;-;-;-;-;-
BIE;202309120540;14.90;0.00;0.00;25.00;77.90;11.10;0.00;0.00;0.00;936.40;-;1016.20;1496.70;-;-;-;-;-;-;-
BLA;202309120540;10.80;0.00;0.00;30.00;85.10;8.40;147.00;1.80;3.60;849.40;-;1022.40;1533.00;-;-;-;-;-;-;-
BOL;202309120540;14.90;0.00;0.00;43.00;84.10;12.20;237.00;6.80;10.10;922.60;-;1017.70;1509.50;-;-;-;-;-;-;-
BOU;202309120540;20.70;-;-;-;62.70;13.30;136.00;7.90;13.70;970.20;1013.00;1014.50;-;-;-;-;-;-;-;-
BRZ;202309120540;-;0.00;-;-;-;-;58.00;1.10;1.80;949.80;-;1016.40;-;-;-;-;-;-;-;-
BUS;202309120540;16.00;0.00;0.00;33.00;92.70;14.80;291.00;2.20;3.60;969.70;1014.80;1015.50;-;-;-;-;-;-;-;-
BUF;202309120540;4.60;0.00;0.00;26.00;96.40;4.10;157.00;3.60;5.40;807.20;-;1024.50;1545.90;-;-;-;-;-;-;-
FRE;202309120540;17.20;0.00;0.00;16.00;59.80;9.30;259.00;3.20;5.40;881.60;-;1019.00;1517.30;-;-;-;-;-;-;-
CEV;202309120540;15.20;0.00;0.00;7.00;84.50;12.60;32.00;7.60;14.00;967.70;1016.90;1017.60;-;-;-;-;-;-;-;-
CHZ;202309120540;16.80;0.00;2.00;37.00;99.30;16.70;291.00;6.50;7.20;963.30;1014.40;1015.50;-;-;-;-;-;-;-;-
CHA;202309120540;16.10;0.00;0.00;22.00;62.10;8.80;166.00;16.90;20.50;842.10;-;1020.70;1516.10;-;-;-;-;-;-;-
CHM;202309120540;19.10;0.00;1.00;22.00;50.10;8.50;163.00;5.00;10.10;888.30;-;1018.10;1514.30;-;-;-;-;-;-;-
CHU;202309120540;17.20;0.00;0.00;38.00;72.70;12.30;221.00;6.50;11.50;952.00;1015.80;1017.40;-;-;-;-;-;-;-;-
CHD;202309120540;13.30;0.00;0.00;19.00;90.00;11.70;16.00;1.80;3.60;900.60;-;1018.80;1513.10;-;-;-;-;-;-;-
CIM;202309120540;15.50;0.00;0.00;38.00;48.70;4.80;309.00;1.10;2.90;836.60;-;1022.30;1527.10;-;-;-;-;-;-;-
