Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309140110;15.70;0.00;0.00;1.00;97.50;15.30;343.00;1.80;3.60;958.50;1020.90;1022.10;-;-;-;-;-;-;-;-
COM;202309140110;14.40;0.00;0.00;0.00;100.00;14.40;316.00;5.00;7.60;952.50;1019.30;1020.20;-;-;-;-;-;-;-;-
ABO;202309140110;11.40;0.00;0.00;2.00;96.40;10.80;151.00;1.40;2.90;873.40;-;1024.20;1552.40;-;-;-;-;-;-;-
AIG;202309140110;15.70;0.00;0.00;0.00;94.80;14.90;158.00;3.20;4.00;976.10;1020.90;1021.50;-;-;-;-;-;-;-;-
ALT;202309140110;16.00;0.00;0.00;0.00;97.40;15.60;313.00;1.80;2.50;970.10;1021.30;1022.20;-;-;-;-;-;-;-;-
ARH;202309140110;16.00;0.00;0.00;1.00;99.40;15.90;177.00;4.00;7.60;974.40;1020.90;1021.70;-;-;-;-;-;-;-;-
AND;202309140110;13.80;0.00;0.00;0.00;95.60;13.10;360.00;3.20;5.00;908.70;-;1022.80;1548.00;-;-;-;-;-;-;-
ANT;202309140110;10.40;0.00;0.00;0.00;98.00;10.10;210.00;2.20;2.90;862.20;-;1024.70;1554.30;-;-;-;-;-;-;-
ARO;202309140110;9.10;0.10;0.00;2.00;99.20;9.00;44.00;1.40;2.90;816.90;-;1025.20;1548.10;-;-;-;-;-;-;-
RAG;202309140110;16.30;0.00;0.00;0.00;94.40;15.40;355.00;4.70;9.70;963.40;1021.00;1022.20;-;-;-;-;-;-;-;-
BAN;202309140110;-;-;0.00;0.00;-;-;-;-;-;-;-;-;-;-;53.00;19.40;22.30;13.20;89.20;11.50
BAS;202309140110;16.00;0.00;0.00;0.00;94.00;15.00;219.00;4.70;5.80;984.00;1021.30;1021.80;-;-;-;-;-;-;-;-
LAT;202309140110;11.60;0.00;0.00;1.00;99.10;11.50;306.00;2.20;5.80;-;-;-;-;-;-;-;-;-;-;-
BER;202309140110;15.90;0.00;0.00;0.00;93.80;14.90;32.00;4.00;5.80;957.00;1021.10;1022.30;-;-;-;-;-;-;-;-
BEZ;202309140110;17.20;0.00;0.00;2.00;100.00;17.20;146.00;1.40;2.50;983.00;1021.20;1021.90;-;-;-;-;-;-;-;-
BIA;202309140110;16.60;0.00;0.00;0.00;98.00;16.30;337.00;2.50;5.40;985.90;1018.60;1019.10;-;-;-;-;-;-;-;-
BIN;202309140110;10.70;0.00;-;-;99.00;10.50;71.00;1.80;3.20;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309140110;15.20;0.20;0.00;1.00;98.60;15.00;150.00;5.40;10.10;962.10;1021.20;1022.10;-;-;-;-;-;-;-;-
BIV;202309140110;8.70;0.00;-;-;99.20;8.60;266.00;13.00;19.10;-;-;-;-;-;-;-;-;-;-;-
BIE;202309140110;14.80;0.00;0.00;1.00;98.90;14.60;23.00;8.60;16.20;942.30;-;1022.50;1548.50;-;-;-;-;-;-;-
BLA;202309140110;10.70;0.00;0.00;3.00;99.20;10.60;225.00;3.20;5.40;851.30;-;1024.60;1551.60;-;-;-;-;-;-;-
BOL;202309140110;14.00;0.00;0.00;0.00;97.10;13.50;37.00;2.50;4.70;927.40;-;1022.90;1550.30;-;-;-;-;-;-;-
BOU;202309140110;16.20;-;-;-;94.10;15.30;145.00;6.10;8.30;976.90;1020.70;1021.40;-;-;-;-;-;-;-;-
BRZ;202309140110;-;0.00;-;-;-;-;88.00;4.00;5.00;955.50;-;1022.40;-;-;-;-;-;-;-;-
BUS;202309140110;16.60;0.00;0.00;0.00;98.40;16.30;176.00;1.40;2.50;976.10;1021.40;1022.20;-;-;-;-;-;-;-;-
BUF;202309140110;8.70;0.00;0.00;1.00;96.90;8.20;208.00;2.20;3.20;808.00;-;1025.40;1547.70;-;-;-;-;-;-;-
FRE;202309140110;11.90;0.00;0.00;2.00;94.10;11.00;10.00;7.60;13.30;886.10;-;1024.10;1553.70;-;-;-;-;-;-;-
CEV;202309140110;16.60;0.00;0.00;1.00;96.20;16.00;352.00;1.40;3.20;969.50;1018.50;1019.40;-;-;-;-;-;-;-;-
CHZ;202309140110;16.20;0.00;0.00;0.00;99.30;16.10;155.00;5.80;10.10;969.80;1021.40;1022.30;-;-;-;-;-;-;-;-
CHA;202309140110;9.40;0.00;0.00;0.00;99.90;9.40;64.00;16.90;21.20;845.60;-;1024.80;1552.50;-;-;-;-;-;-;-
