Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202309160430;12.40;0.00;0.00;1.00;100.00;12.40;0.00;0.00;0.00;953.30;1016.20;1016.60;-;-;-;-;-;-;-;-
COM;202309160430;14.70;0.00;0.00;0.00;97.80;14.40;269.00;3.20;6.10;952.50;1019.20;1020.20;-;-;-;-;-;-;-;-
ABO;202309160430;12.10;0.00;0.00;3.00;72.10;7.20;196.00;2.50;5.80;869.10;-;1019.30;1511.80;-;-;-;-;-;-;-
AIG;202309160430;19.80;0.00;0.00;0.00;57.30;11.10;161.00;8.30;19.40;969.40;1013.20;1014.50;-;-;-;-;-;-;-;-
ALT;202309160430;17.20;0.00;0.00;0.00;66.20;10.80;298.00;4.30;7.20;964.10;1014.80;1015.90;-;-;-;-;-;-;-;-
ARH;202309160430;15.40;0.00;0.00;2.00;99.50;15.30;111.00;2.20;4.00;969.30;1015.70;1016.40;-;-;-;-;-;-;-;-
AND;202309160430;10.30;0.00;0.00;0.00;94.40;9.40;41.00;1.40;2.90;906.60;-;1020.50;1521.80;-;-;-;-;-;-;-
ANT;202309160430;8.90;0.00;0.00;0.00;86.80;6.80;14.00;2.90;6.10;860.00;-;1022.20;1532.50;-;-;-;-;-;-;-
ARO;202309160430;10.90;0.00;0.00;2.00;56.80;2.70;259.00;5.00;9.40;815.20;-;1023.10;1528.40;-;-;-;-;-;-;-
RAG;202309160430;16.60;0.00;0.00;0.00;67.60;10.60;119.00;15.10;27.00;959.30;1016.60;1017.90;-;-;-;-;-;-;-;-
BAN;202309160430;-;-;0.00;2.00;-;-;-;-;-;-;-;-;-;-;47.00;14.40;17.30;16.20;81.30;13.00
BAS;202309160430;16.50;0.00;0.00;0.00;91.20;15.10;123.00;4.00;12.60;977.20;1014.20;1014.80;-;-;-;-;-;-;-;-
LAT;202309160430;9.20;0.00;0.00;2.00;84.30;6.70;344.00;2.20;6.10;-;-;-;-;-;-;-;-;-;-;-
BER;202309160430;15.20;0.00;0.00;0.00;93.40;14.10;101.00;3.60;7.20;951.00;1014.80;1016.00;-;-;-;-;-;-;-;-
BEZ;202309160430;14.90;0.00;0.00;3.00;100.00;14.90;79.00;1.10;2.90;977.30;1015.60;1016.10;-;-;-;-;-;-;-;-
BIA;202309160430;15.90;0.00;0.00;1.00;96.10;15.30;153.00;5.00;8.60;986.30;1019.10;1019.50;-;-;-;-;-;-;-;-
BIN;202309160430;10.90;0.00;-;-;81.70;7.90;348.00;1.40;4.30;-;-;-;-;-;-;-;-;-;-;-
BIZ;202309160430;14.10;0.00;0.00;1.00;99.20;14.00;237.00;4.30;6.80;957.00;1016.00;1016.70;-;-;-;-;-;-;-;-
BIV;202309160430;8.20;0.00;-;-;85.60;5.90;87.00;7.90;11.90;-;-;-;-;-;-;-;-;-;-;-
BIE;202309160430;17.90;0.00;0.00;1.00;79.60;14.30;34.00;8.30;14.40;936.00;-;1015.70;1502.00;-;-;-;-;-;-;-
BLA;202309160430;8.50;0.00;0.00;2.00;91.60;7.20;69.00;2.20;4.30;849.20;-;1022.20;1531.10;-;-;-;-;-;-;-
BOL;202309160430;12.80;0.00;0.00;0.00;87.80;10.80;268.00;4.70;7.90;922.50;-;1017.60;1503.40;-;-;-;-;-;-;-
BOU;202309160430;19.80;-;-;-;59.80;11.80;118.00;0.70;2.50;970.10;1013.00;1014.40;-;-;-;-;-;-;-;-
BRZ;202309160430;-;0.00;-;-;-;-;74.00;8.60;11.20;949.90;-;1016.50;-;-;-;-;-;-;-;-
BUS;202309160430;14.60;0.00;0.00;1.00;99.10;14.50;83.00;0.40;1.80;970.30;1015.60;1016.20;-;-;-;-;-;-;-;-
BUF;202309160430;3.70;0.00;0.00;1.00;97.20;3.30;168.00;1.40;3.20;807.60;-;1024.90;1551.40;-;-;-;-;-;-;-
FRE;202309160430;14.60;0.00;0.00;2.00;86.30;12.30;356.00;7.60;9.40;881.00;-;1018.40;1508.70;-;-;-;-;-;-;-
CEV;202309160430;15.80;0.00;0.00;1.00;96.70;15.30;180.00;4.30;6.80;969.90;1019.10;1019.80;-;-;-;-;-;-;-;-
CHZ;202309160430;15.20;0.00;0.00;0.00;99.40;15.10;305.00;3.60;4.30;964.00;1015.50;1016.30;-;-;-;-;-;-;-;-
CHA;202309160430;12.10;0.00;0.00;0.00;81.20;9.00;122.00;24.10;28.40;841.30;-;1019.80;1509.30;-;-;-;-;-;-;-
CHM;202309160430;14.40;0.00;0.00;0.00;87.00;12.30;95.00;12.20;17.60;888.10;-;1017.90;1506.00;-;-;-;-;-;-;-
CHU;202309160430;14.50;0.00;0.00;1.00;76.50;10.40;200.00;9.70;16.20;953.30;1017.80;1018.80;-;-;-;-;-;-;-;-
CHD;202309160430;12.10;0.00;0.00;0.00;89.70;10.50;2.00;1.80;3.60;899.90;-;1018.00;1504.50;-;-;-;-;-;-;-
CIM;202309160430;10.40;0.00;0.00;0.00;97.20;10.00;147.00;2.50;3.60;837.60;-;1023.50;1539.60;-;-;-;-;-;-;-
CDM;202309160430;11.60;0.00;-;-;74.30;7.20;8.00;2.50;4.30;-;-;-;-;-;-;-;-;-;-;-
GSB;202309160430;5.50;0.00;0.00;0.00;100.00;5.50;289.00;30.20;39.60;757.30;-;1025.20;-;3127.00;-;-;-;-;-;-
COY;202309160430;10.40;0.00;-;-;99.30;10.30;201.00;1.80;3.60;-;-;-;-;-;-;-;-;-;-;-
CMA;202309160430;5.20;-;0.00;1.00;83.50;2.60;255.00;10.80;15.80;757.80;-;1025.40;-;3128.30;-;-;-;-;-;-
CRM;202309160430;16.00;0.00;-;0.00;92.00;14.70;57.00;3.60;5.80;964.70;1014.60;1015.50;-;-;-;-;-;-;-;-
DAV;202309160430;7.30;0.00;0.00;0.00;89.50;5.70;220.00;4.00;5.80;843.90;-;1022.80;1536.20;-;-;-;-;-;-;-
DEM;202309160430;12.30;0.00;0.00;3.00;98.50;12.10;116.00;5.80;7.90;963.90;1015.50;1015.70;-;-;-;-;-;-;-;-
DIS;202309160430;11.60;0.00;0.00;3.00;77.80;7.90;308.00;4.00;6.50;884.80;-;1021.70;1533.00;-;-;-;-;-;-;-
EBK;202309160430;10.20;0.00;0.00;2.00;99.30;10.10;0.00;0.00;0.00;944.40;-;1017.40;1491.80;-;-;-;-;-;-;-
EGH;202309160430;2.80;-;0.00;0.00;95.50;2.20;123.00;13.70;15.80;720.90;-;1026.90;-;3130.90;-;-;-;-;-;-
EGO;202309160430;14.20;0.00;-;2.00;99.30;14.10;0.00;0.00;0.00;954.80;1015.40;1016.20;-;-;-;-;-;-;-;-
EIN;202309160430;11.30;0.00;0.00;0.00;86.30;9.10;247.00;2.20;3.60;912.90;-;1018.10;1504.20;-;-;-;-;-;-;-
ELM;202309160430;12.60;0.00;0.00;0.00;75.30;8.30;142.00;5.00;9.00;908.40;-;1018.90;1513.00;-;-;-;-;-;-;-
ENG;202309160430;13.00;0.00;0.00;0.00;68.70;7.40;89.00;6.10;11.20;899.70;-;1018.80;1512.40;-;-;-;-;-;-;-
EVI;202309160430;18.10;0.00;0.00;2.00;65.00;11.40;133.00;36.70;58.30;958.80;1014.10;1015.60;-;-;-;-;-;-;-;-
EVO;202309160430;11.00;0.00;0.00;1.00;64.00;4.50;102.00;5.40;12.20;819.30;-;1022.00;1520.50;-;-;-;-;-;-;-
FAH;202309160430;15.00;0.00;0.00;0.00;87.10;12.90;130.00;5.40;7.90;945.70;1014.40;1015.60;-;-;-;-;-;-;-;-
FLU;202309160430;12.40;0.00;-;-;74.70;8.00;167.00;5.80;14.40;-;-;-;-;-;-;-;-;-;-;-
GRA;202309160430;13.80;0.00;0.00;1.00;99.50;13.70;50.00;4.30;5.00;939.90;-;1015.90;1491.30;-;-;-;-;-;-;-
